file,flow_id,window_size,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,initial_packets,handshake_packets,zerortt_packets,onertt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
recording_7.pcap,172.16.0.24:43176->172.19.0.8:443,7,172.16.0.24,43176,172.19.0.8,443,7,5,2,5467,2879,2588,781.0,95,1294,592.3620996846921,350892.85714285716,0.7584661967793753,575.8,95,1294,586.408867600073,343875.36,1.0184245703370494,1294.0,1294,1294,0.0,0.0,0.0,0.010970989863077799,0.0,0.030295848846435547,0.011526427650784208,0.00013285853438876278,0.0164564847946167,0.0,0.030295848846435547,0.011254824640774978,0.00012667107769459562,2.6941299438476562e-05,2.6941299438476562e-05,2.6941299438476562e-05,0.0,0.0,0,7,0.0,1.0,0,0.0,1.0,2,5,0,0,0,0.2857142857142857,0.7142857142857143,0.0,0.0,0.0,0.863120568566631,0.9852281360342515,0.0658259391784668
recording_7.pcap,172.16.0.31:36398->172.19.0.8:443,7,172.16.0.31,36398,172.19.0.8,443,7,5,2,5467,2879,2588,781.0,95,1294,592.3620996846921,350892.85714285716,0.7584661967793753,575.8,95,1294,586.408867600073,343875.36,1.0184245703370494,1294.0,1294,1294,0.0,0.0,0.0,0.01644313335418701,0.0,0.055284976959228516,0.019392991913916423,0.00037608813537322777,0.024664700031280518,0.0,0.055284976959228516,0.019775487859850067,0.00039106992009507735,2.6941299438476562e-05,2.6941299438476562e-05,2.6941299438476562e-05,0.0,0.0,0,7,0.0,1.0,0,0.0,1.0,2,5,0,0,0,0.2857142857142857,0.7142857142857143,0.0,0.0,0.0,0.863120568566631,0.9852281360342515,0.09865880012512207
recording_7.pcap,172.16.0.36:45973->172.19.0.8:443,7,172.16.0.36,45973,172.19.0.8,443,7,5,2,5467,2879,2588,781.0,95,1294,592.3620996846921,350892.85714285716,0.7584661967793753,575.8,95,1294,586.408867600073,343875.36,1.0184245703370494,1294.0,1294,1294,0.0,0.0,0.0,0.021793325742085774,0.0,0.07937788963317871,0.027743610771887348,0.0007697079386619838,0.03268998861312866,0.0,0.07937788963317871,0.029026059444514186,0.0008425121268764713,1.5020370483398438e-05,1.5020370483398438e-05,1.5020370483398438e-05,0.0,0.0,0,7,0.0,1.0,0,0.0,1.0,2,5,0,0,0,0.2857142857142857,0.7142857142857143,0.0,0.0,0.0,0.863120568566631,0.9852281360342515,0.13075995445251465
recording_7.pcap,172.16.0.34:42579->172.19.0.8:443,7,172.16.0.34,42579,172.19.0.8,443,7,5,2,5467,2879,2588,781.0,95,1294,592.3620996846921,350892.85714285716,0.7584661967793753,575.8,95,1294,586.408867600073,343875.36,1.0184245703370494,1294.0,1294,1294,0.0,0.0,0.0,0.027023474375406902,0.0,0.10233092308044434,0.035892953718719804,0.0012883041266541619,0.04053521156311035,0.0,0.10233092308044434,0.03809612055587083,0.0014513144014074442,1.5974044799804688e-05,1.5974044799804688e-05,1.5974044799804688e-05,0.0,0.0,0,7,0.0,1.0,0,0.0,1.0,2,5,0,0,0,0.2857142857142857,0.7142857142857143,0.0,0.0,0.0,0.863120568566631,0.9852281360342515,0.1621408462524414
recording_7.pcap,172.16.0.25:37275->172.19.0.8:443,7,172.16.0.25,37275,172.19.0.8,443,7,4,3,5746,2784,2962,820.8571428571429,98,1294,552.9379785864463,305740.4081632653,0.673610485573464,696.0,98,1294,598.0,357604.0,0.8591954022988506,987.3333333333334,374,1294,433.6921591277491,188088.88888888888,0.43925606933938127,0.027699828147888184,0.0,0.09874510765075684,0.03512190008116559,0.0012335478653113796,0.022484620412190754,0.0,0.04522299766540527,0.018463083416412104,0.0003408854492413916,0.06219053268432617,2.5033950805664062e-05,0.12435603141784668,0.06216549873352051,0.00386454923278734,0,7,0.0,1.0,0,0.0,1.0,2,5,0,0,0,0.2857142857142857,0.7142857142857143,0.0,0.0,0.0,0.9852281360342515,1.3787834934861753,0.1661989688873291
recording_7.pcap,172.16.0.38:54671->172.19.0.8:443,7,172.16.0.38,54671,172.19.0.8,443,7,4,3,5745,2784,2961,820.7142857142857,98,1294,553.053527320487,305868.2040816326,0.6738685276315769,696.0,98,1294,598.0,357604.0,0.8591954022988506,987.0,373,1294,434.16356364854016,188498.0,0.4398820300390478,0.027732491493225098,0.0,0.09046816825866699,0.0331205796841785,0.0010969727986160176,0.025308926900227863,0.0,0.053708791732788086,0.022035183991746015,0.00048554933355009986,0.058171987533569336,3.0994415283203125e-05,0.11631298065185547,0.05814099311828613,0.0033803750807805955,0,7,0.0,1.0,0,0.0,1.0,2,5,0,0,0,0.2857142857142857,0.7142857142857143,0.0,0.0,0.0,0.9852281360342515,1.3787834934861753,0.16639494895935059
recording_7.pcap,172.16.0.37:42864->172.19.0.8:443,7,172.16.0.37,42864,172.19.0.8,443,7,4,3,5742,2784,2958,820.2857142857143,98,1294,553.4013563630738,306253.0612244898,0.6746446350647015,696.0,98,1294,598.0,357604.0,0.8591954022988506,986.0,370,1294,435.57777721091327,189728.0,0.4417624515323664,0.02776932716369629,0.0,0.08294510841369629,0.032030356934939136,0.0010259437653796037,0.02789028485616048,0.0,0.06147003173828125,0.025415463587941355,0.0006459457893899729,0.054154038429260254,1.5974044799804688e-05,0.1082921028137207,0.05413806438446045,0.002930930015295985,0,7,0.0,1.0,0,0.0,1.0,2,5,0,0,0,0.2857142857142857,0.7142857142857143,0.0,0.0,0.0,0.9852281360342515,1.3787834934861753,0.16661596298217773
recording_7.pcap,172.16.0.42:47636->172.19.0.8:443,7,172.16.0.42,47636,172.19.0.8,443,7,4,3,5751,2784,2967,821.5714285714286,98,1294,552.3631975800129,305105.1020408164,0.6723252274491549,696.0,98,1294,598.0,357604.0,0.8591954022988506,989.0,379,1294,431.335136523794,186050.0,0.43613259506955915,0.027794162432352703,0.0,0.07452511787414551,0.031251080345045534,0.0009766300227324915,0.030746618906656902,0.0,0.06997394561767578,0.029189382430073057,0.0008520200466490577,0.05008900165557861,2.7894973754882812e-05,0.10015010833740234,0.05006110668182373,0.0025061144022089366,0,7,0.0,1.0,0,0.0,1.0,2,5,0,0,0,0.2857142857142857,0.7142857142857143,0.0,0.0,0.0,0.9852281360342515,1.3787834934861753,0.1667649745941162
recording_7.pcap,172.16.0.41:60831->172.19.0.8:443,7,172.16.0.41,60831,172.19.0.8,443,7,4,3,5753,2784,2969,821.8571428571429,98,1294,552.1346700557311,304852.69387755106,0.6718134347975174,696.0,98,1294,598.0,357604.0,0.8591954022988506,989.6666666666666,381,1294,430.3923274822119,185237.55555555553,0.43488615104298944,0.027782996495564777,0.0,0.08085918426513672,0.0316266675391164,0.0010002460996297992,0.035610040028889976,0.0,0.08453202247619629,0.03577076612908426,0.0012795477094616418,0.04291939735412598,2.9802322387695312e-05,0.08580899238586426,0.04288959503173828,0.001839517361986509,0,7,0.0,1.0,0,0.0,1.0,2,5,0,0,0,0.2857142857142857,0.7142857142857143,0.0,0.0,0.0,0.9852281360342515,1.3787834934861753,0.16669797897338867
recording_7.pcap,172.16.0.29:35156->172.19.0.8:443,7,172.16.0.29,35156,172.19.0.8,443,7,4,3,5744,2784,2960,820.5714285714286,98,1294,553.16927327714,305996.2448979592,0.674126899885094,696.0,98,1294,598.0,357604.0,0.8591954022988506,986.6666666666666,372,1294,434.63496816933116,188907.55555555553,0.44050841368513294,0.027823011080423992,0.0,0.0890500545501709,0.032893431617524914,0.0010819778435767879,0.03833134969075521,0.0,0.09274506568908691,0.03953389838232978,0.0015629291213043771,0.03894400596618652,2.4080276489257812e-05,0.07786393165588379,0.038919925689697266,0.0015147606156915572,0,7,0.0,1.0,0,0.0,1.0,2,5,0,0,0,0.2857142857142857,0.7142857142857143,0.0,0.0,0.0,0.9852281360342515,1.3787834934861753,0.16693806648254395
