file,flow_id,window_size,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,initial_packets,handshake_packets,onertt_packets,zerortt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
recording_3.pcap,172.16.0.24:53300->172.19.0.8:443,23,172.16.0.24,53300,172.19.0.8,443,23,11,12,14609,3610,10999,635.1739130434783,86,1294,580.3724929937829,336832.2306238186,0.9137221807691839,328.1818181818182,86,1294,458.4475419939893,210174.1487603306,1.3969315684027375,916.5833333333334,96,1294,536.0538620843577,287353.7430555555,0.5848391985646233,0.008883953094482422,0.0,0.06557416915893555,0.017704125941505958,0.00031343607535270416,0.01953129768371582,0.0,0.06557416915893555,0.022542601937511213,0.0005081689021130842,0.016817916523326527,0.00010991096496582031,0.1740128993988037,0.04973243809002829,0.0024733153983784962,10,13,0.43478260869565216,0.5652173913043478,0,0.0,1.0,2,11,10,0,0,0.08695652173913043,0.4782608695652174,0.0,0.43478260869565216,0.0,0.9986359641585718,1.8290328929684438,0.19544696807861328
recording_3.pcap,172.16.0.32:49366->172.19.0.8:443,23,172.16.0.32,49366,172.19.0.8,443,23,11,12,17079,3683,13396,742.5652173913044,86,1294,578.1767313747705,334288.3327032135,0.7786208104467311,334.8181818181818,86,1294,455.6904487960736,207653.78512396698,1.3610086713974503,1116.3333333333333,96,1294,397.82477996670286,158264.55555555556,0.35636737530609397,0.009300546212629839,0.0,0.08206701278686523,0.020520832681122175,0.0004211045739266119,0.02044389247894287,0.0,0.08445596694946289,0.027240817752360556,0.000742062151817322,0.01691436767578125,9.107589721679688e-05,0.16525793075561523,0.047143443306774425,0.002222504246819054,14,9,0.6086956521739131,0.391304347826087,0,0.0,1.0,2,7,14,0,0,0.08695652173913043,0.30434782608695654,0.0,0.6086956521739131,0.0,0.9986359641585718,1.95749456437641,0.20461201667785645
recording_3.pcap,172.16.0.36:38306->172.19.0.8:443,23,172.16.0.36,38306,172.19.0.8,443,23,11,12,17083,3683,13400,742.7391304347826,86,1294,578.067035182306,334161.49716446135,0.778290804261139,334.8181818181818,86,1294,455.6904487960736,207653.78512396698,1.3610086713974503,1116.6666666666667,96,1294,397.2055163542196,157772.22222222222,0.3557064325560175,0.009671720591458407,0.0,0.08137989044189453,0.019832697433001128,0.0003933358874689695,0.02126798629760742,0.0,0.08137989044189453,0.025463753661659223,0.0006484027505416634,0.016914541071111507,9.393692016601562e-05,0.15668296813964844,0.044697220347953245,0.0019978415068334855,14,9,0.6086956521739131,0.391304347826087,0,0.0,1.0,2,7,14,0,0,0.08695652173913043,0.30434782608695654,0.0,0.6086956521739131,0.0,0.9986359641585718,1.95749456437641,0.21277785301208496
recording_3.pcap,172.16.0.42:36364->172.19.0.8:443,23,172.16.0.42,36364,172.19.0.8,443,23,11,12,17082,3683,13399,742.695652173913,86,1294,578.0943532724085,334193.08128544426,0.7783731486515277,334.8181818181818,86,1294,455.6904487960736,207653.78512396698,1.3610086713974503,1116.5833333333333,96,1294,397.36013437295003,157895.0763888889,0.355871454024584,0.010078137571161444,0.0,0.1075599193572998,0.023459838268675356,0.0005503640115924048,0.02215139865875244,0.0,0.1075599193572998,0.030996561451489848,0.0009607868218159864,0.016940376975319603,9.202957153320312e-05,0.14791202545166016,0.042322345056177914,0.0017911808910541873,14,9,0.6086956521739131,0.391304347826087,0,0.0,1.0,2,7,14,0,0,0.08695652173913043,0.30434782608695654,0.0,0.6086956521739131,0.0,0.9986359641585718,1.95749456437641,0.22171902656555176
recording_3.pcap,172.16.0.28:45102->172.19.0.8:443,23,172.16.0.28,45102,172.19.0.8,443,23,11,12,18270,3674,14596,794.3478260869565,86,1294,571.7863395949995,326939.61814744805,0.719818599380678,334.0,86,1294,456.1281717795,208052.9090909091,1.3656532089206588,1216.3333333333333,380,1294,252.16506939348724,63587.22222222224,0.20731575998368368,0.010560642589222301,0.0,0.11310815811157227,0.02531865143583454,0.0006410341105292863,0.023233413696289062,0.0,0.11630105972290039,0.034956379544952385,0.0012219484708907657,0.01707189733331854,9.393692016601562e-05,0.13905620574951172,0.04090407010654048,0.0016731429512807786,16,7,0.6956521739130435,0.30434782608695654,0,0.0,1.0,2,5,16,0,0,0.08695652173913043,0.21739130434782608,0.0,0.6956521739130435,0.0,0.9986359641585718,1.8402855730017518,0.23233413696289062
recording_3.pcap,172.16.0.37:40397->172.19.0.8:443,23,172.16.0.37,40397,172.19.0.8,443,23,7,16,23085,3330,19755,1003.695652173913,88,1294,489.13165603712264,239249.77693761804,0.4873306514556561,475.7142857142857,88,1294,521.2602076522172,271712.2040816326,1.095742178247904,1234.6875,371,1294,223.004125172047,49730.83984375,0.18061584422944835,0.011000048030506481,0.0,0.10407400131225586,0.024466730792100044,0.0005986209156530965,0.038530985514322914,0.0,0.1072089672088623,0.035472130030628234,0.0012582720089097975,0.012537733713785807,7.414817810058594e-05,0.1299149990081787,0.03439379838890721,0.001182933367616796,16,7,0.6956521739130435,0.30434782608695654,0,0.0,1.0,2,5,16,0,0,0.08695652173913043,0.21739130434782608,0.0,0.6956521739130435,0.0,0.8865408928220899,1.4154372473067622,0.24200105667114258
recording_3.pcap,172.16.0.27:43311->172.19.0.8:443,23,172.16.0.27,43311,172.19.0.8,443,23,11,12,18272,3674,14598,794.4347826086956,86,1294,571.7234681273469,326867.72400756145,0.7196606702566211,334.0,86,1294,456.1281717795,208052.9090909091,1.3656532089206588,1216.5,382,1294,251.61230097115683,63308.75,0.20683296421796699,0.011403864080255682,0.0,0.09422111511230469,0.024283058804657885,0.0005896669449104729,0.025079894065856933,0.0,0.09716796875,0.03190249152362245,0.0010177689654148024,0.017054362730546432,8.58306884765625e-05,0.1208341121673584,0.037786126240913806,0.0014277913362942748,16,7,0.6956521739130435,0.30434782608695654,0,0.0,1.0,2,5,16,0,0,0.08695652173913043,0.21739130434782608,0.0,0.6956521739130435,0.0,0.9986359641585718,1.8402855730017518,0.250885009765625
recording_3.pcap,172.16.0.33:53558->172.19.0.8:443,23,172.16.0.33,53558,172.19.0.8,443,23,10,13,19474,3588,15886,846.695652173913,86,1294,559.6639857428903,313223.77693761815,0.6609978264396876,358.8,86,1294,471.267185363038,222092.76,1.3134536938769175,1222.0,378,1294,243.6428660023645,59361.846153846156,0.19938041407722137,0.011791543527082964,0.0,0.07962417602539062,0.024532859938523433,0.000601861216763208,0.02879590458340115,0.0,0.08223199844360352,0.032239343288458865,0.0010393752556710977,0.015021324157714844,9.179115295410156e-05,0.10561800003051758,0.033961355432280675,0.0011533736627977003,16,7,0.6956521739130435,0.30434782608695654,0,0.0,1.0,2,5,16,0,0,0.08695652173913043,0.21739130434782608,0.0,0.6956521739130435,0.0,0.9876925088958034,1.7712589600219497,0.2594139575958252
recording_3.pcap,172.16.0.34:39065->172.19.0.8:443,23,172.16.0.34,39065,172.19.0.8,443,23,11,12,18272,3674,14598,794.4347826086956,86,1294,571.7234681273469,326867.72400756145,0.7196606702566211,334.0,86,1294,456.1281717795,208052.9090909091,1.3656532089206588,1216.5,382,1294,251.61230097115683,63308.75,0.20683296421796699,0.012205459854819557,0.0,0.08822202682495117,0.026428469397180597,0.0006984639946777113,0.026852011680603027,0.0,0.08878207206726074,0.0344742335579325,0.0011884727794068794,0.016387636011297054,9.393692016601562e-05,0.0970759391784668,0.034655283376193474,0.0012009886658842716,16,7,0.6956521739130435,0.30434782608695654,0,0.0,1.0,2,5,16,0,0,0.08695652173913043,0.21739130434782608,0.0,0.6956521739130435,0.0,0.9986359641585718,1.8402855730017518,0.2685201168060303
recording_3.pcap,172.16.0.41:37331->172.19.0.8:443,23,172.16.0.41,37331,172.19.0.8,443,23,10,13,19474,3588,15886,846.695652173913,86,1294,559.6639857428903,313223.77693761815,0.6609978264396876,358.8,86,1294,471.267185363038,222092.76,1.3134536938769175,1222.0,378,1294,243.6428660023645,59361.846153846156,0.19938041407722137,0.012620319019664417,1.2874603271484375e-05,0.09663105010986328,0.027679976291123926,0.0007661810874771826,0.030829111735026043,2.8848648071289062e-05,0.0970621109008789,0.0369080569047837,0.001362204664486752,0.015084664026896158,9.298324584960938e-05,0.09165596961975098,0.033490645457794864,0.0011216233331797158,16,7,0.6956521739130435,0.30434782608695654,0,0.0,1.0,2,5,16,0,0,0.08695652173913043,0.21739130434782608,0.0,0.6956521739130435,0.0,0.9876925088958034,1.7712589600219497,0.2776470184326172
