file,flow_id,window_size,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,onertt_packets,handshake_packets,initial_packets,zerortt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
traffic_record_normal1.pcap,172.19.0.39:33326->172.19.0.8:443,12,172.19.0.39,33326,172.19.0.8,443,12,8,4,5401,1114,4287,450.0833333333333,131,1292,491.6908680484337,241759.90972222225,1.0924440689837447,139.25,131,142,4.763139720814412,22.6875,0.034205671244627735,1071.75,411,1292,381.48419036704524,145530.1875,0.35594512747100093,0.01998073404485529,0.0,0.12543201446533203,0.037809324100744925,0.001429544988955171,0.031279291425432475,0.0,0.12543201446533203,0.04356582211648805,0.0018979808566854796,0.0004490216573079427,2.9087066650390625e-05,0.001280069351196289,0.000587650495219712,3.4533310453197276e-07,6,6,0.5,0.5,0,0.0,1.0,6,6,0,0,0,0.0,0.5,0.0,0.5,0.0,0.9182958340544896,1.7295739585136223,0.2197880744934082
traffic_record_normal1.pcap,172.19.0.31:48486->172.19.0.8:443,12,172.19.0.8,443,172.19.0.31,48486,12,10,2,12323,12039,284,1026.9166666666667,142,1292,463.49495832089576,214827.57638888888,0.45134622249864065,1203.9,411,1292,264.3,69854.49,0.21953650635434835,142.0,142,142,0.0,0.0,0.0,0.0010292746803977273,0.0,0.009334087371826172,0.002668041389599046,7.11844485661361e-06,0.0012580023871527778,2.288818359375e-05,0.011013031005859375,0.003448929730247595,1.1895116284185748e-05,0.0,0.0,0.0,0.0,0.0,10,2,0.8333333333333334,0.16666666666666666,0,0.0,1.0,10,2,0,0,0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0,0.6500224216483541,1.0408520829727552,0.011322021484375
traffic_record_normal1.pcap,172.19.0.39:42169->172.19.0.8:443,12,172.19.0.8,443,172.19.0.39,42169,12,10,2,12323,12039,284,1026.9166666666667,142,1292,463.49495832089576,214827.57638888888,0.45134622249864065,1203.9,411,1292,264.3,69854.49,0.21953650635434835,142.0,142,142,0.0,0.0,0.0,0.00102344426241788,1.9073486328125e-05,0.009751081466674805,0.002781203724705155,7.735094158313827e-06,0.0012508763207329644,2.384185791015625e-05,0.011001110076904297,0.0034472348047876107,1.1883427799339078e-05,1.9073486328125e-05,1.9073486328125e-05,1.9073486328125e-05,0.0,0.0,10,2,0.8333333333333334,0.16666666666666666,0,0.0,1.0,10,2,0,0,0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0,0.6500224216483541,1.0408520829727552,0.01125788688659668
traffic_record_normal1.pcap,172.19.0.30:46188->172.19.0.8:443,12,172.19.0.8,443,172.19.0.30,46188,12,10,2,12323,12039,284,1026.9166666666667,142,1292,463.49495832089576,214827.57638888888,0.45134622249864065,1203.9,411,1292,264.3,69854.49,0.21953650635434835,142.0,142,142,0.0,0.0,0.0,0.001429471102627841,0.0,0.014198780059814453,0.0040526322752997505,1.6423828358801232e-05,0.00174713134765625,2.002716064453125e-05,0.01543283462524414,0.004838632762712646,2.3412367012396215e-05,0.0,0.0,0.0,0.0,0.0,10,2,0.8333333333333334,0.16666666666666666,0,0.0,1.0,10,2,0,0,0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0,0.6500224216483541,1.0408520829727552,0.01572418212890625
traffic_record_normal1.pcap,172.19.0.31:43212->172.19.0.8:443,12,172.19.0.8,443,172.19.0.31,43212,12,10,2,12323,12039,284,1026.9166666666667,142,1292,463.49495832089576,214827.57638888888,0.45134622249864065,1203.9,411,1292,264.3,69854.49,0.21953650635434835,142.0,142,142,0.0,0.0,0.0,0.0010960752313787286,0.0,0.01057887077331543,0.0030197990073260058,9.11918604464713e-06,0.0013396475050184461,2.3126602172851562e-05,0.01184701919555664,0.0037149172886501735,1.3800610461511956e-05,0.0,0.0,0.0,0.0,0.0,10,2,0.8333333333333334,0.16666666666666666,0,0.0,1.0,10,2,0,0,0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0,0.6500224216483541,1.0408520829727552,0.012056827545166016
traffic_record_normal1.pcap,172.19.0.39:50179->172.19.0.8:443,12,172.19.0.39,50179,172.19.0.8,443,12,6,6,5558,2340,3218,463.1666666666667,68,1399,509.54764797372536,259638.80555555553,1.1001388585254954,390.0,131,1399,461.0271141700887,212546.0,1.18212080556433,536.3333333333334,68,1294,544.0816932124154,296024.88888888893,1.0144469108994694,0.025736201893199574,9.5367431640625e-07,0.16842007637023926,0.049397895465557645,0.0024401520764261602,0.05661964416503906,9.5367431640625e-07,0.16842007637023926,0.06420981634007346,0.004122900514425964,0.015073585510253906,2.8133392333984375e-05,0.07233405113220215,0.02865186368203491,0.0008209292924539112,4,8,0.3333333333333333,0.6666666666666666,0,0.0,1.0,4,7,1,0,0,0.08333333333333333,0.5833333333333334,0.0,0.3333333333333333,0.0,1.0,3.084962500721156,0.2830982208251953
traffic_record_normal1.pcap,172.19.0.30:47944->172.19.0.8:443,12,172.19.0.8,443,172.19.0.30,47944,12,10,2,12323,12039,284,1026.9166666666667,142,1292,463.49495832089576,214827.57638888888,0.45134622249864065,1203.9,411,1292,264.3,69854.49,0.21953650635434835,142.0,142,142,0.0,0.0,0.0,0.001431551846590909,0.0,0.014275074005126953,0.004076228949044923,1.6615642445031875e-05,0.0017496744791666667,2.193450927734375e-05,0.01551198959350586,0.004865715552682995,2.3675187839621183e-05,0.0,0.0,0.0,0.0,0.0,10,2,0.8333333333333334,0.16666666666666666,0,0.0,1.0,10,2,0,0,0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0,0.6500224216483541,1.0408520829727552,0.0157470703125
traffic_record_normal1.pcap,172.19.0.31:43027->172.19.0.8:443,12,172.19.0.31,43027,172.19.0.8,443,12,6,6,5514,2302,3212,459.5,68,1399,510.42490469542463,260533.58333333334,1.1108267784448849,383.6666666666667,131,1399,461.1759124479749,212683.22222222222,1.2020223608548433,535.3333333333334,68,1294,544.8693013517604,296882.55555555556,1.017813140756713,0.011539264158769087,9.5367431640625e-07,0.046339988708496094,0.01677329868199517,0.000281343548675421,0.02538638114929199,9.5367431640625e-07,0.059706926345825195,0.02272178086545427,0.0005162793256977238,0.010245180130004883,3.3855438232421875e-05,0.04648303985595703,0.01820541118079458,0.0003314369962618002,4,8,0.3333333333333333,0.6666666666666666,0,0.0,1.0,4,7,1,0,0,0.08333333333333333,0.5833333333333334,0.0,0.3333333333333333,0.0,1.0,2.918295834054489,0.12693190574645996
traffic_record_normal1.pcap,172.19.0.30:54964->172.19.0.8:443,12,172.19.0.30,54964,172.19.0.8,443,12,6,6,5519,2302,3217,459.9166666666667,68,1399,510.13649453411534,260239.2430555555,1.1091933202408741,383.6666666666667,131,1399,461.1759124479749,212683.22222222222,1.2020223608548433,536.1666666666666,68,1294,544.2124023659227,296167.1388888889,1.0150060348758272,0.010542002591219816,0.0,0.0555880069732666,0.01699416523025134,0.00028880165187308366,0.023192405700683594,0.0,0.0555880069732666,0.020988187903253977,0.00044050403146229656,0.006350231170654297,2.09808349609375e-05,0.028800010681152344,0.01127801627186236,0.0001271936510283922,4,8,0.3333333333333333,0.6666666666666666,0,0.0,1.0,4,7,1,0,0,0.08333333333333333,0.5833333333333334,0.0,0.3333333333333333,0.0,1.0,2.918295834054489,0.11596202850341797
traffic_record_normal1.pcap,172.19.0.39:58984->172.19.0.8:443,12,172.19.0.8,443,172.19.0.39,58984,12,10,2,12323,12039,284,1026.9166666666667,142,1292,463.49495832089576,214827.57638888888,0.45134622249864065,1203.9,411,1292,264.3,69854.49,0.21953650635434835,142.0,142,142,0.0,0.0,0.0,0.0010792775587602096,0.0,0.010389089584350586,0.0029650804444112163,8.791702041829815e-06,0.0013191170162624782,2.4080276489257812e-05,0.01164698600769043,0.0036514553100843684,1.333312588154333e-05,0.0,0.0,0.0,0.0,0.0,10,2,0.8333333333333334,0.16666666666666666,0,0.0,1.0,10,2,0,0,0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0,0.6500224216483541,1.0408520829727552,0.011872053146362305
