file,flow_id,window_size,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,initial_packets,handshake_packets,onertt_packets,zerortt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
recording_59.pcap,172.16.0.44:42410->172.19.0.8:443,28,172.16.0.44,42410,172.19.0.8,443,28,12,16,22140,3581,18559,790.7142857142857,86,1294,581.7512881158837,338434.5612244898,0.7357288196587508,298.4166666666667,86,1294,446.0058778262408,198921.24305555562,1.4945742903979027,1159.9375,96,1294,353.51953071046864,124976.05859375,0.30477463717697606,0.007571405834621853,0.0,0.06937098503112793,0.018318657907926528,0.0003355732275476391,0.018575993451205166,0.0,0.07028913497924805,0.025839340369087388,0.0006676715107095491,0.012197335561116537,9.512901306152344e-05,0.16321706771850586,0.04049851461272948,0.0016401296858374631,19,9,0.6785714285714286,0.32142857142857145,0,0.0,1.0,2,7,19,0,0,0.07142857142857142,0.25,0.0,0.6785714285714286,0.0,0.9852281360342515,1.6820058147602135,0.20442795753479004
recording_59.pcap,172.16.0.25:43900->172.19.0.8:443,28,172.16.0.25,43900,172.19.0.8,443,28,12,16,22140,3581,18559,790.7142857142857,86,1294,581.7512881158837,338434.5612244898,0.7357288196587508,298.4166666666667,86,1294,446.0058778262408,198921.24305555562,1.4945742903979027,1159.9375,96,1294,353.51953071046864,124976.05859375,0.30477463717697606,0.00795347602279098,1.4066696166992188e-05,0.09328889846801758,0.01927057727216111,0.0003713551484023323,0.019522168419577858,2.3126602172851562e-05,0.09328889846801758,0.026995724176671558,0.0007287691238229292,0.012329387664794921,9.393692016601562e-05,0.15512800216674805,0.038449188318092624,0.0014783400823201501,19,9,0.6785714285714286,0.32142857142857145,0,0.0,1.0,2,7,19,0,0,0.07142857142857142,0.25,0.0,0.6785714285714286,0.0,0.9852281360342515,1.6820058147602135,0.21474385261535645
recording_59.pcap,172.16.0.39:41294->172.19.0.8:443,28,172.16.0.39,41294,172.19.0.8,443,28,12,16,23335,3572,19763,833.3928571428571,86,1294,573.2046093976337,328563.52423469385,0.6877964029626631,297.6666666666667,86,1294,446.3547418316015,199232.55555555562,1.4995120106324797,1235.1875,379,1294,221.06764200974777,48870.90234375,0.17897496696634946,0.00778588542231807,1.7881393432617188e-05,0.11496496200561523,0.023240546499094603,0.0005401230015765785,0.019110809672962536,4.1961669921875e-05,0.11773991584777832,0.03426164210394392,0.0011738601196587424,0.0110382080078125,7.295608520507812e-05,0.1407310962677002,0.03512403432390323,0.0012336977871867322,21,7,0.75,0.25,0,0.0,1.0,2,5,21,0,0,0.07142857142857142,0.17857142857142858,0.0,0.75,0.0,0.9852281360342515,1.55241375221264,0.2102189064025879
recording_59.pcap,172.16.0.40:57234->172.19.0.8:443,28,172.16.0.40,57234,172.19.0.8,443,28,12,16,23335,3572,19763,833.3928571428571,86,1294,573.2046093976337,328563.52423469385,0.6877964029626631,297.6666666666667,86,1294,446.3547418316015,199232.55555555562,1.4995120106324797,1235.1875,379,1294,221.06764200974777,48870.90234375,0.17897496696634946,0.008146965945208515,0.0,0.10988688468933105,0.023323239187060134,0.0005439734861768175,0.01999709822914817,0.0,0.1121518611907959,0.03471856268564902,0.0012053785949573401,0.010715929667154948,9.393692016601562e-05,0.13578391075134277,0.03392710900424933,0.001151048725386216,21,7,0.75,0.25,0,0.0,1.0,2,5,21,0,0,0.07142857142857142,0.17857142857142858,0.0,0.75,0.0,0.9852281360342515,1.55241375221264,0.21996808052062988
recording_59.pcap,172.16.0.28:38622->172.19.0.8:443,28,172.16.0.28,38622,172.19.0.8,443,28,10,18,19853,3498,16355,709.0357142857143,86,1294,586.5996737945892,344099.1772959184,0.8273203478692639,349.8,86,1294,475.4961198579858,226096.56,1.359337106512252,908.6111111111111,94,1294,546.013953717596,298131.237654321,0.6009325079129764,0.04852830039130317,0.0,0.6797380447387695,0.14185552263222334,0.020122989301261232,0.14557300673590767,0.0,1.2389538288116455,0.38715733077440984,0.1498907987723658,0.07309523750753964,8.606910705566406e-05,0.6797380447387695,0.17351323240554853,0.030106841819821897,16,12,0.5714285714285714,0.42857142857142855,0,0.0,1.0,2,10,16,0,0,0.07142857142857142,0.35714285714285715,0.0,0.5714285714285714,0.0,0.9402859586706311,1.7872087135702293,1.3102641105651855
recording_59.pcap,172.16.0.29:33788->172.19.0.8:443,28,172.16.0.29,33788,172.19.0.8,443,28,12,16,23326,3572,19754,833.0714285714286,86,1294,573.4617890229372,328858.42346938775,0.6883704918392456,297.6666666666667,86,1294,446.3547418316015,199232.55555555562,1.4995120106324797,1234.625,370,1294,223.24618557771598,49838.859375,0.18082104734451027,0.008513706701773184,0.0,0.09335589408874512,0.02266791627922837,0.0005138344284421066,0.020897280086170544,0.0,0.09620189666748047,0.03255052915791672,0.0010595369484603866,0.010250663757324219,9.179115295410156e-05,0.1196589469909668,0.030332930372069595,0.000920086664956822,21,7,0.75,0.25,0,0.0,1.0,2,5,21,0,0,0.07142857142857142,0.17857142857142858,0.0,0.75,0.0,0.9852281360342515,1.55241375221264,0.22987008094787598
recording_59.pcap,172.16.0.38:39736->172.19.0.8:443,28,172.16.0.38,39736,172.19.0.8,443,28,12,16,23327,3572,19755,833.1071428571429,86,1294,573.432978976228,328825.3813775511,0.6883064007945464,297.6666666666667,86,1294,446.3547418316015,199232.55555555562,1.4995120106324797,1234.6875,371,1294,223.004125172047,49730.83984375,0.18061584422944835,0.008312340135927554,1.2159347534179688e-05,0.0853278636932373,0.022524507330940965,0.0005073534305016133,0.020403016697276722,3.218650817871094e-05,0.08769583702087402,0.032314856701619675,0.001044249963646214,0.00938420295715332,9.202957153320312e-05,0.11172890663146973,0.028195663067366296,0.0007949954158084437,21,7,0.75,0.25,0,0.0,1.0,2,5,21,0,0,0.07142857142857142,0.17857142857142858,0.0,0.75,0.0,0.9852281360342515,1.55241375221264,0.22443318367004395
recording_59.pcap,172.16.0.27:45361->172.19.0.8:443,28,172.16.0.27,45361,172.19.0.8,443,28,12,16,23335,3572,19763,833.3928571428571,86,1294,573.2046093976337,328563.52423469385,0.6877964029626631,297.6666666666667,86,1294,446.3547418316015,199232.55555555562,1.4995120106324797,1235.1875,379,1294,221.06764200974777,48870.90234375,0.17897496696634946,0.008649375703599717,9.5367431640625e-07,0.09220409393310547,0.022739863380303562,0.000517101386554871,0.02123028581792658,9.5367431640625e-07,0.09301209449768066,0.03238569000561847,0.001048832917140016,0.009414275487263998,9.393692016601562e-05,0.10345983505249023,0.02669472248948464,0.000712608208790597,21,7,0.75,0.25,0,0.0,1.0,2,5,21,0,0,0.07142857142857142,0.17857142857142858,0.0,0.75,0.0,0.9852281360342515,1.55241375221264,0.23353314399719238
recording_59.pcap,172.16.0.34:33387->172.19.0.8:443,28,172.16.0.34,33387,172.19.0.8,443,28,12,16,23333,3572,19761,833.3214285714286,86,1294,573.2613498702856,328628.575255102,0.6879234473221616,297.6666666666667,86,1294,446.3547418316015,199232.55555555562,1.4995120106324797,1235.0625,377,1294,221.5517627863746,49085.18359375,0.17938506171661323,0.008674586260760273,9.5367431640625e-07,0.10152387619018555,0.023187649005345597,0.0005376670663951046,0.021292166276411575,9.5367431640625e-07,0.10216689109802246,0.03312980781706711,0.001097584165995801,0.008845202128092448,9.393692016601562e-05,0.09056806564331055,0.024034070966825184,0.0005776365672383893,21,7,0.75,0.25,0,0.0,1.0,2,5,21,0,0,0.07142857142857142,0.17857142857142858,0.0,0.75,0.0,0.9852281360342515,1.55241375221264,0.23421382904052734
recording_59.pcap,172.16.0.30:44714->172.19.0.8:443,28,172.16.0.30,44714,172.19.0.8,443,28,6,22,24682,3154,21528,881.5,88,1294,554.3763226751817,307333.10714285716,0.6289011034318567,525.6666666666666,88,1294,547.2703983305591,299504.8888888889,1.0410977774202141,978.5454545454545,94,1294,515.2846280783896,265518.2479338843,0.5265822100392313,0.03958244676943178,0.0,0.45441293716430664,0.09963050310909746,0.00992623714977188,0.21347479820251464,0.0,0.94598388671875,0.3686228684491516,0.13588281914368053,0.04564247812543597,8.511543273925781e-05,0.45441293716430664,0.11084463364763626,0.012286532808478698,16,12,0.5714285714285714,0.42857142857142855,0,0.0,1.0,2,10,16,0,0,0.07142857142857142,0.35714285714285715,0.0,0.5714285714285714,0.0,0.74959525725948,1.4248501191874308,1.0687260627746582
recording_59.pcap,172.16.0.37:58669->172.19.0.8:443,28,172.16.0.37,58669,172.19.0.8,443,28,10,18,19855,3498,16357,709.1071428571429,86,1294,586.5591152332945,344051.59566326527,0.8271798149852554,349.8,86,1294,475.4961198579858,226096.56,1.359337106512252,908.7222222222222,94,1294,545.9055479512464,298012.8672839506,0.6007397360837828,0.039197815789116755,0.0,0.41232800483703613,0.09299035815376852,0.008647206709566143,0.11759344736735027,0.0,0.8968570232391357,0.2779401175787386,0.07725070895968304,0.05525093920090619,8.797645568847656e-05,0.41232800483703613,0.11513262605255832,0.013255521581758231,16,12,0.5714285714285714,0.42857142857142855,0,0.0,1.0,2,10,16,0,0,0.07142857142857142,0.35714285714285715,0.0,0.5714285714285714,0.0,0.9402859586706311,1.7872087135702293,1.0583410263061523
recording_59.pcap,172.16.0.36:51234->172.19.0.8:443,28,172.16.0.36,51234,172.19.0.8,443,28,10,18,19855,3498,16357,709.1071428571429,86,1294,586.5591152332945,344051.59566326527,0.8271798149852554,349.8,86,1294,475.4961198579858,226096.56,1.359337106512252,908.7222222222222,94,1294,545.9055479512464,298012.8672839506,0.6007397360837828,0.04068355207090025,0.0,0.3892359733581543,0.09981030763037892,0.009962097509270875,0.12204122543334961,0.0,0.9675259590148926,0.3015827319925634,0.09095214423609832,0.057098108179429,8.702278137207031e-05,0.3892359733581543,0.11934317315650611,0.014242792979063801,16,12,0.5714285714285714,0.42857142857142855,0,0.0,1.0,2,10,16,0,0,0.07142857142857142,0.35714285714285715,0.0,0.5714285714285714,0.0,0.9402859586706311,1.7872087135702293,1.0984559059143066
recording_59.pcap,172.16.0.26:50792->172.19.0.8:443,28,172.16.0.26,50792,172.19.0.8,443,28,11,17,24535,3486,21049,876.25,86,1294,560.7890885045057,314484.40178571426,0.6399875475087083,316.90909090909093,86,1294,461.41234852559035,212901.35537190083,1.4559770033796595,1238.1764705882354,373,1294,216.29506950789607,46783.557093425596,0.17468840237703612,0.009042660395304361,0.0,0.13640093803405762,0.02705969337492892,0.0007322270055451721,0.024405694007873534,0.0,0.13700485229492188,0.04049328336850284,0.0016397059979618687,0.00673443078994751,9.512901306152344e-05,0.05736899375915527,0.01759429443570844,0.000309559196690401,21,7,0.75,0.25,0,0.0,1.0,2,5,21,0,0,0.07142857142857142,0.17857142857142858,0.0,0.75,0.0,0.9666186325481028,1.5013397424044412,0.24415183067321777
recording_59.pcap,172.16.0.24:59282->172.19.0.8:443,28,172.16.0.24,59282,172.19.0.8,443,28,12,16,23331,3572,19759,833.25,86,1294,573.318325004281,328693.90178571426,0.6880507950846456,297.6666666666667,86,1294,446.3547418316015,199232.55555555562,1.4995120106324797,1234.9375,375,1294,222.03588357234062,49299.93359375,0.17979523949377246,0.011190741150467485,2.193450927734375e-05,0.14488506317138672,0.03376696322035262,0.0011402078051246467,0.027454549616033382,2.193450927734375e-05,0.15273094177246094,0.057373864173829656,0.003291760290237054,0.01048432985941569,9.894371032714844e-05,0.10540294647216797,0.028172075946435664,0.000793665863131739,21,7,0.75,0.25,0,0.0,1.0,2,5,21,0,0,0.07142857142857142,0.17857142857142858,0.0,0.75,0.0,0.9852281360342515,1.55241375221264,0.30215001106262207
recording_59.pcap,172.16.0.32:52213->172.19.0.8:443,28,172.16.0.32,52213,172.19.0.8,443,28,11,17,24539,3486,21053,876.3928571428571,86,1294,560.6613657920766,314341.16709183675,0.6397374889839906,316.90909090909093,86,1294,461.41234852559035,212901.35537190083,1.4559770033796595,1238.4117647058824,377,1294,215.3538971972931,46377.30103806228,0.1738952288203098,0.009204961635448315,0.0,0.15346479415893555,0.03003081949526286,0.0009018501195570598,0.024834585189819337,0.0,0.16939377784729004,0.05043765316246012,0.0025439568565366237,0.005941823124885559,8.606910705566406e-05,0.05181288719177246,0.015528399754710417,0.00024113119894209056,21,7,0.75,0.25,0,0.0,1.0,2,5,21,0,0,0.07142857142857142,0.17857142857142858,0.0,0.75,0.0,0.9666186325481028,1.5013397424044412,0.2485339641571045
recording_59.pcap,172.16.0.43:36639->172.19.0.8:443,28,172.16.0.43,36639,172.19.0.8,443,28,12,16,23329,3572,19757,833.1785714285714,86,1294,573.3755347296661,328759.50382653053,0.6881784462441876,297.6666666666667,86,1294,446.3547418316015,199232.55555555562,1.4995120106324797,1234.8125,373,1294,222.5200043675849,49515.15234375,0.1802055003229923,0.0088788491708261,1.2874603271484375e-05,0.16207599639892578,0.03135284378770143,0.0009830008135760084,0.021793538873845882,2.3126602172851562e-05,0.16261887550354004,0.046363465511496386,0.002149570934235715,0.0051747322082519535,8.916854858398438e-05,0.04343390464782715,0.013049737935147519,0.00017029566017602823,21,7,0.75,0.25,0,0.0,1.0,2,5,21,0,0,0.07142857142857142,0.17857142857142858,0.0,0.75,0.0,0.9852281360342515,1.55241375221264,0.2397289276123047
