file,flow_id,window_size,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,onertt_packets,handshake_packets,initial_packets,zerortt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
normal_traffic_recording_15.pcap,172.19.0.21:60555->172.19.0.8:443,28,172.19.0.21,60555,172.19.0.8,443,28,6,22,29810,2338,27472,1064.642857142857,131,1399,448.83971162843187,201457.0867346939,0.42158711592070086,389.6666666666667,131,1399,460.02487855428956,211622.88888888888,1.180559996289879,1248.7272727272727,326,1294,201.3577056380875,40544.9256198347,0.16125034668163676,0.0015598138173421223,0.0,0.019739151000976562,0.004550297610381763,2.0705208343045984e-05,0.007945775985717773,0.0,0.019739151000976562,0.008043236222905795,6.469364893746388e-05,0.0012922400519961403,2.4080276489257812e-05,0.024036169052124023,0.00510959091535494,2.6107919322277734e-05,21,7,0.75,0.25,0,0.0,1.0,21,6,1,0,0,0.03571428571428571,0.21428571428571427,0.0,0.75,0.0,0.74959525725948,1.3432994441819814,0.042114973068237305
normal_traffic_recording_15.pcap,172.19.0.39:42759->172.19.0.8:443,28,172.19.0.39,42759,172.19.0.8,443,28,8,20,25786,2674,23112,920.9285714285714,68,1399,519.5069041594999,269887.4234693878,0.5641120498125338,334.25,131,1399,409.75259303633453,167897.1875,1.2258865909837982,1155.6,68,1294,343.4183163432026,117936.13999999998,0.2971774977009369,0.005753481829607928,0.0,0.0927269458770752,0.018113191004789683,0.00032808768837599387,0.022167137690952847,0.0,0.0927269458770752,0.03095044729538098,0.0009579301877841557,0.006744899247822009,2.6226043701171875e-05,0.11043405532836914,0.024722630184630293,0.0006112084432459928,23,5,0.8214285714285714,0.17857142857142858,0,0.0,1.0,23,4,1,0,0,0.03571428571428571,0.14285714285714285,0.0,0.8214285714285714,0.0,0.863120568566631,2.0399667684413267,0.15534400939941406
normal_traffic_recording_15.pcap,172.19.0.26:58179->172.19.0.8:443,28,172.19.0.8,443,172.19.0.26,58179,28,24,4,30693,30147,546,1096.1785714285713,131,1294,424.40521855982917,180119.78954081636,0.3871679575041611,1256.125,411,1294,176.22341702603921,31054.692708333332,0.14029130622035166,136.5,131,142,5.5,30.25,0.040293040293040296,0.001352742866233543,0.0,0.02452397346496582,0.004874961531505507,2.3765249933658517e-05,0.0015880024951437244,1.6927719116210938e-05,0.03570413589477539,0.007273591001628512,5.2905126058971254e-05,0.008973280588785807,0.0,0.02452397346496582,0.011039416739615672,0.00012186872195090674,26,2,0.9285714285714286,0.07142857142857142,0,0.0,1.0,26,2,0,0,0,0.0,0.07142857142857142,0.0,0.9285714285714286,0.0,0.5916727785823275,0.948714743867915,0.036524057388305664
normal_traffic_recording_15.pcap,172.19.0.37:40786->172.19.0.8:443,28,172.19.0.37,40786,172.19.0.8,443,28,6,22,29812,2338,27474,1064.7142857142858,131,1399,448.87604534173204,201489.7040816327,0.4215929581902756,389.6666666666667,131,1399,460.02487855428956,211622.88888888888,1.180559996289879,1248.8181818181818,326,1294,201.3776724022521,40552.96694214876,0.1612545968133343,0.0015821810121889467,0.0,0.02144789695739746,0.004575651607127398,2.093658762980754e-05,0.00796337127685547,0.0,0.02144789695739746,0.008141722465707681,6.628764470860916e-05,0.0014336676824660529,3.1948089599609375e-05,0.026602983474731445,0.0056526770187045995,3.195275747779112e-05,21,7,0.75,0.25,0,0.0,1.0,21,6,1,0,0,0.03571428571428571,0.21428571428571427,0.0,0.75,0.0,0.74959525725948,1.3432994441819814,0.04271888732910156
normal_traffic_recording_15.pcap,172.19.0.18:40376->172.19.0.8:443,28,172.19.0.8,443,172.19.0.18,40376,28,25,3,31856,31441,415,1137.7142857142858,131,1294,382.7817223154412,146521.84693877553,0.3364480231300965,1257.64,411,1294,172.8224244709002,29867.5904,0.13741804051310405,138.33333333333334,131,142,5.185449728701348,26.888888888888886,0.03748517876169649,0.0007658446276629413,0.0,0.0174868106842041,0.003297274864614361,1.0872021532817652e-05,0.000861575206120809,2.7179718017578125e-05,0.019757986068725586,0.003940188779306419,1.552508761657221e-05,0.00874340534210205,0.0,0.0174868106842041,0.00874340534210205,7.644713697629868e-05,26,2,0.9285714285714286,0.07142857142857142,0,0.0,1.0,26,2,0,0,0,0.0,0.07142857142857142,0.0,0.9285714285714286,0.0,0.49123734182433315,0.8059584928680418,0.020677804946899414
normal_traffic_recording_15.pcap,172.19.0.31:58408->172.19.0.8:443,28,172.19.0.8,443,172.19.0.31,58408,28,26,2,33019,32735,284,1179.25,142,1294,330.86775789473006,109473.47321428571,0.2805747363957855,1259.0384615384614,411,1294,169.6105223444018,28767.729289940824,0.13471432964577507,142.0,142,142,0.0,0.0,0.0,0.0018987743942825883,0.0,0.04540514945983887,0.00855593687992513,7.320405589326294e-05,0.0020506763458251953,3.409385681152344e-05,0.04878711700439453,0.009541151815798805,9.103357797212083e-05,0.0,0.0,0.0,0.0,0.0,26,2,0.9285714285714286,0.07142857142857142,0,0.0,1.0,26,2,0,0,0,0.0,0.07142857142857142,0.0,0.9285714285714286,0.0,0.37123232664087563,0.5896261811873141,0.05126690864562988
normal_traffic_recording_15.pcap,172.19.0.30:60937->172.19.0.8:443,28,172.19.0.8,443,172.19.0.30,60937,28,25,3,31856,31441,415,1137.7142857142858,131,1294,382.7817223154412,146521.84693877553,0.3364480231300965,1257.64,411,1294,172.8224244709002,29867.5904,0.13741804051310405,138.33333333333334,131,142,5.185449728701348,26.888888888888886,0.03748517876169649,0.0005979626267044632,1.1920928955078125e-06,0.0060939788818359375,0.0014749268584875344,2.1754092378879077e-06,0.0006727079550425211,2.8848648071289062e-05,0.013370990753173828,0.002661361468231933,7.08284486458963e-06,0.0030475854873657227,1.1920928955078125e-06,0.0060939788818359375,0.003046393394470215,9.280512713871758e-06,26,2,0.9285714285714286,0.07142857142857142,0,0.0,1.0,26,2,0,0,0,0.0,0.07142857142857142,0.0,0.9285714285714286,0.0,0.49123734182433315,0.8059584928680418,0.016144990921020508
normal_traffic_recording_15.pcap,172.19.0.27:46555->172.19.0.8:443,28,172.19.0.27,46555,172.19.0.8,443,28,8,20,25043,2607,22436,894.3928571428571,69,1399,545.4781218138369,297546.381377551,0.6098864916658321,325.875,131,1399,413.96571038553424,171367.609375,1.2703205535421074,1121.8,69,1294,408.679409806758,167018.86000000002,0.3643068370536263,0.021199703216552734,0.0,0.25687193870544434,0.051699784462512534,0.0026728677134702527,0.08166098594665527,0.0,0.3479468822479248,0.11453166479071679,0.013117502239733117,0.027252837231284695,2.7894973754882812e-05,0.3029770851135254,0.07494815968822931,0.0056172266406523215,21,7,0.75,0.25,0,0.0,1.0,21,6,1,0,0,0.03571428571428571,0.21428571428571427,0.0,0.75,0.0,0.863120568566631,1.9860462325725075,0.5723919868469238
normal_traffic_recording_15.pcap,172.19.0.18:48395->172.19.0.8:443,28,172.19.0.8,443,172.19.0.18,48395,28,26,2,33019,32735,284,1179.25,142,1294,330.86775789473006,109473.47321428571,0.2805747363957855,1259.0384615384614,411,1294,169.6105223444018,28767.729289940824,0.13471432964577507,142.0,142,142,0.0,0.0,0.0,0.0006528165605333117,2.193450927734375e-05,0.014948129653930664,0.0028239140821367187,7.974490743290067e-06,0.0007050418853759765,2.193450927734375e-05,0.016829967498779297,0.003291489791416979,1.0833905047002189e-05,5.3882598876953125e-05,5.3882598876953125e-05,5.3882598876953125e-05,0.0,0.0,26,2,0.9285714285714286,0.07142857142857142,0,0.0,1.0,26,2,0,0,0,0.0,0.07142857142857142,0.0,0.9285714285714286,0.0,0.37123232664087563,0.5896261811873141,0.017626047134399414
normal_traffic_recording_15.pcap,172.19.0.31:41137->172.19.0.8:443,28,172.19.0.8,443,172.19.0.31,41137,28,24,4,30693,30147,546,1096.1785714285713,131,1294,424.40521855982917,180119.78954081636,0.3871679575041611,1256.125,411,1294,176.22341702603921,31054.692708333332,0.14029130622035166,136.5,131,142,5.5,30.25,0.040293040293040296,0.0007966624365912543,0.0,0.01605701446533203,0.003042141017807667,9.25462197222787e-06,0.0009352124255636464,2.5987625122070312e-05,0.01895308494567871,0.0038453199691735524,1.4786485665324889e-05,0.0014300346374511719,0.0,0.003075122833251953,0.001264589824044672,1.5991874230773344e-06,26,2,0.9285714285714286,0.07142857142857142,0,0.0,1.0,26,2,0,0,0,0.0,0.07142857142857142,0.0,0.9285714285714286,0.0,0.5916727785823275,0.948714743867915,0.021509885787963867
