file,flow_id,window_size,total_packets_in_flow,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,onertt_packets,initial_packets,handshake_packets,zerortt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
traffic_record_GET_FLOOD_2.pcap,172.16.0.49:34375->172.19.0.8:443,20,1559,172.16.0.49,34375,172.19.0.8,443,20,7,13,17502,706,16796,875.1,88,1292,568.4365311976352,323120.0900000001,0.6495675136528799,100.85714285714286,88,177,31.08710606128055,966.4081632653059,0.308229096924878,1292.0,1292,1292,0.0,0.0,0.0,0.04255126651964689,1.7881393432617188e-05,0.7566850185394287,0.16869495330699155,0.02845798727124806,0.13472417990366617,0.00015807151794433594,0.7566850185394287,0.27876066970031127,0.07770751097176604,0.00012334187825520834,8.702278137207031e-05,0.0002110004425048828,3.64218142054902e-05,1.3265485500192478e-09,20,0,1.0,0.0,0,0.0,1.0,20,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.934068055375491,1.1411535278793057,0.808474063873291
traffic_record_GET_FLOOD_2.pcap,172.16.0.30:53338->172.19.0.8:443,20,1536,172.16.0.30,53338,172.19.0.8,443,20,7,13,18895,2099,16796,944.75,88,1481,552.8547616689215,305648.3875,0.5851863050213512,299.85714285714283,88,1481,483.1720866380035,233455.26530612237,1.611340927330169,1292.0,1292,1292,0.0,0.0,0.0,0.045340475283171,0.0,0.7565631866455078,0.1692150989912078,0.028633749726604252,0.1435781717300415,0.0,0.7565631866455078,0.2767368825667779,0.07658330217277864,0.00011307001113891602,8.606910705566406e-05,0.00019502639770507812,3.160404791869924e-05,9.988158448474376e-10,20,0,1.0,0.0,0,0.0,1.0,20,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.934068055375491,1.3361602543738118,0.861469030380249
traffic_record_GET_FLOOD_2.pcap,172.16.0.29:43606->172.19.0.8:443,20,1528,172.19.0.8,443,172.16.0.29,43606,20,13,7,15208,13121,2087,760.4,67,1469,607.0473951842639,368506.5399999999,0.7983264008209678,1009.3076923076923,67,1292,516.1231791875604,266383.1360946746,0.5113635644720894,298.14285714285717,88,1469,478.9814874357071,229423.26530612246,1.6065502693099902,0.04718237174184699,2.4080276489257812e-05,0.7278220653533936,0.163492145772928,0.02672968172943634,0.07470542192459106,2.4080276489257812e-05,0.8941850662231445,0.24708257524160657,0.06104979898802417,0.1491901477177938,2.7894973754882812e-05,0.7278220653533936,0.26353994903878897,0.06945330473936748,20,0,1.0,0.0,0,0.0,1.0,20,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.934068055375491,1.842737648613667,0.8964650630950928
traffic_record_GET_FLOOD_2.pcap,172.16.0.41:49892->172.19.0.8:443,20,1549,172.19.0.8,443,172.16.0.41,49892,20,14,6,15031,14413,618,751.55,67,1292,597.8732704344625,357452.44749999995,0.7955202853229493,1029.5,67,1292,502.6492315720775,252656.25,0.4882459753007066,103.0,88,177,33.095820481343765,1095.3333333333333,0.3213186454499395,0.04283815936038369,2.002716064453125e-05,0.7222890853881836,0.16085840082952024,0.0258754251174306,0.06260961752671462,2.4080276489257812e-05,0.8121340274810791,0.21636907960731813,0.04681557861011797,0.16269259452819823,0.0002410411834716797,0.7222890853881836,0.2808009545045831,0.07884917605068495,20,0,1.0,0.0,0,0.0,1.0,20,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.8812908992306927,1.6010143058068347,0.81392502784729
traffic_record_GET_FLOOD_2.pcap,172.16.0.32:54095->172.19.0.8:443,20,1511,172.19.0.8,443,172.16.0.32,54095,20,12,8,14016,11829,2187,700.8,67,1481,611.7908629589036,374288.06000000006,0.8729892450897598,985.75,67,1292,530.4405598179686,281367.1875,0.53810860747448,273.375,88,1481,457.3647170202354,209182.484375,1.6730305149345601,0.04047406347174393,0.0,0.7187988758087158,0.16005656630301074,0.02561810441671007,0.0699062780900435,2.2172927856445312e-05,0.7676868438720703,0.22065760396566553,0.04868977818786849,0.10981386048453194,0.0,0.7187988758087158,0.24884632533099305,0.06192449363073844,20,0,1.0,0.0,0,0.0,1.0,20,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.9709505944546686,1.8822287189138016,0.7690072059631348
traffic_record_GET_FLOOD_2.pcap,172.16.0.40:59590->172.19.0.8:443,20,1431,172.19.0.8,443,172.16.0.40,59590,20,13,7,13827,13121,706,691.35,67,1292,601.0316360225975,361239.0275000001,0.8693594214545418,1009.3076923076923,67,1292,516.1231791875604,266383.1360946746,0.5113635644720894,100.85714285714286,88,177,31.08710606128055,966.4081632653059,0.308229096924878,0.039316578915244656,2.5033950805664062e-05,0.7171268463134766,0.15986012358075224,0.025555259111253382,0.06225124994913737,2.5033950805664062e-05,0.7442340850830078,0.205625637079837,0.04228190262448884,0.12437685330708821,0.00034117698669433594,0.7171268463134766,0.26523920924973104,0.07035183812342262,20,0,1.0,0.0,0,0.0,1.0,20,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.934068055375491,1.647730922119161,0.7470149993896484
traffic_record_GET_FLOOD_2.pcap,172.16.0.25:54841->172.19.0.8:443,20,1520,172.19.0.8,443,172.16.0.25,54841,20,16,4,17439,16997,442,871.95,67,1292,572.8307319793519,328135.04750000004,0.6569536464009998,1062.3125,67,1292,478.1326592523774,228610.83984375,0.45008663576148955,110.5,88,177,38.39596332949598,1474.25,0.34747478126240705,0.04178363398501748,2.4080276489257812e-05,0.7071590423583984,0.15746482007232404,0.02479516956040938,0.05292593638102214,2.4080276489257812e-05,0.7922008037567139,0.19757956589120107,0.03903768485775546,0.2642836570739746,0.02547597885131836,0.7071590423583984,0.3134811760081563,0.09827044771145665,20,0,1.0,0.0,0,0.0,1.0,20,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.7219280948873623,1.4411535278793055,0.793889045715332
traffic_record_GET_FLOOD_2.pcap,172.16.0.63:42812->172.19.0.8:443,20,1542,172.19.0.8,443,172.16.0.63,42812,20,16,4,18732,16997,1735,936.6,67,1381,553.3381786936449,306183.14,0.5907945533777972,1062.3125,67,1292,478.1326592523774,228610.83984375,0.45008663576148955,433.75,88,1381,548.0872991595409,300399.6875,1.2636018424427455,0.04025368941457648,0.0,0.6762328147888184,0.1506127072171813,0.02268418757528838,0.05098800659179688,3.0040740966796875e-05,0.7636508941650391,0.19046718979053265,0.036277750386702785,0.2339026133219401,0.0,0.6762328147888184,0.3129475457370229,0.09793616638282604,20,0,1.0,0.0,0,0.0,1.0,20,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.7219280948873623,1.578897902987479,0.7648200988769531
traffic_record_GET_FLOOD_2.pcap,172.16.0.50:52124->172.19.0.8:443,20,1525,172.19.0.8,443,172.16.0.50,52124,20,13,7,13827,13121,706,691.35,67,1292,601.0316360225975,361239.0275,0.8693594214545418,1009.3076923076923,67,1292,516.1231791875604,266383.1360946746,0.5113635644720894,100.85714285714286,88,177,31.08710606128055,966.4081632653059,0.308229096924878,0.04273394534462377,1.1920928955078125e-05,0.6732361316680908,0.15073534589627408,0.022721144502469388,0.06766208012898763,2.5987625122070312e-05,0.8104248046875,0.22395140803538552,0.05015423316103174,0.1352604627609253,5.698204040527344e-05,0.6732361316680908,0.24383243319748546,0.059454255479006214,20,0,1.0,0.0,0,0.0,1.0,20,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.934068055375491,1.647730922119161,0.8119449615478516
traffic_record_GET_FLOOD_2.pcap,172.16.0.51:38682->172.19.0.8:443,20,1480,172.19.0.8,443,172.16.0.51,38682,20,12,8,13916,11829,2087,695.8,67,1381,605.7731093404527,366961.06000000006,0.8706138392360632,985.75,67,1292,530.4405598179686,281367.1875,0.53810860747448,260.875,88,1381,424.3649483345673,180085.609375,1.6266984123989163,0.041912304727654705,1.7881393432617188e-05,0.6374490261077881,0.1434589581987377,0.020580472687467165,0.07239398089322177,2.193450927734375e-05,0.7948000431060791,0.2284448836952164,0.052187064886520945,0.11370185443333217,1.7881393432617188e-05,0.6374490261077881,0.2184408652509216,0.04771641161157129,20,0,1.0,0.0,0,0.0,1.0,20,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.9709505944546686,1.8822287189138016,0.7963337898254395
