file,flow_id,window_size,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,onertt_packets,initial_packets,handshake_packets,zerortt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
normal_traffic_recording_24.pcap,172.19.0.29:55814->172.19.0.8:443,17,172.19.0.29,55814,172.19.0.8,443,17,1,16,20803,131,20672,1223.7058823529412,131,1292,273.1764705882353,74625.38408304498,0.22323703312022306,131.0,131,131,0.0,0.0,0.0,1292.0,1292,1292,0.0,0.0,0.0,7.750093936920166e-05,5.3882598876953125e-05,0.0002560615539550781,5.346057975341869e-05,2.85803358757164e-09,0.0,0.0,0.0,0.0,0.0,6.55968983968099e-05,5.3882598876953125e-05,0.00016379356384277344,2.7951209213883865e-05,7.812700965183063e-10,17,0,1.0,0.0,0,0.0,1.0,17,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.3227569588973982,0.3227569588973982,0.0012400150299072266
normal_traffic_recording_24.pcap,172.19.0.28:36253->172.19.0.8:443,17,172.19.0.28,36253,172.19.0.8,443,17,2,15,18421,262,18159,1083.5882352941176,71,1292,450.3776270202764,202840.0069204152,0.4156353976084197,131.0,131,131,0.0,0.0,0.0,1210.6,71,1292,304.57091128339874,92763.43999999996,0.2515867431714842,0.5934574902057648,3.314018249511719e-05,9.467655897140503,2.2913174079419356,5.250135463937751,9.494634866714478,9.494634866714478,9.494634866714478,0.0,0.0,0.6763100624084473,3.314018249511719e-05,9.467843055725098,2.4383325382618604,5.9454655671465275,17,0,1.0,0.0,0,0.0,1.0,17,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.5225593745369408,0.8343470230852537,9.495319843292236
normal_traffic_recording_24.pcap,172.19.0.25:57214->172.19.0.8:443,17,172.19.0.25,57214,172.19.0.8,443,17,3,14,16039,393,15646,943.4705882352941,71,1292,540.1747122211325,291788.7197231833,0.5725400653257218,131.0,131,131,0.0,0.0,0.0,1117.5714285714287,71,1292,427.26099656260857,182551.9591836734,0.3823120255577476,1.5111990123987198,3.600120544433594e-05,15.001040935516357,4.116949507610769,16.94927324821656,12.089279055595398,9.148988008499146,15.02957010269165,2.9402910470962524,8.645311441634377,1.8577426947080171,3.600120544433594e-05,15.056469917297363,4.510903958415263,20.34825452204648,17,0,1.0,0.0,0,0.0,1.0,17,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.6722948170756379,1.159554752378731,24.179184198379517
normal_traffic_recording_24.pcap,172.19.0.22:50307->172.19.0.8:443,17,172.19.0.22,50307,172.19.0.8,443,17,1,16,20803,131,20672,1223.7058823529412,131,1292,273.1764705882353,74625.38408304498,0.22323703312022306,131.0,131,131,0.0,0.0,0.0,1292.0,1292,1292,0.0,0.0,0.0,5.568563938140869e-05,2.193450927734375e-05,0.0001850128173828125,3.602044044338451e-05,1.2974721297354108e-09,0.0,0.0,0.0,0.0,0.0,4.706382751464844e-05,2.193450927734375e-05,8.702278137207031e-05,1.3949911607778905e-05,1.9460003386484462e-10,17,0,1.0,0.0,0,0.0,1.0,17,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.3227569588973982,0.3227569588973982,0.0008909702301025391
normal_traffic_recording_24.pcap,172.19.0.21:41441->172.19.0.8:443,17,172.19.0.21,41441,172.19.0.8,443,17,1,16,20803,131,20672,1223.7058823529412,131,1292,273.1764705882353,74625.38408304498,0.22323703312022306,131.0,131,131,0.0,0.0,0.0,1292.0,1292,1292,0.0,0.0,0.0,0.0016196221113204956,6.4849853515625e-05,0.023473024368286133,0.005643347533458999,3.184737138339777e-05,0.0,0.0,0.0,0.0,0.0,0.00016272862752278645,6.4849853515625e-05,0.00033783912658691406,9.955654427849724e-05,9.911505508676381e-09,17,0,1.0,0.0,0,0.0,1.0,17,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.3227569588973982,0.3227569588973982,0.02591395378112793
normal_traffic_recording_24.pcap,172.19.0.23:52551->172.19.0.8:443,17,172.19.0.23,52551,172.19.0.8,443,17,3,14,16039,393,15646,943.4705882352941,71,1292,540.1747122211325,291788.7197231833,0.5725400653257218,131.0,131,131,0.0,0.0,0.0,1117.5714285714287,71,1292,427.26099656260857,182551.9591836734,0.3823120255577476,1.5310244411230087,2.4080276489257812e-05,15.001252174377441,4.155965891065238,17.272052487697678,12.247864961624146,9.461883783340454,15.033846139907837,2.7859811782836914,7.7616911257509855,1.8818305455721343,2.4080276489257812e-05,15.038839101791382,4.5484652712763305,20.688536324006865,17,0,1.0,0.0,0,0.0,1.0,17,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.6722948170756379,1.159554752378731,24.49639105796814
normal_traffic_recording_24.pcap,172.19.0.24:44981->172.19.0.8:443,17,172.19.0.24,44981,172.19.0.8,443,17,3,14,17262,393,16869,1015.4117647058823,73,1292,498.7753306347729,248776.83044982702,0.4912049948320669,131.0,131,131,0.0,0.0,0.0,1204.9285714285713,73,1292,313.9405003421859,98558.63775510201,0.26054697995083304,0.004201620817184448,3.886222839355469e-05,0.03430509567260742,0.009892329337800924,9.785817972751687e-05,0.033612966537475586,0.0305938720703125,0.03663206100463867,0.003019094467163086,9.114931401654758e-06,0.0005853726313664363,3.886222839355469e-05,0.0054628849029541016,0.001471527083549247,2.165391957618953e-06,17,0,1.0,0.0,0,0.0,1.0,17,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.6722948170756379,0.9780155566622415,0.06722593307495117
normal_traffic_recording_24.pcap,172.19.0.30:55535->172.19.0.8:443,17,172.19.0.30,55535,172.19.0.8,443,17,2,15,18426,262,18164,1083.8823529411766,76,1292,449.7174122324506,202245.75086505193,0.4149134922366037,131.0,131,131,0.0,0.0,0.0,1210.9333333333334,76,1292,303.32369215447414,92005.2622222222,0.2504875238007659,0.0033580660820007324,6.198883056640625e-05,0.038244009017944336,0.009531462985537455,9.084878664467055e-05,0.03936004638671875,0.03936004638671875,0.03936004638671875,0.0,0.0,0.00110607487814767,6.198883056640625e-05,0.01415395736694336,0.0036191561218504413,1.3098291034327526e-05,17,0,1.0,0.0,0,0.0,1.0,17,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.5225593745369408,0.8343470230852537,0.05372905731201172
normal_traffic_recording_24.pcap,172.19.0.18:53118->172.19.0.8:443,17,172.19.0.18,53118,172.19.0.8,443,17,2,15,18421,262,18159,1083.5882352941176,71,1292,450.3776270202764,202840.0069204152,0.4156353976084197,131.0,131,131,0.0,0.0,0.0,1210.6,71,1292,304.57091128339874,92763.43999999996,0.2515867431714842,0.11950062215328217,5.412101745605469e-05,1.8768980503082275,0.45381148468845,0.20594486363513528,1.9057269096374512,1.9057269096374512,1.9057269096374512,0.0,0.0,0.13451293536594935,5.412101745605469e-05,1.8820641040802002,0.4846834894861354,0.2349180849804567,17,0,1.0,0.0,0,0.0,1.0,17,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.5225593745369408,0.8343470230852537,1.9120099544525146
normal_traffic_recording_24.pcap,172.19.0.26:50650->172.19.0.8:443,17,172.19.0.26,50650,172.19.0.8,443,17,1,16,20803,131,20672,1223.7058823529412,131,1292,273.1764705882353,74625.38408304498,0.22323703312022306,131.0,131,131,0.0,0.0,0.0,1292.0,1292,1292,0.0,0.0,0.0,6.42538070678711e-05,5.1975250244140625e-05,0.00019097328186035156,3.344930670230164e-05,1.1188561188646418e-09,0.0,0.0,0.0,0.0,0.0,5.580584208170573e-05,5.1975250244140625e-05,8.106231689453125e-05,7.18030140518737e-06,5.155672826933572e-11,17,0,1.0,0.0,0,0.0,1.0,17,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.3227569588973982,0.3227569588973982,0.0010280609130859375
