file,flow_id,window_size,total_packets_in_flow,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,initial_packets,handshake_packets,onertt_packets,zerortt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
traffic_record_scan_7.pcap,172.16.0.56:34771->172.19.0.8:443,10,51,172.16.0.56,34771,172.19.0.8,443,10,6,4,7249,2988,4261,724.9,86,1294,574.3254216905256,329849.69,0.7922822757491041,498.0,86,1294,563.0239781749974,316996.0,1.1305702372991915,1065.25,381,1294,395.05276546304543,156066.6875,0.37085450876606,0.002902216381496853,0.0,0.020251035690307617,0.006217408106052332,3.865616355720524e-05,0.005217790603637695,0.0,0.02346205711364746,0.009149305448622204,8.370979019218794e-05,0.001956303914388021,1.811981201171875e-05,0.0034248828887939453,0.0014298963592964192,2.0446035983291545e-06,4,6,0.4,0.6,0,0.0,1.0,2,4,4,0,0,0.2,0.4,0.0,0.4,0.0,0.9709505944546686,1.9609640474436814,0.02611994743347168
traffic_record_scan_7.pcap,172.16.0.39:46491->172.19.0.8:443,10,54,172.16.0.39,46491,172.19.0.8,443,10,5,5,8451,2900,5551,845.1,86,1294,554.1982407045334,307135.69,0.6557782992598904,580.0,86,1294,583.1390914696082,340051.2,1.0054122266717382,1110.2,379,1294,365.60109409026666,133664.16,0.3293110197174082,0.004008319642808702,0.0,0.02939295768737793,0.009054991413528383,8.199286949907274e-05,0.008855998516082764,0.0,0.033223867416381836,0.014095600419516055,0.00019868595118666121,0.0016704797744750977,3.0040740966796875e-05,0.004025936126708984,0.0017132970147793088,2.935386660851691e-06,4,6,0.4,0.6,0,0.0,1.0,2,4,4,0,0,0.2,0.4,0.0,0.4,0.0,1.0,1.7709505944546688,0.03607487678527832
traffic_record_scan_7.pcap,172.16.0.43:55636->172.19.0.8:443,10,55,172.16.0.43,55636,172.19.0.8,443,10,7,3,6049,3086,2963,604.9,86,1294,568.3362473043576,323006.08999999997,0.9395540540657259,440.85714285714283,86,1294,539.7246463499245,291302.693877551,1.224261997553296,987.6666666666666,375,1294,433.2207546069581,187680.22222222222,0.4386305311579056,0.008669455846150717,1.5020370483398438e-05,0.029048919677734375,0.010172813004181394,0.00010348612441804206,0.013004183769226074,4.792213439941406e-05,0.03184199333190918,0.011962639287817455,0.0001431047387304337,0.027500033378601074,1.5020370483398438e-05,0.05498504638671875,0.027485013008117676,0.0007554259400563978,3,7,0.3,0.7,0,0.0,1.0,2,5,3,0,0,0.2,0.5,0.0,0.3,0.0,0.8812908992306927,2.1219280948873624,0.07802510261535645
traffic_record_scan_7.pcap,172.16.0.53:36285->172.19.0.8:443,10,54,172.16.0.53,36285,172.19.0.8,443,10,6,4,7251,2998,4253,725.1,86,1294,573.7094125077607,329142.49,0.791214194604552,499.6666666666667,86,1294,561.8213436869609,315643.2222222222,1.1243922822287409,1063.25,373,1294,398.51685974372526,158815.6875,0.37481011967432426,0.00800633430480957,0.0,0.03771495819091797,0.012459673099915703,0.000155243453756763,0.013193178176879882,0.0,0.04105401039123535,0.016305412599366617,0.0002658664800355837,0.01144735018412272,4.100799560546875e-05,0.02562093734741211,0.01062470172047686,0.00011288428664910396,3,7,0.3,0.7,0,0.0,1.0,2,5,3,0,0,0.2,0.5,0.0,0.3,0.0,0.9709505944546686,1.9609640474436814,0.07205700874328613
traffic_record_scan_7.pcap,172.16.0.33:53746->172.19.0.8:443,10,52,172.16.0.33,53746,172.19.0.8,443,10,5,5,8446,2900,5546,844.6,86,1294,554.6206270956751,307604.0399999999,0.6566666198149125,580.0,86,1294,583.1390914696082,340051.2,1.0054122266717382,1109.2,374,1294,367.6010881376713,135130.56,0.3314110062546622,0.00883920987447103,0.0,0.0531468391418457,0.016124068962897663,0.00025998559992027975,0.01767522096633911,0.0,0.0579228401184082,0.023810515569613947,0.0005669406516908282,0.006601512432098389,3.886222839355469e-05,0.015417814254760742,0.006752015406918192,4.5589712055260634e-05,4,6,0.4,0.6,0,0.0,1.0,2,4,4,0,0,0.2,0.4,0.0,0.4,0.0,1.0,1.7709505944546688,0.07955288887023926
traffic_record_scan_7.pcap,172.16.0.31:46276->172.19.0.8:443,10,53,172.16.0.31,46276,172.19.0.8,443,10,5,5,8446,2900,5546,844.6,86,1294,554.6206270956751,307604.0399999999,0.6566666198149125,580.0,86,1294,583.1390914696082,340051.2,1.0054122266717382,1109.2,374,1294,367.6010881376713,135130.56,0.3314110062546622,0.0022665394677056205,0.0,0.01406097412109375,0.00431951131976992,1.8658178041620472e-05,0.00493621826171875,0.0,0.017695903778076172,0.007409667933998013,5.4903178892118376e-05,0.001584470272064209,2.7894973754882812e-05,0.003862142562866211,0.0016353556264050914,2.674388024814789e-06,4,6,0.4,0.6,0,0.0,1.0,2,4,4,0,0,0.2,0.4,0.0,0.4,0.0,1.0,1.7709505944546688,0.020398855209350586
traffic_record_scan_7.pcap,172.16.0.37:35277->172.19.0.8:443,10,54,172.16.0.37,35277,172.19.0.8,443,10,7,3,6055,3086,2969,605.5,86,1294,568.0963386609704,322733.45,0.9382268185978042,440.85714285714283,86,1294,539.7246463499245,291302.693877551,1.224261997553296,989.6666666666666,381,1294,430.3923274822119,185237.55555555553,0.43488615104298944,0.005489455329047309,0.0,0.022270917892456055,0.007703297864487529,5.9340797989018124e-05,0.008234182993570963,0.0,0.022270917892456055,0.009421868517470337,8.877160636049868e-05,0.015194535255432129,3.314018249511719e-05,0.03035593032836914,0.015161395072937012,0.0002298679005576787,3,7,0.3,0.7,0,0.0,1.0,2,5,3,0,0,0.2,0.5,0.0,0.3,0.0,0.8812908992306927,2.1219280948873624,0.04940509796142578
traffic_record_scan_7.pcap,172.16.0.34:41949->172.19.0.8:443,10,48,172.16.0.34,41949,172.19.0.8,443,10,5,5,8447,2900,5547,844.7,86,1294,554.5358509600619,307510.01,0.6564885177696956,580.0,86,1294,583.1390914696082,340051.2,1.0054122266717382,1109.4,375,1294,367.201089323003,134836.64,0.33099070607806286,0.004993756612141927,9.5367431640625e-07,0.02263188362121582,0.007532992415160192,5.6745974726860985e-05,0.01074749231338501,9.5367431640625e-07,0.023237943649291992,0.010794237455739809,0.00011651556225089621,0.005577981472015381,2.8848648071289062e-05,0.014247894287109375,0.005263819877149356,2.7707799699072666e-05,4,6,0.4,0.6,0,0.0,1.0,2,4,4,0,0,0.2,0.4,0.0,0.4,0.0,1.0,1.7709505944546688,0.044943809509277344
traffic_record_scan_7.pcap,172.16.0.36:45974->172.19.0.8:443,10,51,172.16.0.36,45974,172.19.0.8,443,10,5,5,8453,2900,5553,845.3,86,1294,554.0303331046053,306949.61,0.6554245038502371,580.0,86,1294,583.1390914696082,340051.2,1.0054122266717382,1110.6,381,1294,364.80109648958023,133079.84000000003,0.3284720839992619,0.004861778683132595,1.0013580322265625e-05,0.03280186653137207,0.0099643293422843,9.928785924150787e-05,0.010114729404449463,1.0013580322265625e-05,0.03580498695373535,0.01494735006772129,0.00022342327404700768,0.0027385354042053223,2.6941299438476562e-05,0.005703926086425781,0.002714127361564354,7.366487334792282e-06,4,6,0.4,0.6,0,0.0,1.0,2,4,4,0,0,0.2,0.4,0.0,0.4,0.0,1.0,1.7709505944546688,0.04375600814819336
traffic_record_scan_7.pcap,172.16.0.49:37312->172.19.0.8:443,10,52,172.16.0.49,37312,172.19.0.8,443,10,6,4,7243,2988,4255,724.3,86,1294,574.687401984766,330265.61,0.7934383570133453,498.0,86,1294,563.0239781749974,316996.0,1.1305702372991915,1063.75,375,1294,397.6508361615753,158126.1875,0.37381982247856665,0.0016264385647243923,0.0,0.008491992950439453,0.002646995972233096,7.006587677018233e-06,0.0029180049896240234,0.0,0.01182103157043457,0.0045108069798119555,2.0347379609120254e-05,0.002048651377360026,2.6941299438476562e-05,0.0035021305084228516,0.0014745394346001358,2.1742665441908885e-06,4,6,0.4,0.6,0,0.0,1.0,2,4,4,0,0,0.2,0.4,0.0,0.4,0.0,0.9709505944546686,1.9609640474436814,0.014637947082519531
