file,flow_id,window_size,total_packets_in_flow,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,handshake_packets,onertt_packets,initial_packets,zerortt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
traffic_record_scan_5.pcap,172.16.0.30:58275->172.19.0.8:443,10,54,172.16.0.30,58275,172.19.0.8,443,10,4,6,7235,400,6835,723.5,86,1292,573.894633186267,329355.05,0.7932199491171624,100.0,86,128,16.792855623746664,282.0,0.16792855623746664,1139.1666666666667,375,1292,341.74572256121786,116790.13888888889,0.2999962451159191,0.0016582277086046007,2.8133392333984375e-05,0.01176905632019043,0.0036309452822309,1.318376364255483e-05,0.004916667938232422,3.0040740966796875e-05,0.013759136199951172,0.006264105385761352,3.923901628392438e-05,0.0006309986114501953,3.2901763916015625e-05,0.0030090808868408203,0.001189044130353371,1.4138259439278044e-06,8,2,0.8,0.2,0,0.0,1.0,2,8,0,0,0,0.0,0.2,0.0,0.8,0.0,0.9709505944546686,1.9609640474436811,0.014924049377441406
traffic_record_scan_5.pcap,172.16.0.54:46223->172.19.0.8:443,10,60,172.19.0.8,443,172.16.0.54,46223,10,5,5,7240,5546,1694,724.0,86,1294,574.5502588982099,330108.0,0.7935777056605109,1109.2,374,1294,367.6010881376713,135130.56,0.3314110062546622,338.8,86,1294,477.8361225357497,228327.36000000002,1.4103781656899341,0.0009186797671847873,2.384185791015625e-05,0.005053043365478516,0.0016066962605428233,2.581472873642292e-06,0.0020670294761657715,2.8133392333984375e-05,0.005316972732543945,0.00220055913554367,4.842460509024704e-06,0.0007902383804321289,2.384185791015625e-05,0.0024480819702148438,0.0009873698438135426,9.748992084723795e-07,5,5,0.5,0.5,0,0.0,1.0,4,5,1,0,0,0.1,0.4,0.0,0.5,0.0,1.0,1.9609640474436814,0.008268117904663086
traffic_record_scan_5.pcap,172.16.0.56:41305->172.19.0.8:443,10,52,172.16.0.56,41305,172.19.0.8,443,10,6,4,7249,2988,4261,724.9,86,1294,574.3254216905256,329849.69,0.7922822757491041,498.0,86,1294,563.0239781749974,316996.0,1.1305702372991915,1065.25,381,1294,395.05276546304543,156066.6875,0.37085450876606,0.0025277667575412327,0.0,0.016438007354736328,0.005046005924000399,2.5462175785047117e-05,0.004544210433959961,0.0,0.0200350284576416,0.007779892388340839,6.052672557416372e-05,0.0021039644877115884,2.8848648071289062e-05,0.003777027130126953,0.001556373040841081,2.4222970422569133e-06,4,6,0.4,0.6,0,0.0,1.0,4,4,2,0,0,0.2,0.4,0.0,0.4,0.0,0.9709505944546686,1.9609640474436814,0.022749900817871094
traffic_record_scan_5.pcap,172.16.0.39:35172->172.19.0.8:443,10,53,172.16.0.39,35172,172.19.0.8,443,10,6,4,7245,2988,4257,724.5,86,1294,574.5661406661552,330126.25,0.7930519539905524,498.0,86,1294,563.0239781749974,316996.0,1.1305702372991915,1064.25,377,1294,396.78481258737713,157438.1875,0.3728304558020927,0.0018199019961886937,9.5367431640625e-07,0.009546995162963867,0.002968456431534271,8.811733585917178e-06,0.0032758235931396483,9.5367431640625e-07,0.013122081756591797,0.004997313701105874,2.4973144227260488e-05,0.002265373865763346,2.5987625122070312e-05,0.003759145736694336,0.0016126733421533953,2.6007153084922015e-06,4,6,0.4,0.6,0,0.0,1.0,4,4,2,0,0,0.2,0.4,0.0,0.4,0.0,0.9709505944546686,1.9609640474436814,0.016379117965698242
traffic_record_scan_5.pcap,172.16.0.35:35619->172.19.0.8:443,10,55,172.16.0.35,35619,172.19.0.8,443,10,6,4,7244,2988,4256,724.4,86,1294,574.6266962124193,330195.84,0.7932450251413851,498.0,86,1294,563.0239781749974,316996.0,1.1305702372991915,1064.0,376,1294,397.217824373479,157782.0,0.3733250229074051,0.0017744435204399957,9.5367431640625e-07,0.009095907211303711,0.002829201109906003,8.00437892029336e-06,0.003189420700073242,9.5367431640625e-07,0.012726068496704102,0.004835168166818437,2.3378851201414362e-05,0.0022913614908854165,3.218650817871094e-05,0.003888845443725586,0.00164252464223783,2.697887200358511e-06,4,6,0.4,0.6,0,0.0,1.0,4,4,2,0,0,0.2,0.4,0.0,0.4,0.0,0.9709505944546686,1.9609640474436814,0.01596999168395996
traffic_record_scan_5.pcap,172.16.0.43:58421->172.19.0.8:443,10,51,172.16.0.43,58421,172.19.0.8,443,10,5,5,8453,2900,5553,845.3,86,1294,554.0303331046053,306949.61,0.6554245038502371,580.0,86,1294,583.1390914696082,340051.2,1.0054122266717382,1110.6,381,1294,364.80109648958023,133079.84000000003,0.3284720839992619,0.0030792024400499132,0.0,0.00950002670288086,0.003308078162374816,1.094338112838114e-05,0.005267977714538574,0.0,0.012719869613647461,0.005458322886390468,2.979328873209397e-05,0.00455319881439209,2.47955322265625e-05,0.009189128875732422,0.004527981675828561,2.050261805663922e-05,4,6,0.4,0.6,0,0.0,1.0,4,4,2,0,0,0.2,0.4,0.0,0.4,0.0,1.0,1.7709505944546688,0.02771282196044922
traffic_record_scan_5.pcap,172.16.0.53:59391->172.19.0.8:443,10,52,172.16.0.53,59391,172.19.0.8,443,10,5,5,8442,2900,5542,844.2,86,1294,554.9612238706412,307981.95999999996,0.6573812175676867,580.0,86,1294,583.1390914696082,340051.2,1.0054122266717382,1108.4,370,1294,369.201083422029,136309.44,0.33309372376581464,0.0027280118730333117,0.0,0.01129603385925293,0.0036719075134053567,1.348290478700271e-05,0.005987286567687988,0.0,0.016210079193115234,0.006681071262361555,4.463671321275342e-05,0.0033140182495117188,2.4080276489257812e-05,0.010592937469482422,0.004332663598324523,1.8771973856246404e-05,4,6,0.4,0.6,0,0.0,1.0,4,4,2,0,0,0.2,0.4,0.0,0.4,0.0,1.0,1.7709505944546688,0.024552106857299805
traffic_record_scan_5.pcap,172.16.0.33:45404->172.19.0.8:443,10,51,172.16.0.33,45404,172.19.0.8,443,10,5,5,8450,2900,5550,845.0,86,1294,554.2824189887318,307229.0,0.6559555254304519,580.0,86,1294,583.1390914696082,340051.2,1.0054122266717382,1110.0,378,1294,366.00109289454315,133956.8,0.32973071431940826,0.001790761947631836,0.0,0.009727001190185547,0.0030080590170208383,9.048419049880371e-06,0.003782987594604492,0.0,0.013176918029785156,0.005477488383062,3.0002878986579162e-05,0.0015974640846252441,1.7881393432617188e-05,0.0036170482635498047,0.001605313487091285,2.5770313918371812e-06,4,6,0.4,0.6,0,0.0,1.0,4,4,2,0,0,0.2,0.4,0.0,0.4,0.0,1.0,1.7709505944546688,0.016116857528686523
traffic_record_scan_5.pcap,172.16.0.31:48542->172.19.0.8:443,10,53,172.16.0.31,48542,172.19.0.8,443,10,6,4,7246,2988,4258,724.6,86,1294,574.5057353934772,330056.83999999997,0.7928591435184614,498.0,86,1294,563.0239781749974,316996.0,1.1305702372991915,1064.5,378,1294,396.35180080327626,157094.75,0.3723361209988504,0.0016528765360514324,0.0,0.008708000183105469,0.002706528095003835,7.325294329045087e-06,0.002975177764892578,0.0,0.01205301284790039,0.0045940862369372,2.1105628352415803e-05,0.0020513534545898438,3.1948089599609375e-05,0.003537893295288086,0.0014800613042611306,2.1905814643711588e-06,4,6,0.4,0.6,0,0.0,1.0,4,4,2,0,0,0.2,0.4,0.0,0.4,0.0,0.9709505944546686,1.9609640474436814,0.01487588882446289
traffic_record_scan_5.pcap,172.16.0.37:33589->172.19.0.8:443,10,55,172.16.0.37,33589,172.19.0.8,443,10,5,5,8444,2900,5544,844.4,86,1294,554.7906271738916,307792.63999999996,0.6570234807838603,580.0,86,1294,583.1390914696082,340051.2,1.0054122266717382,1108.8,372,1294,368.40108577473006,135719.36000000002,0.3322520614851462,0.0033699141608344186,1.1920928955078125e-05,0.009695053100585938,0.0037417713461431494,1.4000852806817916e-05,0.005402803421020508,1.1920928955078125e-05,0.013049125671386719,0.005608503463713887,3.145531110249067e-05,0.005158543586730957,2.2172927856445312e-05,0.010565042495727539,0.005131692775558838,2.6334270742722765e-05,4,6,0.4,0.6,0,0.0,1.0,4,4,2,0,0,0.2,0.4,0.0,0.4,0.0,1.0,1.7709505944546688,0.030329227447509766
