file,flow_id,window_size,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,onertt_packets,initial_packets,handshake_packets,zerortt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
normal_traffic_recording_7.pcap,172.19.0.22:38108->172.19.0.8:443,27,172.19.0.22,38108,172.19.0.8,443,27,2,25,31341,262,31079,1160.7777777777778,71,1292,371.2722205180386,137843.06172839509,0.3198478017289506,131.0,131,131,0.0,0.0,0.0,1243.16,71,1292,239.26615807506082,57248.294399999984,0.19246610096452652,0.06645203553713284,2.5033950805664062e-05,1.7014529705047607,0.32703607136414725,0.1069525919732956,1.726707935333252,1.726707935333252,1.726707935333252,0.0,0.0,0.07093741496404012,2.5033950805664062e-05,1.7016270160675049,0.3400222868453302,0.11561515555152803,27,0,1.0,0.0,0,0.0,1.0,27,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.3809465857053901,0.6052912052261445,1.727752923965454
normal_traffic_recording_7.pcap,172.19.0.24:46872->172.19.0.8:443,27,172.19.0.24,46872,172.19.0.8,443,27,2,25,32562,262,32300,1206.0,131,1292,304.05591591021545,92450.0,0.25211933325888514,131.0,131,131,0.0,0.0,0.0,1292.0,1292,1292,0.0,0.0,0.0,0.00017242248241718,1.9073486328125e-05,0.003498077392578125,0.0006656928784384577,4.431470084036792e-07,0.003498077392578125,0.003498077392578125,0.003498077392578125,0.0,0.0,3.4332275390625e-05,1.9073486328125e-05,7.486343383789062e-05,1.2999826317039094e-05,1.6899548427318223e-10,27,0,1.0,0.0,0,0.0,1.0,27,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.3809465857053901,0.3809465857053901,0.00448298454284668
normal_traffic_recording_7.pcap,172.19.0.21:37626->172.19.0.8:443,27,172.19.0.21,37626,172.19.0.8,443,27,2,25,31341,262,31079,1160.7777777777778,71,1292,371.2722205180386,137843.06172839509,0.3198478017289506,131.0,131,131,0.0,0.0,0.0,1243.16,71,1292,239.26615807506082,57248.294399999984,0.19246610096452652,0.47094615606161266,2.193450927734375e-05,12.218289136886597,2.3494736253079322,5.5200263160175975,12.243628025054932,12.243628025054932,12.243628025054932,0.0,0.0,0.509135882059733,2.193450927734375e-05,12.218446969985962,2.4415601405156258,5.961215919754682,27,0,1.0,0.0,0,0.0,1.0,27,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.3809465857053901,0.6052912052261445,12.244600057601929
normal_traffic_recording_7.pcap,172.19.0.27:57738->172.19.0.8:443,27,172.19.0.27,57738,172.19.0.8,443,27,2,25,31341,262,31079,1160.7777777777778,71,1292,371.2722205180386,137843.06172839509,0.3198478017289506,131.0,131,131,0.0,0.0,0.0,1243.16,71,1292,239.26615807506082,57248.294399999984,0.19246610096452652,0.002037387627821702,2.193450927734375e-05,0.02677297592163086,0.0069315547615211685,4.804645141196679e-05,0.05207705497741699,0.05207705497741699,0.05207705497741699,0.0,0.0,0.0011528333028157551,2.193450927734375e-05,0.026906967163085938,0.005370110467633609,2.8838086434588054e-05,27,0,1.0,0.0,0,0.0,1.0,27,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.3809465857053901,0.6052912052261445,0.05297207832336426
normal_traffic_recording_7.pcap,172.19.0.36:44799->172.19.0.8:443,27,172.19.0.36,44799,172.19.0.8,443,27,6,21,27274,2322,24952,1010.1481481481482,68,1399,489.95039081475744,240051.38545953357,0.485028252254838,387.0,131,1399,462.0205623129776,213463.0,1.1938515822040765,1188.1904761904761,68,1294,324.04050585244215,105002.24943310658,0.2727176427902086,0.009667919232295109,0.0,0.14545607566833496,0.029469751837343867,0.0008684662733546321,0.0500579833984375,0.0,0.1951160430908203,0.07340001576327704,0.005387562314049318,0.010088193416595458,2.5987625122070312e-05,0.14880704879760742,0.03378907404739488,0.0011417015249803343,22,5,0.8148148148148148,0.18518518518518517,0,0.0,1.0,22,1,4,0,0,0.037037037037037035,0.14814814814814814,0.0,0.8148148148148148,0.0,0.7642045065086203,1.5894982333637797,0.25136590003967285
normal_traffic_recording_7.pcap,172.19.0.20:43316->172.19.0.8:443,27,172.19.0.20,43316,172.19.0.8,443,27,7,20,24923,1251,23672,923.074074074074,68,1294,526.7273471320198,277441.69821673527,0.5706230539086199,178.71428571428572,131,443,108.00094481824064,11664.204081632659,0.6043218335153353,1183.6,68,1294,329.64380776832445,108665.04000000004,0.278509469219605,0.0019586544770460864,1.9073486328125e-05,0.025048017501831055,0.005616318710182429,3.154303585434522e-05,0.008487502733866373,1.9073486328125e-05,0.02862405776977539,0.01070261357029766,0.00011454593723511963,0.002490056188482987,3.695487976074219e-05,0.044728994369506836,0.009963475058243161,9.927083523623356e-05,24,3,0.8888888888888888,0.1111111111111111,0,0.0,1.0,24,0,2,1,0,0.0,0.07407407407407407,0.037037037037037035,0.8888888888888888,0.0,0.8256265261578954,1.6045671308315568,0.05092501640319824
normal_traffic_recording_7.pcap,172.19.0.23:40843->172.19.0.8:443,27,172.19.0.8,443,172.19.0.23,40843,27,24,3,30562,30147,415,1131.9259259259259,131,1294,388.6006162597738,151010.43895747597,0.34330922842136946,1256.125,411,1294,176.22341702603921,31054.692708333332,0.14029130622035166,138.33333333333334,131,142,5.185449728701348,26.888888888888886,0.03748517876169649,0.0006042718887329102,1.1920928955078125e-05,0.013570070266723633,0.002606063823367578,6.791568651465241e-06,0.0006830899611763332,1.5020370483398438e-05,0.014987945556640625,0.0030498161216880306,9.301378376108221e-06,0.0008754730224609375,3.886222839355469e-05,0.0017120838165283203,0.0008366107940673828,6.999176207500568e-07,25,2,0.9259259259259259,0.07407407407407407,0,0.0,1.0,25,0,2,0,0,0.0,0.07407407407407407,0.0,0.9259259259259259,0.0,0.5032583347756457,0.8274087988556427,0.015711069107055664
normal_traffic_recording_7.pcap,172.19.0.31:49350->172.19.0.8:443,27,172.19.0.8,443,172.19.0.31,49350,27,24,3,30562,30147,415,1131.9259259259259,131,1294,388.60061625977386,151010.438957476,0.3433092284213695,1256.125,411,1294,176.22341702603921,31054.692708333332,0.14029130622035166,138.33333333333334,131,142,5.185449728701348,26.888888888888886,0.03748517876169649,0.0008895763984093299,9.5367431640625e-07,0.020392894744873047,0.003917146730087446,1.534403850503477e-05,0.0010056081025496774,2.193450927734375e-05,0.02229595184326172,0.004539130407901225,2.0603704859933542e-05,0.0012944936752319336,9.5367431640625e-07,0.002588033676147461,0.0012935400009155273,1.6732457339685425e-06,25,2,0.9259259259259259,0.07407407407407407,0,0.0,1.0,25,0,2,0,0,0.0,0.07407407407407407,0.0,0.9259259259259259,0.0,0.5032583347756457,0.8274087988556427,0.023128986358642578
normal_traffic_recording_7.pcap,172.19.0.33:45526->172.19.0.8:443,27,172.19.0.8,443,172.19.0.33,45526,27,25,2,31725,31441,284,1175.0,142,1294,336.1878883843026,113022.29629629629,0.2861173518164277,1257.64,411,1294,172.8224244709002,29867.5904,0.13741804051310405,142.0,142,142,0.0,0.0,0.0,0.0006711116203894982,2.09808349609375e-05,0.015086174011230469,0.002896602768153932,8.39030759647702e-06,0.0007270375887552897,2.09808349609375e-05,0.016643047332763672,0.003318726776061133,1.1013947414145121e-05,6.29425048828125e-05,6.29425048828125e-05,6.29425048828125e-05,0.0,0.0,25,2,0.9259259259259259,0.07407407407407407,0,0.0,1.0,25,0,2,0,0,0.0,0.07407407407407407,0.0,0.9259259259259259,0.0,0.3809465857053901,0.6052912052261445,0.017448902130126953
normal_traffic_recording_7.pcap,172.19.0.32:40827->172.19.0.8:443,27,172.19.0.32,40827,172.19.0.8,443,27,5,22,27245,988,26257,1009.074074074074,68,1294,483.66363625101076,233930.51303155007,0.4793143027629764,197.6,131,442,122.29897791886897,14957.039999999999,0.6189219530307134,1193.5,68,1294,316.27113655561715,100027.43181818182,0.264994668249365,0.0005583029526930589,0.0,0.0065228939056396484,0.001406675144718775,1.9787349627695864e-06,0.003563225269317627,0.0,0.0065228939056396484,0.002603324199072028,6.777296885474016e-06,0.0006548563639322916,2.193450927734375e-05,0.009402990341186523,0.002085239420672572,4.348223441526882e-06,24,3,0.8888888888888888,0.1111111111111111,0,0.0,1.0,24,0,2,1,0,0.0,0.07407407407407407,0.037037037037037035,0.8888888888888888,0.0,0.691289869405789,1.4053111355802372,0.014515876770019531
