file,flow_id,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,initial_packets,handshake_packets,zerortt_packets,onertt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
traffic_record_QUIC_CONNECT.pcap,172.16.0.54:39674->172.19.0.8:443,172.16.0.54,39674,172.19.0.8,443,26,3,23,7463,2682,4781,287.03846153846155,90,1294,432.36794166802946,186942.03698224854,1.5063066438923711,894.0,94,1294,565.685424949238,320000.0,0.6327577460282304,207.8695652173913,90,1294,339.50914751687776,115266.46124763705,1.6332797307860674,1.1662698841094972,0.0,9.639121055603027,2.653110689554291,7.038996331027244,0.00663602352142334,0.0,0.01327204704284668,0.00663602352142334,4.4036808176883824e-05,1.3247311332009055,1.5020370483398438e-05,9.639121055603027,2.7909863685390612,7.7896049093708575,0,26,0.0,1.0,0,0.0,1.0,3,23,0,0,0,0.11538461538461539,0.8846153846153846,0.0,0.0,0.0,0.5159469300074474,1.2115696121630875,29.156747102737427
traffic_record_QUIC_CONNECT.pcap,172.16.0.49:39478->172.19.0.8:443,172.16.0.49,39478,172.19.0.8,443,24,3,21,7288,2682,4606,303.6666666666667,90,1294,446.1372795701142,199038.47222222222,1.4691677702638226,894.0,94,1294,565.685424949238,320000.0,0.6327577460282304,219.33333333333334,90,1294,353.35727681677236,124861.36507936507,1.6110514140582326,1.267141860464345,1.1920928955078125e-06,12.176393032073975,2.972380347972012,8.835044933010218,0.005553007125854492,1.1920928955078125e-06,0.011104822158813477,0.005551815032958984,3.082265016018937e-05,1.4566807389259337,7.987022399902344e-05,12.176393032073975,3.1440218346074924,9.884873296488662,0,24,0.0,1.0,0,0.0,1.0,3,21,0,0,0,0.125,0.875,0.0,0.0,0.0,0.5435644431995964,1.273009654835499,29.14426279067993
traffic_record_QUIC_CONNECT.pcap,172.16.0.39:35858->172.19.0.8:443,172.16.0.39,35858,172.19.0.8,443,28,3,25,7648,2682,4966,273.14285714285717,90,1294,419.7554317087268,176194.62244897962,1.536761517762075,894.0,94,1294,565.685424949238,320000.0,0.6327577460282304,198.64,90,1294,327.3097468759523,107131.67039999999,1.6477534578934372,1.0794273305822302,1.6927719116210938e-05,10.753316164016724,2.5687899091363904,6.598681597280944,0.010130524635314941,2.4080276489257812e-05,0.020236968994140625,0.010106444358825684,0.00010214021757803948,1.2135368684927623,1.6927719116210938e-05,10.753316164016724,2.694742616308306,7.261637768148134,0,28,0.0,1.0,0,0.0,1.0,3,25,0,0,0,0.10714285714285714,0.8928571428571429,0.0,0.0,0.0,0.49123734182433315,1.1559739978306767,29.144537925720215
traffic_record_QUIC_CONNECT.pcap,172.16.0.44:40538->172.19.0.8:443,172.16.0.44,40538,172.19.0.8,443,26,3,23,7457,2682,4775,286.8076923076923,90,1294,432.3326727658094,186911.5399408284,1.5073956674146498,894.0,94,1294,565.685424949238,320000.0,0.6327577460282304,207.6086956521739,90,1294,339.39751467543766,115190.67296786392,1.6347943115256685,1.1644250774383544,2.002716064453125e-05,11.918413877487183,2.840158697788948,8.066501428626214,0.005646944046020508,2.002716064453125e-05,0.011273860931396484,0.0056269168853759766,3.166219363492928e-05,1.3227245916019787,6.413459777832031e-05,11.918413877487183,2.9929337861247562,8.957652648127068,0,26,0.0,1.0,0,0.0,1.0,3,23,0,0,0,0.11538461538461539,0.8846153846153846,0.0,0.0,0.0,0.5159469300074474,1.2115696121630875,29.110626935958862
traffic_record_QUIC_CONNECT.pcap,172.16.0.38:45686->172.19.0.8:443,172.16.0.38,45686,172.19.0.8,443,24,3,21,7286,2682,4604,303.5833333333333,90,1294,446.12674924161286,199029.0763888889,1.4695363686245826,894.0,94,1294,565.685424949238,320000.0,0.6327577460282304,219.23809523809524,90,1294,353.3193489723945,124834.5623582767,1.611578264209445,1.2644982130631157,0.0,10.18724799156189,2.7238881147435534,7.419566461641189,0.006332516670227051,0.0,0.012665033340454102,0.006332516670227051,4.0100767378703495e-05,1.4536038994789124,2.9087066650390625e-05,10.18724799156189,2.8737313913917624,8.258332109870436,0,24,0.0,1.0,0,0.0,1.0,3,21,0,0,0,0.125,0.875,0.0,0.0,0.0,0.5435644431995964,1.273009654835499,29.08345890045166
traffic_record_QUIC_CONNECT.pcap,172.16.0.45:34466->172.19.0.8:443,172.16.0.45,34466,172.19.0.8,443,24,3,21,7285,2682,4603,303.5416666666667,90,1294,446.1216182431522,199024.49826388885,1.4697211857015309,894.0,94,1294,565.685424949238,320000.0,0.6327577460282304,219.1904761904762,90,1294,353.3005760710761,124821.2970521542,1.611842732455485,1.2643310920051907,0.0,11.85562801361084,2.8103928105590446,7.898307749641965,0.009010553359985352,0.0,0.018021106719970703,0.009010553359985352,8.119007185314331e-05,1.4531078577041625,8.296966552734375e-05,11.85562801361084,2.9681358544338106,8.809830450375527,0,24,0.0,1.0,0,0.0,1.0,3,21,0,0,0,0.125,0.875,0.0,0.0,0.0,0.5435644431995964,1.273009654835499,29.079615116119385
traffic_record_QUIC_CONNECT.pcap,172.16.0.52:53528->172.19.0.8:443,172.16.0.52,53528,172.19.0.8,443,24,3,21,7289,2682,4607,303.7083333333333,90,1294,446.1426788938216,199043.2899305556,1.4689839886749512,894.0,94,1294,565.685424949238,320000.0,0.6327577460282304,219.38095238095238,90,1294,353.37643171882735,124874.90249433107,1.6107890310604243,1.2643638693768045,0.0,9.648099899291992,2.7442443728579846,7.530877177962713,0.0113295316696167,0.0,0.0226590633392334,0.0113295316696167,0.00012835828785284775,1.4529728055000306,1.4066696166992188e-05,9.648099899291992,2.896164335539576,8.387767858451392,0,24,0.0,1.0,0,0.0,1.0,3,21,0,0,0,0.125,0.875,0.0,0.0,0.0,0.5435644431995964,1.273009654835499,29.080368995666504
traffic_record_QUIC_CONNECT.pcap,172.16.0.40:60942->172.19.0.8:443,172.16.0.40,60942,172.19.0.8,443,26,3,23,7461,2682,4779,286.96153846153845,90,1294,432.35584354069624,186931.575443787,1.5066682659238846,894.0,94,1294,565.685424949238,320000.0,0.6327577460282304,207.7826086956522,90,1294,339.4714506177199,115240.86578449902,1.6337818297149105,1.163003635406494,2.3126602172851562e-05,10.505376100540161,2.6433799873625707,6.987457757588945,0.016150474548339844,2.3126602172851562e-05,0.032277822494506836,0.016127347946166992,0.0002600913517767367,1.3201553171331233,7.700920104980469e-05,10.505376100540161,2.7810891954747112,7.734457113186178,0,26,0.0,1.0,0,0.0,1.0,3,23,0,0,0,0.11538461538461539,0.8846153846153846,0.0,0.0,0.0,0.5159469300074474,1.2115696121630875,29.075090885162354
traffic_record_QUIC_CONNECT.pcap,172.16.0.58:54396->172.19.0.8:443,172.16.0.58,54396,172.19.0.8,443,24,3,21,7283,2682,4601,303.4583333333333,90,1294,446.11162459324265,199015.58159722228,1.470091856410521,894.0,94,1294,565.685424949238,320000.0,0.6327577460282304,219.0952380952381,90,1294,353.26341241169155,124795.03854875287,1.6123737580190225,1.262464647707732,3.504753112792969e-05,12.185518026351929,2.961956845745546,8.773188356058904,0.005666971206665039,3.504753112792969e-05,0.011298894882202148,0.005631923675537109,3.1718564287075424e-05,1.451308047771454,7.700920104980469e-05,12.185518026351929,3.133010720729873,9.81575617620832,0,24,0.0,1.0,0,0.0,1.0,3,21,0,0,0,0.125,0.875,0.0,0.0,0.0,0.5435644431995964,1.273009654835499,29.036686897277832
traffic_record_QUIC_CONNECT.pcap,172.16.0.31:34861->172.19.0.8:443,172.16.0.31,34861,172.19.0.8,443,28,3,25,7646,2682,4964,273.07142857142856,90,1294,419.74064514134614,176182.20918367346,1.5371093465809171,894.0,94,1294,565.685424949238,320000.0,0.6327577460282304,198.56,90,1294,327.27029562733003,107105.84640000001,1.6482186524341762,1.0753630443855569,0.0,10.753320932388306,2.527360830415993,6.3875527671210195,0.008979082107543945,0.0,0.01795816421508789,0.008979082107543945,8.062391549401582e-05,1.2090608378251393,1.2874603271484375e-05,10.753320932388306,2.6504929022642987,7.025112624953425,0,28,0.0,1.0,0,0.0,1.0,3,25,0,0,0,0.10714285714285714,0.8928571428571429,0.0,0.0,0.0,0.49123734182433315,1.1559739978306767,29.034802198410034
traffic_record_QUIC_CONNECT.pcap,172.16.0.63:47743->172.19.0.8:443,172.16.0.63,47743,172.19.0.8,443,24,3,21,7282,2682,4600,303.4166666666667,90,1294,446.10676194780496,199011.2430555555,1.4702777103470637,894.0,94,1294,565.685424949238,320000.0,0.6327577460282304,219.04761904761904,90,1294,353.2450216938293,124782.04535147392,1.6126403164283512,1.2613199586453645,1.4066696166992188e-05,12.185962915420532,2.9615899555390146,8.771015064749584,0.0053560733795166016,3.218650817871094e-05,0.010679960250854492,0.005323886871337891,2.8343771418803954e-05,1.4500085473060609,1.4066696166992188e-05,12.185962915420532,3.1326833453321443,9.813704942121396,0,24,0.0,1.0,0,0.0,1.0,3,21,0,0,0,0.125,0.875,0.0,0.0,0.0,0.5435644431995964,1.273009654835499,29.010359048843384
traffic_record_QUIC_CONNECT.pcap,172.16.0.50:54059->172.19.0.8:443,172.16.0.50,54059,172.19.0.8,443,26,3,23,7465,2682,4783,287.11538461538464,90,1294,432.3803815839685,186952.7943786982,1.5059464060526697,894.0,94,1294,565.685424949238,320000.0,0.6327577460282304,207.95652173913044,90,1294,339.54733015293857,115292.38941398867,1.6327803875219709,1.1601696872711182,3.0994415283203125e-05,12.186069011688232,2.8603328005073823,8.181503729658404,0.006762027740478516,3.0994415283203125e-05,0.013493061065673828,0.0067310333251953125,4.5306809624889866e-05,1.3177926432002673,6.29425048828125e-05,12.186069011688232,3.014982049141108,9.090116756643114,0,26,0.0,1.0,0,0.0,1.0,3,23,0,0,0,0.11538461538461539,0.8846153846153846,0.0,0.0,0.0,0.5159469300074474,1.2115696121630875,29.004242181777954
traffic_record_QUIC_CONNECT.pcap,172.16.0.47:38379->172.19.0.8:443,172.16.0.47,38379,172.19.0.8,443,24,3,21,7278,2682,4596,303.25,90,1294,446.08820596379815,198994.6875,1.471024586855064,894.0,94,1294,565.685424949238,320000.0,0.6327577460282304,218.85714285714286,90,1294,353.17273336405333,124730.97959183672,1.6137135336477633,1.2604429618172024,1.4066696166992188e-05,9.649235010147095,2.7450477322367925,7.535287052258357,0.005357027053833008,4.9114227294921875e-05,0.010664939880371094,0.005307912826538086,2.8173938574127533e-05,1.4490076541900634,1.4066696166992188e-05,9.649235010147095,2.897063470425194,8.39297675167207,0,24,0.0,1.0,0,0.0,1.0,3,21,0,0,0,0.125,0.875,0.0,0.0,0.0,0.5435644431995964,1.273009654835499,28.990188121795654
traffic_record_QUIC_CONNECT.pcap,172.16.0.42:53349->172.19.0.8:443,172.16.0.42,53349,172.19.0.8,443,22,3,19,7097,2682,4415,322.59090909090907,90,1294,461.05596772181667,212572.60537190086,1.4292280245004887,894.0,94,1294,565.685424949238,320000.0,0.6327577460282304,232.3684210526316,90,1294,368.66833054947705,135916.33795013846,1.5865681269399918,1.380192518234253,0.0,12.23344612121582,3.0915529918673412,9.557699901523907,0.010915040969848633,0.0,0.021830081939697266,0.010915040969848633,0.00011913811937347418,1.6090812153286405,8.797645568847656e-05,12.23344612121582,3.2838859063109904,10.783906645667955,0,22,0.0,1.0,0,0.0,1.0,3,19,0,0,0,0.13636363636363635,0.8636363636363636,0.0,0.0,0.0,0.5746356978376794,1.3410971216314893,28.98404288291931
traffic_record_QUIC_CONNECT.pcap,172.16.0.55:57701->172.19.0.8:443,172.16.0.55,57701,172.19.0.8,443,24,3,21,7284,2682,4602,303.5,90,1294,446.11657669268465,199020.0,1.469906348246078,894.0,94,1294,565.685424949238,320000.0,0.6327577460282304,219.14285714285714,90,1294,353.2819305441189,124808.12244897963,1.6121078968766833,1.2597088295480479,0.0,10.186259031295776,2.7256608473818016,7.429227054950082,0.010449051856994629,0.0,0.020898103713989258,0.010449051856994629,0.0001091826847101629,1.4476510524749755,7.390975952148438e-05,10.186259031295776,2.8762464820151092,8.272793825304293,0,24,0.0,1.0,0,0.0,1.0,3,21,0,0,0,0.125,0.875,0.0,0.0,0.0,0.5435644431995964,1.273009654835499,28.973303079605103
traffic_record_QUIC_CONNECT.pcap,172.16.0.41:46657->172.19.0.8:443,172.16.0.41,46657,172.19.0.8,443,24,3,21,7277,2682,4595,303.2083333333333,90,1294,446.08379063118724,198990.7482638889,1.471212171931908,894.0,94,1294,565.685424949238,320000.0,0.6327577460282304,218.8095238095238,90,1294,353.1549800148613,124718.43990929707,1.6139835865749919,1.259673253349636,3.0994415283203125e-05,12.18704891204834,2.9191238476690966,8.52128403803043,0.0156019926071167,3.504753112792969e-05,0.03116893768310547,0.01556694507598877,0.000242329778998851,1.4471208453178406,3.0994415283203125e-05,12.18704891204834,3.0870806360023813,9.530066853180868,0,24,0.0,1.0,0,0.0,1.0,3,21,0,0,0,0.125,0.875,0.0,0.0,0.0,0.5435644431995964,1.273009654835499,28.972484827041626
traffic_record_QUIC_CONNECT.pcap,172.16.0.34:42630->172.19.0.8:443,172.16.0.34,42630,172.19.0.8,443,26,3,23,7458,2682,4776,286.84615384615387,90,1294,432.3383372658762,186916.4378698225,1.507213296984819,894.0,94,1294,565.685424949238,320000.0,0.6327577460282304,207.65217391304347,90,1294,339.4158163791392,115203.09640831753,1.6345401542546485,1.158213357925415,9.059906005859375e-06,12.187156200408936,2.820514153382282,7.955300089429773,0.011260032653808594,9.059906005859375e-06,0.022511005401611328,0.011250972747802734,0.0001265843877717998,1.3151568607850508,7.700920104980469e-05,12.187156200408936,2.972345660687076,8.834838726605291,0,26,0.0,1.0,0,0.0,1.0,3,23,0,0,0,0.11538461538461539,0.8846153846153846,0.0,0.0,0.0,0.5159469300074474,1.2115696121630875,28.955333948135376
traffic_record_QUIC_CONNECT.pcap,172.16.0.62:32876->172.19.0.8:443,172.16.0.62,32876,172.19.0.8,443,24,3,21,7281,2682,4599,303.375,90,1294,446.10198875929706,199006.984375,1.470463910207819,894.0,94,1294,565.685424949238,320000.0,0.6327577460282304,219.0,90,1294,353.22675841043366,124769.14285714286,1.612907572650382,1.257495351459669,0.0,12.187274932861328,2.919570930471355,8.523894418053374,0.005146026611328125,0.0,0.01029205322265625,0.005146026611328125,2.6481589884497225e-05,1.4456316471099853,8.702278137207031e-05,12.187274932861328,3.087249926663109,9.53111210968137,0,24,0.0,1.0,0,0.0,1.0,3,21,0,0,0,0.125,0.875,0.0,0.0,0.0,0.5435644431995964,1.273009654835499,28.922393083572388
traffic_record_QUIC_CONNECT.pcap,172.16.0.53:46439->172.19.0.8:443,172.16.0.53,46439,172.19.0.8,443,26,3,23,7465,2682,4783,287.11538461538464,90,1294,432.3803815839685,186952.7943786982,1.5059464060526697,894.0,94,1294,565.685424949238,320000.0,0.6327577460282304,207.95652173913044,90,1294,339.54733015293857,115292.38941398867,1.6327803875219709,1.1567203998565674,2.5033950805664062e-05,12.18740200996399,2.8205701408461317,7.955615919432766,0.00722348690032959,2.5033950805664062e-05,0.014421939849853516,0.007198452949523926,5.181772486650971e-05,1.3138230930675159,7.700920104980469e-05,12.18740200996399,2.9723374127136366,8.834789695017195,0,26,0.0,1.0,0,0.0,1.0,3,23,0,0,0,0.11538461538461539,0.8846153846153846,0.0,0.0,0.0,0.5159469300074474,1.2115696121630875,28.918009996414185
traffic_record_QUIC_CONNECT.pcap,172.16.0.57:49950->172.19.0.8:443,172.16.0.57,49950,172.19.0.8,443,24,3,21,7283,2682,4601,303.4583333333333,90,1294,446.11162459324265,199015.58159722228,1.470091856410521,894.0,94,1294,565.685424949238,320000.0,0.6327577460282304,219.0952380952381,90,1294,353.26341241169155,124795.03854875287,1.6123737580190225,1.2557566995206086,0.0,10.36754298210144,2.665106047511933,7.1027902444846776,0.007073044776916504,0.0,0.014146089553833008,0.007073044776916504,5.0027962416265837e-05,1.443478000164032,1.71661376953125e-05,10.36754298210144,2.810344781301254,7.898037789787194,0,24,0.0,1.0,0,0.0,1.0,3,21,0,0,0,0.125,0.875,0.0,0.0,0.0,0.5435644431995964,1.273009654835499,28.882404088974
