file,flow_id,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,initial_packets,handshake_packets,onertt_packets,zerortt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
traffic_record_normal.pcap,172.19.0.31:39446->172.19.0.8:443,172.19.0.31,39446,172.19.0.8,443,500,38,462,574548,8058,566490,1149.096,66,1399,374.6092454598525,140332.086784,0.32600343701470763,212.05263157894737,131,1399,213.68544853154464,45661.47091412741,1.0077000551251796,1226.1688311688313,66,1294,264.4958237101404,69958.0407601057,0.21570913970958863,0.034639779933707746,0.0,15.063244819641113,0.674337942736414,0.4547316610139791,0.4671689239708153,0.0,15.063244819641113,2.4353515868932005,5.93093735178323,0.03741025148917176,1.5020370483398438e-05,15.102298021316528,0.7046328014377824,0.49650738486205725,492,8,0.984,0.016,0,0.0,1.0,1,7,492,0,0,0.002,0.014,0.0,0.984,0.0,0.38792567937193734,1.0100033546189198,17.285250186920166
traffic_record_normal.pcap,172.19.0.39:44653->172.19.0.8:443,172.19.0.39,44653,172.19.0.8,443,2603,148,2455,3157628,24641,3132987,1213.0726085286208,66,1399,283.99183573631495,80651.3627648821,0.23410951145024933,166.49324324324326,131,1399,119.70529671845914,14329.358062454343,0.7189799080529179,1276.165784114053,66,1294,120.98276379208788,14636.829134772132,0.09480176110196938,0.009717313625737394,0.0,23.90328288078308,0.46855711581369147,0.21954577077964507,0.17197403453645252,0.0,23.907439947128296,1.9645809763415214,3.8595784126030055,0.010299399410114117,1.2874603271484375e-05,23.903596878051758,0.48261835536215114,0.2329204769324676,2595,8,0.996926623127161,0.003073376872839032,0,0.0,1.0,1,7,2595,0,0,0.000384172109104879,0.002689204763734153,0.0,0.996926623127161,0.0,0.3148418314390218,0.7555921465461763,25.2844500541687
traffic_record_normal.pcap,172.19.0.30:51972->172.19.0.8:443,172.19.0.30,51972,172.19.0.8,443,2667,109,2558,3277063,19067,3257996,1228.7450318710162,66,1399,255.7590749026859,65412.70439507771,0.2081465790451582,174.92660550458714,131,1399,175.00955184532438,30628.34323710128,1.0004741779587958,1273.64972634871,66,1294,132.50316672688925,17557.08919265381,0.10403422855257732,0.0070441657228748865,0.0,18.0030779838562,0.34861913805259304,0.1215353034165329,0.1738571944060149,0.0,18.00319790840149,1.7237102559429964,2.9711770464430702,0.007341036723841435,1.3828277587890625e-05,18.00336503982544,0.3559817903407678,0.1267230350542184,2659,8,0.9970003749531309,0.0029996250468691415,0,0.0,1.0,1,7,2659,0,0,0.0003749531308586427,0.0026246719160104987,0.0,0.9970003749531309,0.0,0.24626649071331375,0.641189732081233,18.77974581718445
traffic_record_normal.pcap,172.19.0.31:54239->172.19.0.8:443,172.19.0.31,54239,172.19.0.8,443,115,18,97,119362,2742,116620,1037.9304347826087,66,1294,475.47473250177774,226076.2212476371,0.4580988441690357,152.33333333333334,131,305,52.76994093863159,2784.6666666666665,0.3464109908444087,1202.2680412371135,66,1294,308.16880216550476,94968.010628122,0.25632287609375715,0.28347990387364436,0.0,28.123646020889282,2.6426562361559562,6.983631982493965,1.900982884799733,0.0,28.123646020889282,6.614959943052855,43.75769504819383,0.33594245711962384,2.5987625122070312e-05,28.315490007400513,2.897866943032915,8.397632819522931,111,4,0.9652173913043478,0.034782608695652174,0,0.0,1.0,0,4,111,0,0,0.0,0.034782608695652174,0.0,0.9652173913043478,0.0,0.625923131656436,1.3927473626676778,32.31670904159546
traffic_record_normal.pcap,172.19.0.30:55314->172.19.0.8:443,172.19.0.8,443,172.19.0.30,55314,42,31,11,37752,36289,1463,898.8571428571429,66,1294,540.4851687947365,292124.21768707485,0.6013026353406159,1170.6129032258063,66,1294,337.3388912880373,113797.52757544223,0.288172879658551,133.0,131,142,4.242640687119285,18.0,0.03189955403849086,0.0009029493099305687,0.0,0.014872074127197266,0.002944549755884283,8.67037326487819e-06,0.0007382949193318685,2.7894973754882812e-05,0.01264500617980957,0.0024665147739395044,6.083695130061845e-06,0.0025686025619506836,0.0,0.02120804786682129,0.006225965577061311,3.876264736675239e-05,40,2,0.9523809523809523,0.047619047619047616,0,0.0,1.0,0,2,40,0,0,0.0,0.047619047619047616,0.0,0.9523809523809523,0.0,0.8296071030882031,1.6087153377455592,0.03702092170715332
traffic_record_normal.pcap,172.19.0.39:45983->172.19.0.8:443,172.19.0.8,443,172.19.0.39,45983,126,97,29,120783,116622,4161,958.5952380952381,66,1294,521.5978530388949,272064.3202947846,0.5441273149607209,1202.2886597938145,66,1294,307.93991108732865,94826.98884047188,0.2561281008340697,143.48275862068965,131,305,42.9736251828436,1846.7324613555295,0.29950375638126997,0.24758908653259276,9.5367431640625e-07,27.697361946105957,2.4810794860850836,6.155755416272221,0.3223788117369016,2.5033950805664062e-05,27.717444896697998,2.828923964189202,8.002810795163949,1.1048208134514945,9.5367431640625e-07,27.697361946105957,5.151178738059597,26.534642391437263,124,2,0.9841269841269841,0.015873015873015872,0,0.0,1.0,0,2,124,0,0,0.0,0.015873015873015872,0.0,0.9841269841269841,0.0,0.7782879032550675,1.5158333847099605,30.948635816574097
traffic_record_normal.pcap,172.19.0.30:47432->172.19.0.8:443,172.19.0.8,443,172.19.0.30,47432,80,66,14,81484,79454,2030,1018.55,66,1294,490.33885987141593,240432.19750000007,0.4814087279676167,1203.8484848484848,66,1294,307.91091009951305,94809.12855831039,0.2557721457266829,145.0,131,305,44.540511255004056,1983.857142857143,0.30717593968968315,0.05215859413146973,0.0,4.048323154449463,0.45249269412376114,0.20474963823537967,0.06339275286747859,2.193450927734375e-05,4.0729310512542725,0.501204013088701,0.25120546273621874,0.3157783104823186,0.0,4.048323154449463,1.0775328076275394,1.161076951513688,78,2,0.975,0.025,0,0.0,1.0,0,2,78,0,0,0.0,0.025,0.0,0.975,0.0,0.6690158350565576,1.4328069984203755,4.120528936386108
traffic_record_normal.pcap,172.19.0.39:39373->172.19.0.8:443,172.19.0.39,39373,172.19.0.8,443,2780,331,2449,3153865,48149,3105716,1134.4838129496402,66,1399,391.97736237655005,153646.25261567725,0.3455116396569952,145.4652567975831,131,1399,96.10782512213804,9236.714049707469,0.6606926439890276,1268.1567986933442,66,1294,151.95628332308124,23090.712041364535,0.11982452286629748,0.004267400869923386,1.1920928955078125e-06,11.04840898513794,0.20956612345330733,0.043917960099246846,0.035929636521772904,1.1920928955078125e-06,11.049916982650757,0.6072990596271267,0.36881214782399235,0.004840873327909731,2.5987625122070312e-05,11.048740148544312,0.22329376390602265,0.04986010499931858,2772,8,0.9971223021582734,0.0028776978417266188,0,0.0,1.0,1,7,2772,0,0,0.00035971223021582735,0.002517985611510791,0.0,0.9971223021582734,0.0,0.5266665244179304,1.0344034416073125,11.85910701751709
traffic_record_normal.pcap,172.19.0.31:58244->172.19.0.8:443,172.19.0.31,58244,172.19.0.8,443,2760,314,2446,3151340,45769,3105571,1141.7898550724638,66,1399,384.28451308702216,147674.5869985297,0.33656325757302646,145.7611464968153,131,1399,91.87153669519468,8440.379254736501,0.6302882414361496,1269.652902698283,66,1294,147.7980190031499,21844.25442125546,0.11640820785668872,0.006821566882795421,0.0,17.965815782546997,0.3419895577748362,0.11695685762702802,0.060116144034047476,0.0,17.966044902801514,1.0137892184903825,1.0277685795273404,0.0076938589170179,1.0967254638671875e-05,17.96619176864624,0.3632903227728122,0.13197985862037406,2752,8,0.9971014492753624,0.002898550724637681,0,0.0,1.0,1,7,2752,0,0,0.00036231884057971015,0.002536231884057971,0.0,0.9971014492753624,0.0,0.5111781432271406,1.0359869069129588,18.82070302963257
traffic_record_normal.pcap,172.19.0.30:36338->172.19.0.8:443,172.19.0.30,36338,172.19.0.8,443,2706,258,2448,3144187,38637,3105550,1161.9316334072432,66,1399,360.66970553927075,130082.63649378429,0.31040527271096363,149.75581395348837,131,1399,113.53740660573537,12890.742698756081,0.7581502421067817,1268.6070261437908,66,1294,151.9205399987412,23079.850473509123,0.11975382200155156,0.007802669486364904,0.0,20.25777006149292,0.38943978407310864,0.15166334541890947,0.08210783709811793,0.0,20.26011896133423,1.2611820304316996,1.5905801138838243,0.008621250506464588,2.5033950805664062e-05,20.25813913345337,0.4094589186175697,0.16765660603546959,2698,8,0.9970436067997044,0.0029563932002956393,0,0.0,1.0,1,7,2698,0,0,0.0003695491500369549,0.0025868440502586844,0.0,0.9970436067997044,0.0,0.45405917984837335,0.9440241525053786,21.106220960617065
