file,flow_id,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,onertt_packets,handshake_packets,initial_packets,zerortt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
normal_traffic_recording_15.pcap,172.19.0.17:50719->172.19.0.8:443,172.19.0.8,443,172.19.0.17,50719,76,65,11,81024,79387,1637,1066.1052631578948,66,1294,456.068888464156,207998.83102493075,0.42778973542747645,1221.3384615384616,66,1294,276.21024750794885,76292.10082840236,0.22615372904904674,148.8181818181818,131,305,49.56688443969271,2456.876033057851,0.3330700848116187,0.019286266962687173,0.0,1.3551750183105469,0.15535652495967076,0.024135649847544804,0.022601094096899033,2.193450927734375e-05,1.3760697841644287,0.1705836493558097,0.029098781427545833,0.14386379718780518,0.0,1.3551750183105469,0.40387292214384946,0.1631133372410119,74,2,0.9736842105263158,0.02631578947368421,0,0.0,1.0,74,2,0,0,0,0.0,0.02631578947368421,0.0,0.9736842105263158,0.0,0.596510991708588,1.2764692579894787,1.446470022201538
normal_traffic_recording_15.pcap,172.19.0.40:45664->172.19.0.8:443,172.19.0.40,45664,172.19.0.8,443,41187,1099,40088,51578994,143969,51435025,1252.3124772379633,66,1294,200.90307636432377,40362.04609264931,0.1604256765112054,131.0,131,131,0.0,0.0,0.0,1283.0529086010777,66,1294,77.8071694457758,6053.955617163667,0.0606422143032352,0.005784821835646951,0.0,27.690013885498047,0.2985352513595189,0.08912329630429115,0.21696591898391807,0.0,27.72027587890625,1.817849822573681,3.304577977431163,0.005943411330992147,7.867813110351562e-06,27.715106964111328,0.30309353692974234,0.09186569212858109,41187,0,1.0,0.0,0,0.0,1.0,41187,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.17747512994687417,0.4150734805118496,238.25367212295532
normal_traffic_recording_15.pcap,172.19.0.21:38617->172.19.0.8:443,172.19.0.21,38617,172.19.0.8,443,69380,2127,67253,86648604,280488,86368116,1248.8988757567022,66,1399,209.83365395193465,44030.162330820254,0.16801492740939283,131.87023977433003,131,1399,28.41387804450212,807.3484655278396,0.2154684642503637,1284.2269638529135,66,1294,68.45877274676582,4686.603565993326,0.053307378425832996,0.004373040587806638,0.0,29.245769023895264,0.25782518703214163,0.06647382706815883,0.1426957770551249,0.0,29.245769023895264,1.46750059119306,2.1535579851519806,0.004510572949560763,8.106231689453125e-06,29.29400897026062,0.2623160434732302,0.06880970666344959,69373,7,0.999899106370712,0.00010089362928797924,0,0.0,1.0,69373,6,1,0,0,1.4413375612568464e-05,8.648025367541078e-05,0.0,0.999899106370712,0.0,0.19767730043663342,0.4504219262009992,303.39718294143677
normal_traffic_recording_15.pcap,172.19.0.36:46484->172.19.0.8:443,172.19.0.36,46484,172.19.0.8,443,11561,289,11272,14503910,37859,14466051,1254.5549692933137,66,1294,194.55321906515178,37850.95504861294,0.15507747673642625,131.0,131,131,0.0,0.0,0.0,1283.361515259049,66,1294,75.00567510189528,5625.851297491074,0.05844469715671289,0.003772366624389965,0.0,15.002173900604248,0.2220910852146095,0.04932445013180293,0.15141860478454167,0.0,15.005361795425415,1.4009067590460738,1.9625397475409743,0.0037917373724240143,1.2874603271484375e-05,15.028426885604858,0.22506062191774506,0.050652283538002184,11561,0,1.0,0.0,0,0.0,1.0,11561,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.16864950197886164,0.39343917754423635,43.608558177948
normal_traffic_recording_15.pcap,172.19.0.22:58144->172.19.0.8:443,172.19.0.22,58144,172.19.0.8,443,41385,1194,40191,51713744,156414,51557330,1249.5769964963151,66,1294,207.49704149186414,43055.02222787638,0.16605382627374257,131.0,131,131,0.0,0.0,0.0,1282.8078425518152,66,1294,77.83673882029991,6058.557910179584,0.06067684982769033,0.0054256334287295736,0.0,15.004329919815063,0.2735448353485334,0.07482677694585627,0.18820990261068288,0.0,15.029573917388916,1.6023609276040665,2.5675605423121644,0.005586304703764905,7.867813110351562e-06,15.038776159286499,0.27800869804951966,0.077288836191189,41385,0,1.0,0.0,0,0.0,1.0,41385,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.18859670848769808,0.4424577948033784,224.53441381454468
normal_traffic_recording_15.pcap,172.19.0.35:51164->172.19.0.8:443,172.19.0.35,51164,172.19.0.8,443,80,11,69,86540,3277,83263,1081.75,66,1399,442.95746127591076,196211.3125,0.40948228451667273,297.90909090909093,131,1399,362.4370677775295,131360.6280991735,1.2166029128937517,1206.7101449275362,66,1294,304.9359211113656,92985.91598403697,0.2527002216672979,0.059452162513250036,0.0,4.604043006896973,0.5145891789929525,0.2648020231366409,0.4696720838546753,0.0,4.604187965393066,1.3782105573443764,1.8994643403754963,0.06877835357890409,1.5974044799804688e-05,4.606009006500244,0.5543266116391458,0.30727799237133635,73,7,0.9125,0.0875,0,0.0,1.0,73,6,1,0,0,0.0125,0.075,0.0,0.9125,0.0,0.5776539033535631,1.4028693546300306,4.696720838546753
normal_traffic_recording_15.pcap,172.19.0.27:49510->172.19.0.8:443,172.19.0.27,49510,172.19.0.8,443,5501,122,5379,6919455,15982,6903473,1257.8540265406289,70,1294,185.19369372687314,34296.70419620289,0.14722987709169713,131.0,131,131,0.0,0.0,0.0,1283.411972485592,70,1294,74.97531485560401,5621.297837696956,0.05841874352348361,0.003245049476623535,7.867813110351562e-06,11.128649950027466,0.16980856921720405,0.028834950179593977,0.1475022489374334,0.00011205673217773438,11.154942989349365,1.137666787721043,1.2942857198835167,0.0022168242829401904,1.0013580322265625e-05,11.15395188331604,0.15208424330965561,0.023129617063070526,5501,0,1.0,0.0,0,0.0,1.0,5501,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.15349951743613702,0.35201876779356295,17.847772121429443
normal_traffic_recording_15.pcap,172.19.0.24:42049->172.19.0.8:443,172.19.0.24,42049,172.19.0.8,443,18034,605,17429,22454219,79255,22374964,1245.1047465897748,69,1294,219.18670903004232,48042.81341542043,0.17603877073826454,131.0,131,131,0.0,0.0,0.0,1283.777841528487,69,1294,71.61704541204476,5129.001193550881,0.055786167275465925,0.006112410860490542,0.0,15.000823974609375,0.2861372773705023,0.08187454150100378,0.1824918957735529,0.0,15.028594970703125,1.5550417640986927,2.4181548880911743,0.006078752008687199,1.1920928955078125e-05,15.028449058532715,0.2897593321573936,0.08396047057229873,18034,0,1.0,0.0,0,0.0,1.0,18034,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.21188287211627954,0.47997972682104956,110.22510504722595
normal_traffic_recording_15.pcap,172.19.0.37:35944->172.19.0.8:443,172.19.0.37,35944,172.19.0.8,443,69692,2203,67489,86958395,290248,86668147,1247.752898467543,66,1399,212.66905263668377,45228.12594938457,0.17044164184902175,131.75124829777576,131,1399,27.67189649593753,765.7338556818798,0.2100313799941787,1284.1818222228808,66,1294,68.53960675071528,4697.677693542696,0.05337219820794165,0.004623216455866868,0.0,26.742533206939697,0.25856353460656156,0.06685510142823857,0.1463082911857792,0.0,26.745015144348145,1.4489623655340558,2.0994919367340468,0.004772396750250039,1.2159347534179688e-05,26.768254041671753,0.26315818630309723,0.06925223101833562,69687,5,0.9999282557538886,7.174424611146185e-05,0,0.0,1.0,69687,4,1,0,0,1.4348849222292372e-05,5.739539688916949e-05,0.0,0.9999282557538886,0.0,0.20240530013186642,0.46274899781557116,322.19657802581787
normal_traffic_recording_15.pcap,172.19.0.39:49591->172.19.0.8:443,172.19.0.8,443,172.19.0.39,49591,37,31,6,37095,36287,808,1002.5675675675676,66,1294,491.1801310215016,241257.9211102995,0.4899222226120922,1170.5483870967741,66,1294,337.5493119253386,113939.53798126952,0.2883685250829635,134.66666666666666,131,142,5.185449728701348,26.888888888888886,0.03850581481708922,0.001307719283633762,2.193450927734375e-05,0.020998001098632812,0.0037557789717254644,1.4105875684455186e-05,0.0008693297704060872,2.193450927734375e-05,0.01358795166015625,0.0026265375963454483,6.898699745016124e-06,0.008301591873168946,6.198883056640625e-05,0.021112918853759766,0.0071878687598233995,5.166545730844518e-05,35,2,0.9459459459459459,0.05405405405405406,0,0.0,1.0,35,2,0,0,0,0.0,0.05405405405405406,0.0,0.9459459459459459,0.0,0.6394571324851641,1.415346269455608,0.04707789421081543
