file,flow_id,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,handshake_packets,onertt_packets,initial_packets,zerortt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
traffic_record_scan_5.pcap,172.16.0.30:58275->172.19.0.8:443,172.16.0.30,58275,172.19.0.8,443,54,17,37,45110,1519,43591,835.3703703703703,67,1294,576.207630282834,332015.2331961591,0.6897630688377973,89.3529411764706,86,128,10.064154074329045,101.28719723183391,0.11263371906754031,1178.1351351351352,67,1294,333.6466136791685,111320.06281957633,0.283198933406649,0.0007974921532397,7.867813110351562e-06,0.02575206756591797,0.0038189829178491177,1.4584630526823361e-05,0.0026416927576065063,3.0040740966796875e-05,0.025830984115600586,0.006828951627092306,4.663458032516665e-05,0.0001318322287665473,2.7179718017578125e-05,0.0030090808868408203,0.0004892785444785681,2.3939349408706614e-07,52,2,0.9629629629629629,0.037037037037037035,0,0.0,1.0,2,52,0,0,0,0.0,0.037037037037037035,0.0,0.9629629629629629,0.0,0.898653375690748,1.5869548193309362,0.0422670841217041
traffic_record_scan_5.pcap,172.16.0.54:46223->172.19.0.8:443,172.19.0.8,443,172.16.0.54,46223,60,39,21,49249,46178,3071,820.8166666666667,67,1294,580.6996783096138,337212.1163888889,0.7074657495294691,1184.051282051282,67,1294,326.0460049903253,106305.99737015122,0.27536476665560844,146.23809523809524,86,1294,256.8097136498994,65951.22902494333,1.7561068012529752,0.0006927150790974246,6.9141387939453125e-06,0.02579808235168457,0.0034104021047875626,1.1630842516339438e-05,0.00039663440302798624,2.6941299438476562e-05,0.005316972732543945,0.0011476578952942021,1.3171186446311176e-06,0.0017894506454467773,2.384185791015625e-05,0.0300290584564209,0.006498907037297485,4.223579267943478e-05,55,5,0.9166666666666666,0.08333333333333333,0,0.0,1.0,4,55,1,0,0,0.016666666666666666,0.06666666666666667,0.0,0.9166666666666666,0.0,0.934068055375491,1.5539580943104372,0.04087018966674805
traffic_record_scan_5.pcap,172.16.0.56:41305->172.19.0.8:443,172.16.0.56,41305,172.19.0.8,443,52,13,39,49775,3590,46185,957.2115384615385,67,1294,530.3283937820784,281248.20525147923,0.5540346856186454,276.15384615384613,86,1294,434.1552090694411,188490.74556213012,1.5721497821456087,1184.2307692307693,67,1294,325.60164914362656,106016.4339250493,0.2749478037588272,0.0004712553585276884,0.0,0.016438007354736328,0.0023237985044203455,5.4000394891462355e-06,0.0020028352737426758,0.0,0.0200350284576416,0.005462386625755058,2.9837667649227722e-05,0.0001972600033408717,1.4066696166992188e-05,0.003777027130126953,0.0007101112904100934,5.042580447678879e-07,46,6,0.8846153846153846,0.11538461538461539,0,0.0,1.0,4,46,2,0,0,0.038461538461538464,0.07692307692307693,0.0,0.8846153846153846,0.0,0.8112781244591328,1.4450724192708626,0.02403402328491211
traffic_record_scan_5.pcap,172.16.0.39:35172->172.19.0.8:443,172.16.0.39,35172,172.19.0.8,443,53,14,39,49857,3676,46181,940.6981132075472,67,1294,538.5881117768786,290077.1541473834,0.5725408653584163,262.57142857142856,86,1294,421.2189309077907,177425.38775510216,1.6042070273963738,1184.128205128205,67,1294,325.85518094402073,106181.59894806048,0.27518572696166843,0.00035374898176926834,9.5367431640625e-07,0.009546995162963867,0.0014055598238822378,1.9755984185118673e-06,0.0014149959270770734,9.5367431640625e-07,0.013122081756591797,0.0034315490879528033,1.1775529143029716e-05,0.0002298417844270405,2.5987625122070312e-05,0.003759145736694336,0.0007502099205674586,5.628149249178326e-07,47,6,0.8867924528301887,0.11320754716981132,0,0.0,1.0,4,47,2,0,0,0.03773584905660377,0.07547169811320754,0.0,0.8867924528301887,0.0,0.83294582353614,1.4643533700887699,0.018394947052001953
traffic_record_scan_5.pcap,172.16.0.35:35619->172.19.0.8:443,172.16.0.35,35619,172.19.0.8,443,55,15,40,51321,5071,46250,933.1090909090909,67,1394,544.9593703863627,296980.7153719009,0.5840253574803677,338.06666666666666,86,1394,495.19295453613057,245216.0622222223,1.4647790017830722,1156.25,67,1294,365.81728704368254,133822.2875,0.31638251852426597,0.0014308337812070494,0.0,0.025524139404296875,0.005016116223381418,2.5161421966470255e-05,0.003705075808933803,0.0,0.03402996063232422,0.00900098968198829,8.101781525525966e-05,0.0017479260762532551,1.4066696166992188e-05,0.0509181022644043,0.008122834994688891,6.598044835094246e-05,49,6,0.8909090909090909,0.10909090909090909,0,0.0,1.0,4,49,2,0,0,0.03636363636363636,0.07272727272727272,0.0,0.8909090909090909,0.0,0.8453509366224364,1.672831432122028,0.07726502418518066
traffic_record_scan_5.pcap,172.16.0.43:58421->172.19.0.8:443,172.16.0.43,58421,172.19.0.8,443,51,12,39,49689,3504,46185,974.2941176470588,67,1294,521.1415559499616,271588.52133794694,0.5348914116494202,292.0,86,1294,448.25662292932157,200934.0,1.5351254209908274,1184.2307692307693,67,1294,325.60164914362656,106016.4339250493,0.2749478037588272,0.0005837583541870117,0.0,0.00950002670288086,0.0018272063252519938,3.3386829550408948e-06,0.002653447064486417,0.0,0.012719869613647461,0.004250802948298456,1.8069325705262842e-05,0.000515630370692203,1.9073486328125e-05,0.009189128875732422,0.0020201653361438007,4.081067985356996e-06,45,6,0.8823529411764706,0.11764705882352941,0,0.0,1.0,4,45,2,0,0,0.0392156862745098,0.0784313725490196,0.0,0.8823529411764706,0.0,0.7871265862012691,1.4224297629857867,0.029187917709350586
traffic_record_scan_5.pcap,172.16.0.53:59391->172.19.0.8:443,172.16.0.53,59391,172.19.0.8,443,52,13,39,49764,3590,46174,957.0,67,1294,530.5603351465027,281494.26923076925,0.5543995142596684,276.15384615384613,86,1294,434.1552090694411,188490.74556213012,1.5721497821456087,1183.948717948718,67,1294,326.30133538297895,106472.56147271532,0.27560428119582836,0.0005388633877623315,0.0,0.01129603385925293,0.0018598197755618066,3.4589295975707686e-06,0.0022901693979899087,0.0,0.016210079193115234,0.004682984114176794,2.193034021363221e-05,0.00042173736973812704,1.4066696166992188e-05,0.010592937469482422,0.0017407890272343367,3.030346437339468e-06,46,6,0.8846153846153846,0.11538461538461539,0,0.0,1.0,4,46,2,0,0,0.038461538461538464,0.07692307692307693,0.0,0.8846153846153846,0.0,0.8112781244591328,1.4450724192708626,0.027482032775878906
traffic_record_scan_5.pcap,172.16.0.33:45404->172.19.0.8:443,172.16.0.33,45404,172.19.0.8,443,51,12,39,49686,3504,46182,974.2352941176471,67,1294,521.2086853231497,271658.49365628604,0.5349926126369728,292.0,86,1294,448.25662292932157,200934.0,1.5351254209908274,1184.1538461538462,67,1294,325.79170146217257,106140.23274161736,0.27512616077746155,0.0003493165969848633,0.0,0.009727001190185547,0.0014441061421393492,2.0854425497645942e-06,0.0015878027135675604,0.0,0.013176918029785156,0.003704136119344964,1.3720624390635969e-05,0.0002000771070781507,1.7881393432617188e-05,0.0036170482635498047,0.0007088408409616793,5.024553378152607e-07,45,6,0.8823529411764706,0.11764705882352941,0,0.0,1.0,4,45,2,0,0,0.0392156862745098,0.0784313725490196,0.0,0.8823529411764706,0.0,0.7871265862012691,1.4224297629857867,0.017465829849243164
traffic_record_scan_5.pcap,172.16.0.31:48542->172.19.0.8:443,172.16.0.31,48542,172.19.0.8,443,53,14,39,49859,3677,46182,940.7358490566038,67,1294,538.5384536626291,290023.6660733357,0.5724651124996358,262.64285714285717,86,1294,421.1890663251324,177400.22959183677,1.6036570379526387,1184.1538461538462,67,1294,325.79170146217257,106140.23274161736,0.27512616077746155,0.0007988260342524602,0.0,0.025324106216430664,0.003665637155982112,1.3436895759316626e-05,0.003195304137009841,0.0,0.025352954864501953,0.007125817655507239,5.0777277259538684e-05,0.00019754861530504728,2.09808349609375e-05,0.003537893295288086,0.0006850012080459468,4.6922665502440637e-07,47,6,0.8867924528301887,0.11320754716981132,0,0.0,1.0,4,47,2,0,0,0.03773584905660377,0.07547169811320754,0.0,0.8867924528301887,0.0,0.83294582353614,1.4643533700887699,0.04153895378112793
traffic_record_scan_5.pcap,172.16.0.37:33589->172.19.0.8:443,172.16.0.37,33589,172.19.0.8,443,55,16,39,50024,3848,46176,909.5272727272727,67,1294,552.4709734718429,305224.17652892566,0.607426506096101,240.5,86,1294,398.318026205192,158657.25,1.6562080091691975,1184.0,67,1294,326.1735419790813,106389.17948717948,0.27548441045530514,0.0005985763337877062,9.059906005859375e-06,0.009695053100585938,0.0019685879279238237,3.875338429967414e-06,0.0021548748016357424,1.1920928955078125e-05,0.013049125671386719,0.004087832019601861,1.6710370620482232e-05,0.00059245134654798,1.5020370483398438e-05,0.010565042495727539,0.0022882890640773253,5.2362668407758815e-06,49,6,0.8909090909090909,0.10909090909090909,0,0.0,1.0,4,49,2,0,0,0.03636363636363636,0.07272727272727272,0.0,0.8909090909090909,0.0,0.8698926856041562,1.494644721944205,0.03232312202453613
