file,flow_id,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,onertt_packets,handshake_packets,initial_packets,zerortt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
traffic_record_normal1.pcap,172.19.0.39:33326->172.19.0.8:443,172.19.0.39,33326,172.19.0.8,443,41,11,30,37733,1507,36226,920.3170731707318,66,1294,529.5383833723524,280410.89946460444,0.5753868952446518,137.0,131,142,5.477225575051661,30.0,0.039979748723004825,1207.5333333333333,66,1294,275.21382394220115,75742.6488888889,0.22791405946740007,0.006029075384140015,0.0,0.12543201446533203,0.02184106408452781,0.0004770320803444505,0.02411630153656006,0.0,0.12543201446533203,0.03839356621525968,0.0014740659267255297,7.792999004495556e-05,1.9073486328125e-05,0.001280069351196289,0.00023018690582820274,5.298601161476188e-08,35,6,0.8536585365853658,0.14634146341463414,0,0.0,1.0,35,6,0,0,0,0.0,0.14634146341463414,0.0,0.8536585365853658,0.0,0.8390040613676977,1.5648354671259521,0.24116301536560059
traffic_record_normal1.pcap,172.19.0.31:48486->172.19.0.8:443,172.19.0.8,443,172.19.0.31,48486,36,31,5,36966,36289,677,1026.8333333333333,66,1294,475.56939556704026,226166.25,0.46314175838374316,1170.6129032258063,66,1294,337.3388912880373,113797.52757544223,0.288172879658551,135.4,131,142,5.388877434122992,29.04,0.03979968562867793,0.0009964874812534877,0.0,0.012506961822509766,0.002995820432414927,8.97494006327476e-06,0.0007456700007120768,2.288818359375e-05,0.011013031005859375,0.002627607804030324,6.904322771801062e-06,0.006371974945068359,0.0,0.022665023803710938,0.009435990506395563,8.903791683678719e-05,34,2,0.9444444444444444,0.05555555555555555,0,0.0,1.0,34,2,0,0,0,0.0,0.05555555555555555,0.0,0.9444444444444444,0.0,0.5813214987637028,1.4161236108707254,0.03487706184387207
traffic_record_normal1.pcap,172.19.0.39:42169->172.19.0.8:443,172.19.0.8,443,172.19.0.39,42169,81,66,15,81615,79454,2161,1007.5925925925926,66,1294,497.0604399193167,247069.08093278468,0.4933149008572524,1203.8484848484848,66,1294,307.91091009951305,94809.12855831039,0.2557721457266829,144.06666666666666,131,305,43.17169854841891,1863.7955555555552,0.29966472847120945,0.03289409875869751,0.0,2.5730268955230713,0.28580500680872456,0.08168450191693509,0.0404810171860915,1.71661376953125e-05,2.5842220783233643,0.3179852339190111,0.10111460899052824,0.18726563453674316,0.0,2.5730268955230713,0.66173525122551,0.43789354271448894,79,2,0.9753086419753086,0.024691358024691357,0,0.0,1.0,79,2,0,0,0,0.0,0.024691358024691357,0.0,0.9753086419753086,0.0,0.691289869405789,1.4497822260821245,2.631527900695801
traffic_record_normal1.pcap,172.19.0.30:46188->172.19.0.8:443,172.19.0.8,443,172.19.0.30,46188,35,31,4,36835,36289,546,1052.4285714285713,66,1294,457.21325350833115,209043.9591836735,0.4344363749909486,1170.6129032258063,66,1294,337.3388912880373,113797.52757544223,0.288172879658551,136.5,131,142,5.5,30.25,0.040293040293040296,0.0010948251275455251,0.0,0.014467954635620117,0.0034697892125672616,1.2039437179648137e-05,0.0007585366566975911,2.002716064453125e-05,0.01543283462524414,0.0029358964528285315,8.619487981731154e-06,0.007657368977864583,0.0,0.020634889602661133,0.009225966160363832,8.511845159217855e-05,33,2,0.9428571428571428,0.05714285714285714,0,0.0,1.0,33,2,0,0,0,0.0,0.05714285714285714,0.0,0.9428571428571428,0.0,0.512709142030877,1.3469412295617194,0.03722405433654785
traffic_record_normal1.pcap,172.19.0.31:43212->172.19.0.8:443,172.19.0.8,443,172.19.0.31,43212,75,66,9,80829,79454,1375,1077.72,66,1294,447.70926756843744,200443.5882666667,0.4154226214308331,1203.8484848484848,66,1294,307.91091009951305,94809.12855831039,0.2557721457266829,152.77777777777777,131,305,54.00571528968594,2916.6172839506175,0.3534919546233989,0.06683391815907247,0.0,4.886106967926025,0.5640619585209803,0.31816589305052406,0.07608784528879019,2.288818359375e-05,4.897907972335815,0.6027372881786109,0.36329223856090587,0.6164823770523071,0.0,4.886106967926025,1.6137894095510903,2.6043162583792565,73,2,0.9733333333333334,0.02666666666666667,0,0.0,1.0,73,2,0,0,0,0.0,0.02666666666666667,0.0,0.9733333333333334,0.0,0.5293608652873644,1.3143424916068733,4.945709943771362
traffic_record_normal1.pcap,172.19.0.39:50179->172.19.0.8:443,172.19.0.39,50179,172.19.0.8,443,493,37,456,573327,7246,566081,1162.9350912778905,66,1399,358.0449503291856,128196.186456229,0.3078804251540369,195.83783783783784,131,1399,212.22317594017827,45038.676406135855,1.0836678870806784,1241.405701754386,66,1294,229.99405953987238,52897.26742363036,0.18526905363398843,0.031230113855222376,9.5367431640625e-07,14.68648910522461,0.6614766983444215,0.43755142245263673,0.42672283781899345,9.5367431640625e-07,14.689659118652344,2.4111784277023367,5.813781410217112,0.0337308590228741,1.5020370483398438e-05,14.686769008636475,0.6878205604511813,0.47309712337937726,485,8,0.9837728194726166,0.016227180527383367,0,0.0,1.0,485,7,1,0,0,0.002028397565922921,0.014198782961460446,0.0,0.9837728194726166,0.0,0.38449531510530843,0.9739874946977066,15.36521601676941
traffic_record_normal1.pcap,172.19.0.30:47944->172.19.0.8:443,172.19.0.8,443,172.19.0.30,47944,75,66,9,80829,79454,1375,1077.72,66,1294,447.70926756843744,200443.5882666667,0.4154226214308331,1203.8484848484848,66,1294,307.91091009951305,94809.12855831039,0.2557721457266829,152.77777777777777,131,305,54.00571528968594,2916.6172839506175,0.3534919546233989,0.020656028309383907,0.0,1.4641690254211426,0.16898588354505664,0.02855622883750344,0.023516093767606296,1.5974044799804688e-05,1.4808850288391113,0.18220510104192736,0.03319869884569896,0.18887388706207275,0.0,1.4641690254211426,0.4820972078313776,0.23241771779881049,73,2,0.9733333333333334,0.02666666666666667,0,0.0,1.0,73,2,0,0,0,0.0,0.02666666666666667,0.0,0.9733333333333334,0.0,0.5293608652873644,1.3143424916068733,1.5285460948944092
traffic_record_normal1.pcap,172.19.0.31:43027->172.19.0.8:443,172.19.0.31,43027,172.19.0.8,443,2532,89,2443,3121712,16553,3105159,1232.9036334913112,66,1399,247.50838344632533,61260.39987621321,0.20075241626584892,185.98876404494382,131,1399,197.8328368457256,39137.83133442749,1.0636816576614256,1271.0433892754809,66,1294,143.81453439485125,20682.620303207856,0.1131468332303182,0.006989257225449591,9.5367431640625e-07,16.902907848358154,0.3359325527971319,0.1128506800287978,0.20097298784689469,9.5367431640625e-07,16.90613293647766,1.7910992244812074,3.2080364319371824,0.007238543004310102,1.4781951904296875e-05,16.903167963027954,0.3420081288983012,0.116969560232517,2524,8,0.9968404423380727,0.00315955766192733,0,0.0,1.0,2524,7,1,0,0,0.00039494470774091627,0.002764612954186414,0.0,0.9968404423380727,0.0,0.21959538943903767,0.5874508701055414,17.689810037612915
traffic_record_normal1.pcap,172.19.0.30:54964->172.19.0.8:443,172.19.0.30,54964,172.19.0.8,443,2636,99,2537,3248215,17863,3230352,1232.2515174506827,66,1399,249.20714963846748,62104.20343092952,0.20223724305410828,180.43434343434345,131,1399,191.6449348215359,36727.78104275074,1.062131139636794,1273.2960189199841,66,1294,135.04995891576502,18238.491403149823,0.10606328529191118,0.0064818733331148265,0.0,16.318703174591064,0.31785820020739486,0.1010338354390843,0.17424027773798728,0.0,16.318703174591064,1.6393188883260161,2.6873664176224454,0.006731571459243726,1.3828277587890625e-05,16.320314168930054,0.32403891136261065,0.10500121607706583,2628,8,0.9969650986342944,0.0030349013657056147,0,0.0,1.0,2628,7,1,0,0,0.00037936267071320183,0.002655538694992413,0.0,0.9969650986342944,0.0,0.23097630739875924,0.5935274206873924,17.07973623275757
traffic_record_normal1.pcap,172.19.0.39:58984->172.19.0.8:443,172.19.0.8,443,172.19.0.39,58984,109,97,12,118556,116622,1934,1087.6697247706422,66,1294,437.05230419979057,191014.71660634628,0.40182446403199473,1202.2886597938145,66,1294,307.93991108732865,94826.98884047188,0.2561281008340697,161.16666666666666,131,305,62.685502488392174,3929.4722222222213,0.38894830913169914,0.2753729356659783,0.0,25.1376850605011,2.442167566057425,5.964182420702847,0.3097945526242256,2.09808349609375e-05,25.149528980255127,2.5894603810949244,6.705305065260272,2.702603903683749,0.0,25.1376850605011,7.211080589391573,51.99968326669991,107,2,0.981651376146789,0.01834862385321101,0,0.0,1.0,107,2,0,0,0,0.0,0.01834862385321101,0.0,0.981651376146789,0.0,0.5001926210998139,1.2998736904359514,29.74027705192566
