file,flow_id,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,onertt_packets,initial_packets,handshake_packets,zerortt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
traffic_record_GET_FLOOD_2.pcap,172.16.0.49:34375->172.19.0.8:443,172.16.0.49,34375,172.19.0.8,443,1559,547,1012,1179443,50631,1128812,756.5381654906992,67,1294,594.9890558440419,354011.9765741844,0.7864627099918023,92.56124314442413,85,195,19.93053284756951,397.2261395880472,0.21532265741582277,1115.4268774703557,67,1294,421.9605562801549,178050.71105625777,0.37829513059350606,0.01975849366463501,0.0,0.9755427837371826,0.10582721387753669,0.011199399197081893,0.05633336109119457,0.0,1.001556158065796,0.175840653397428,0.030919935387234407,0.029650582757830973,1.2874603271484375e-05,1.0028998851776123,0.14177977526743613,0.02010150467488469,1559,0,1.0,0.0,0,0.0,1.0,1559,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.9348390362653469,1.705869254784417,30.783733129501343
traffic_record_GET_FLOOD_2.pcap,172.16.0.30:53338->172.19.0.8:443,172.16.0.30,53338,172.19.0.8,443,1536,533,1003,1178983,50845,1128138,767.5670572916666,67,1481,593.625690437223,352391.4603470697,0.7733860967559114,95.39399624765478,85,1481,63.29980572525893,4006.8654048555227,0.6635617356979646,1124.7637088733798,67,1294,412.11361794620774,169837.63409671286,0.36640017338308467,0.020055063850328278,0.0,0.9753470420837402,0.106165247330703,0.01127105974078934,0.05781896266722141,0.0,1.003373146057129,0.1770024212626383,0.03132985713283647,0.0298647283318038,2.09808349609375e-05,1.0030388832092285,0.1483606834505026,0.022010892393900233,1536,0,1.0,0.0,0,0.0,1.0,1536,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.9313649769485924,1.6767635643262238,30.784523010253906
traffic_record_GET_FLOOD_2.pcap,172.16.0.29:43606->172.19.0.8:443,172.19.0.8,443,172.16.0.29,43606,1528,994,534,1179796,1127514,52282,772.1178010471205,67,1481,593.0532491100453,351712.15627998137,0.7680864866808746,1134.3199195171026,67,1294,401.5240787054684,161221.58578027517,0.35397780802121803,97.90636704119851,85,1481,86.79781187752778,7533.860146726702,0.8865389912895419,0.020156960746550295,0.0,0.974524974822998,0.1068324636308755,0.011413175285442336,0.030996655649529,2.4080276489257812e-05,1.0320608615875244,0.15505057050494567,0.024040679413909128,0.05769955150181983,0.0,1.0008339881896973,0.1769881358826823,0.03132480024322682,1528,0,1.0,0.0,0,0.0,1.0,1528,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.9335996023590037,1.6747141400699808,30.7796790599823
traffic_record_GET_FLOOD_2.pcap,172.16.0.41:49892->172.19.0.8:443,172.19.0.8,443,172.16.0.41,49892,1549,1000,549,1179061,1127745,51316,761.1755971594578,67,1294,594.1304175231165,352990.9530261928,0.780543175241406,1127.745,67,1294,409.13626333411224,167392.48197500003,0.362791467338904,93.47176684881603,85,195,21.66068906134584,469.1854506123072,0.2317350981112882,0.019880308815367155,0.0,0.9747910499572754,0.10174553508488302,0.010352153909709162,0.030805523569758114,9.059906005859375e-06,1.0010879039764404,0.13793803033341123,0.01902690021226108,0.056111739064655164,0.0,1.0015959739685059,0.16789475080811825,0.028188647348920123,1549,0,1.0,0.0,0,0.0,1.0,1549,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.9379555741892192,1.6903726441815135,30.774718046188354
traffic_record_GET_FLOOD_2.pcap,172.16.0.32:54095->172.19.0.8:443,172.19.0.8,443,172.16.0.32,54095,1511,982,529,1176774,1126412,50362,778.8047650562542,67,1481,591.9983060044782,350461.9943121718,0.7601369849884231,1147.0590631364562,67,1294,386.94818876502273,149728.90078853167,0.33733937614944826,95.2022684310019,85,1481,63.54108501164617,4037.4694844572455,0.6674324683523454,0.020378045688401784,0.0,0.9742071628570557,0.11176548262375699,0.012491523106121324,0.03136681854178052,1.9788742065429688e-05,1.0005600452423096,0.14803192685337083,0.021913451367921728,0.05822932539564191,0.0,1.0006608963012695,0.18550930949166466,0.03441370390807423,1511,0,1.0,0.0,0,0.0,1.0,1511,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.9341566824478548,1.6685592349220748,30.770848989486694
traffic_record_GET_FLOOD_2.pcap,172.16.0.40:59590->172.19.0.8:443,172.19.0.8,443,172.16.0.40,59590,1431,980,451,1168838,1126511,42327,816.7980433263452,67,1294,584.3277350177008,341438.9019109164,0.7153882649352005,1149.5010204081632,67,1294,383.5780512849115,147132.12142753022,0.33369091847235693,93.85144124168514,85,195,21.89407307557379,479.3504358385652,0.23328435648838283,0.021516175536842614,0.0,0.9747629165649414,0.11473319823637594,0.013163706777547541,0.03142812157066899,1.1920928955078125e-05,1.0003209114074707,0.14252038054764826,0.020312058871446475,0.06831701119740805,0.0,1.000074863433838,0.20085566292244253,0.04034299732801386,1431,0,1.0,0.0,0,0.0,1.0,1431,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.8990449977394588,1.6687939693285334,30.768131017684937
traffic_record_GET_FLOOD_2.pcap,172.16.0.25:54841->172.19.0.8:443,172.19.0.8,443,172.16.0.25,54841,1520,1002,518,1176304,1128129,48175,773.8842105263158,67,1294,592.4934796560237,351048.52343490307,0.765609986089613,1125.877245508982,67,1294,410.78656343629103,168745.60069979797,0.3648591043782791,93.0019305019305,85,195,20.543625211089275,422.0405368137029,0.22089461046900352,0.020250142287705743,0.0,0.975618839263916,0.10643536867130818,0.011328487704197289,0.030729236898126896,1.5020370483398438e-05,1.0032269954681396,0.14454286209405828,0.02089263898234195,0.0594472202618302,0.0,1.0018470287322998,0.17957932595403533,0.032248734310105664,1520,0,1.0,0.0,0,0.0,1.0,1520,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.925572174249873,1.6692176362623141,30.759966135025024
traffic_record_GET_FLOOD_2.pcap,172.16.0.63:42812->172.19.0.8:443,172.19.0.8,443,172.16.0.63,42812,1542,1006,536,1179599,1128642,50957,764.9798962386511,67,1381,593.7751271913179,352568.9016710657,0.7761970348644007,1121.910536779324,67,1294,414.7860067072529,172047.43136014926,0.36971397728198707,95.06902985074628,85,1381,59.086112939864215,3491.168742342389,0.6215074775941916,0.019942426279254893,0.0,0.9779829978942871,0.10510922547993685,0.011047949280992208,0.030578386961524165,1.2159347534179688e-05,1.0031368732452393,0.14062108902977832,0.019774290679920842,0.05739403172074077,0.0,1.0048189163208008,0.1757684841298464,0.030894560013304064,1542,0,1.0,0.0,0,0.0,1.0,1542,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.9319068401681301,1.6963296643621142,30.731278896331787
traffic_record_GET_FLOOD_2.pcap,172.16.0.50:52124->172.19.0.8:443,172.19.0.8,443,172.16.0.50,52124,1525,999,526,1176618,1127740,48878,771.552786885246,67,1294,592.9039957675706,351535.1481971513,0.7684555170374285,1128.868868868869,67,1294,407.7322300152577,166245.571393215,0.36118653039285864,92.92395437262357,85,195,20.55119537913126,422.3516315112261,0.22116143805849348,0.020159438369781013,0.0,0.9753150939941406,0.10736168439105896,0.011526531275285355,0.030784553181910083,1.1205673217773438e-05,1.0028290748596191,0.15066257002205852,0.02269921000565169,0.05847186633518764,0.0,1.0003600120544434,0.17877711054096818,0.031961255253377556,1525,0,1.0,0.0,0,0.0,1.0,1525,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.9294473533753965,1.6192555287369808,30.722984075546265
traffic_record_GET_FLOOD_2.pcap,172.16.0.51:38682->172.19.0.8:443,172.19.0.8,443,172.16.0.51,38682,1480,969,511,1174193,1125363,48830,793.3736486486487,67,1381,589.3026515436844,347277.6151164171,0.7427807219806735,1161.3653250773993,67,1294,369.1516152493441,136272.91504119977,0.3178600284322609,95.55772994129158,85,1381,60.53496098052239,3664.4815009133686,0.6334909903962102,0.020750301443619692,0.0,0.975600004196167,0.11215486132177734,0.012578712918107107,0.03170423123462141,2.193450927734375e-05,1.014646053314209,0.16306086787390062,0.026588846631789672,0.06012566650615019,0.0,1.0014808177947998,0.18609352422290262,0.034630799757700045,1480,0,1.0,0.0,0,0.0,1.0,1480,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.9297729256133811,1.622919136360361,30.689695835113525
