label,source_file,file,flow_id,window_size,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,initial_packets,handshake_packets,zerortt_packets,onertt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
NORMAL,normal_traffic_recording_5.csv,normal_traffic_recording_5.pcap,172.19.0.17:48831->172.19.0.8:443,2,172.19.0.17,48831,172.19.0.8,443,2,1,1,2693,1399,1294,1346.5,1294,1399,52.5,2756.25,0.038989974006684,1399.0,1399,1399,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,0.0104310512542724,0.0104310512542724,0.0104310512542724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0.0,1.0,0,0.0,1.0,1,1,0,0,0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.0104310512542724
SCAN,traffic_record_scan_2.csv,traffic_record_scan_2.pcap,172.16.0.39:55562->172.19.0.8:443,2,172.16.0.39,55562,172.19.0.8,443,2,1,1,2588,1294,1294,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,0.0410339832305908,0.0410339832305908,0.0410339832305908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0.0,1.0,0,0.0,1.0,1,1,0,0,0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0410339832305908
SCAN,traffic_record_scan_8.csv,traffic_record_scan_8.pcap,172.16.0.56:37769->172.19.0.8:443,2,172.16.0.56,37769,172.19.0.8,443,2,1,1,2588,1294,1294,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,0.008923053741455,0.008923053741455,0.008923053741455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0.0,1.0,0,0.0,1.0,1,1,0,0,0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.008923053741455
SCAN,traffic_record_scan_4.csv,traffic_record_scan_4.pcap,172.16.0.33:40116->172.19.0.8:443,2,172.16.0.33,40116,172.19.0.8,443,2,1,1,2588,1294,1294,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,0.0362100601196289,0.0362100601196289,0.0362100601196289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0.0,1.0,0,0.0,1.0,1,1,0,0,0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0362100601196289
CONNECTION_FLOOD,traffic_record_QUIC_CONNECT_7.csv,traffic_record_QUIC_CONNECT_7.pcap,172.16.0.25:44256->172.19.0.8:443,2,172.16.0.25,44256,172.19.0.8,443,2,2,0,2588,2588,0,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.1973490715026855,0.1973490715026855,0.1973490715026855,0.0,0.0,0.1973490715026855,0.1973490715026855,0.1973490715026855,0.0,0.0,0,0,0,0,0,0,2,0.0,1.0,0,0.0,1.0,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1973490715026855
GET_FLOOD,traffic_record_GET_FLOOD_7.csv,traffic_record_GET_FLOOD_7.pcap,172.16.0.43:55463->172.19.0.8:443,2,172.16.0.43,55463,172.19.0.8,443,2,2,0,2588,2588,0,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.1997020244598388,0.1997020244598388,0.1997020244598388,0.0,0.0,0.1997020244598388,0.1997020244598388,0.1997020244598388,0.0,0.0,0,0,0,0,0,0,2,0.0,1.0,0,0.0,1.0,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1997020244598388
SCAN,traffic_record_scan_4.csv,traffic_record_scan_4.pcap,172.16.0.43:46104->172.19.0.8:443,2,172.16.0.43,46104,172.19.0.8,443,2,1,1,2588,1294,1294,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,0.0130078792572021,0.0130078792572021,0.0130078792572021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0.0,1.0,0,0.0,1.0,1,1,0,0,0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0130078792572021
NORMAL,normal_traffic_recording_17.csv,normal_traffic_recording_17.pcap,172.19.0.32:51367->172.19.0.8:443,2,172.19.0.32,51367,172.19.0.8,443,2,1,1,497,429,68,248.5,68,429,180.5,32580.25,0.7263581488933601,429.0,429,429,0.0,0.0,0.0,68.0,68,68,0.0,0.0,0.0,0.0023610591888427,0.0023610591888427,0.0023610591888427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0.5,0.5,0,0.0,1.0,0,0,1,1,0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0023610591888427
SCAN,traffic_record_scan.csv,traffic_record_scan.pcap,172.16.0.31:37370->172.19.0.8:443,2,172.16.0.31,37370,172.19.0.8,443,2,2,0,2588,2588,0,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0185329914093017,0.0185329914093017,0.0185329914093017,0.0,0.0,0.0185329914093017,0.0185329914093017,0.0185329914093017,0.0,0.0,0,0,0,0,0,0,2,0.0,1.0,0,0.0,1.0,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0185329914093017
CONNECTION_FLOOD,traffic_record_QUIC_CONNECT_9.csv,traffic_record_QUIC_CONNECT_9.pcap,172.16.0.40:45635->172.19.0.8:443,2,172.16.0.40,45635,172.19.0.8,443,2,2,0,2588,2588,0,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.200556993484497,0.200556993484497,0.200556993484497,0.0,0.0,0.200556993484497,0.200556993484497,0.200556993484497,0.0,0.0,0,0,0,0,0,0,2,0.0,1.0,0,0.0,1.0,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.200556993484497
