file,flow_id,window_size,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,initial_packets,handshake_packets,zerortt_packets,onertt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
recording_32.pcap,172.16.0.26:36568->172.19.0.8:443,4,172.16.0.26,36568,172.19.0.8,443,4,2,2,5176,2588,2588,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,0.003310998280843099,0.00010800361633300781,0.009433984756469727,0.0043311465140527675,1.8758830126191442e-05,0.009932994842529297,0.009932994842529297,0.009932994842529297,0.0,0.0,0.00010800361633300781,0.00010800361633300781,0.00010800361633300781,0.0,0.0,0,4,0.0,1.0,0,0.0,1.0,2,2,0,0,0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.009932994842529297
recording_32.pcap,172.16.0.29:40896->172.19.0.8:443,4,172.16.0.29,40896,172.19.0.8,443,4,2,2,5176,2588,2588,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,0.006130297978719075,0.00011181831359863281,0.01788496971130371,0.00831260698086811,6.909943481837724e-05,0.018390893936157227,0.018390893936157227,0.018390893936157227,0.0,0.0,0.00011181831359863281,0.00011181831359863281,0.00011181831359863281,0.0,0.0,0,4,0.0,1.0,0,0.0,1.0,2,2,0,0,0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.018390893936157227
recording_32.pcap,172.16.0.38:42428->172.19.0.8:443,4,172.16.0.38,42428,172.19.0.8,443,4,2,2,5176,2588,2588,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,0.008490324020385742,0.00011682510375976562,0.025063037872314453,0.011718894346025674,0.00013733248469331252,0.025470972061157227,0.025470972061157227,0.025470972061157227,0.0,0.0,0.00011682510375976562,0.00011682510375976562,0.00011682510375976562,0.0,0.0,0,4,0.0,1.0,0,0.0,1.0,2,2,0,0,0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.025470972061157227
recording_32.pcap,172.16.0.25:37368->172.19.0.8:443,4,172.16.0.25,37368,172.19.0.8,443,4,2,2,5176,2588,2588,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,0.011391639709472656,6.29425048828125e-05,0.03360605239868164,0.015709002865574122,0.00024677277103061596,0.03417491912841797,0.03417491912841797,0.03417491912841797,0.0,0.0,6.29425048828125e-05,6.29425048828125e-05,6.29425048828125e-05,0.0,0.0,0,4,0.0,1.0,0,0.0,1.0,2,2,0,0,0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.03417491912841797
recording_32.pcap,172.16.0.39:38663->172.19.0.8:443,4,172.16.0.39,38663,172.19.0.8,443,4,2,2,5176,2588,2588,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,0.014134963353474935,0.00015115737915039062,0.04198884963989258,0.019695726597819405,0.0003879216462160507,0.042404890060424805,0.042404890060424805,0.042404890060424805,0.0,0.0,0.00015115737915039062,0.00015115737915039062,0.00015115737915039062,0.0,0.0,0,4,0.0,1.0,0,0.0,1.0,2,2,0,0,0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.042404890060424805
recording_32.pcap,172.16.0.34:44121->172.19.0.8:443,4,172.16.0.34,44121,172.19.0.8,443,4,2,2,5176,2588,2588,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,0.01697230339050293,0.0001418590545654297,0.050390005111694336,0.023630092061015972,0.00055838125081209,0.05091691017150879,0.05091691017150879,0.05091691017150879,0.0,0.0,0.0001418590545654297,0.0001418590545654297,0.0001418590545654297,0.0,0.0,0,4,0.0,1.0,0,0.0,1.0,2,2,0,0,0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.05091691017150879
recording_32.pcap,172.16.0.32:47990->172.19.0.8:443,4,172.16.0.32,47990,172.19.0.8,443,4,2,2,5176,2588,2588,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,0.019758303960164387,0.00011587142944335938,0.05879497528076172,0.02760328097500378,0.0007619411205850056,0.059274911880493164,0.059274911880493164,0.059274911880493164,0.0,0.0,0.00011587142944335938,0.00011587142944335938,0.00011587142944335938,0.0,0.0,0,4,0.0,1.0,0,0.0,1.0,2,2,0,0,0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.059274911880493164
recording_32.pcap,172.16.0.30:49061->172.19.0.8:443,4,172.16.0.30,49061,172.19.0.8,443,4,2,2,5176,2588,2588,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,0.022593339284261067,0.00011301040649414062,0.06725287437438965,0.031579299385987275,0.0009972521497098165,0.0677800178527832,0.0677800178527832,0.0677800178527832,0.0,0.0,0.00011301040649414062,0.00011301040649414062,0.00011301040649414062,0.0,0.0,0,4,0.0,1.0,0,0.0,1.0,2,2,0,0,0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0677800178527832
recording_32.pcap,172.16.0.40:53679->172.19.0.8:443,4,172.16.0.40,53679,172.19.0.8,443,4,2,2,5176,2588,2588,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,0.026692946751912434,0.000102996826171875,0.0756838321685791,0.03468397421399392,0.0012029780672769953,0.0800788402557373,0.0800788402557373,0.0800788402557373,0.0,0.0,0.000102996826171875,0.000102996826171875,0.000102996826171875,0.0,0.0,0,4,0.0,1.0,0,0.0,1.0,2,2,0,0,0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0800788402557373
recording_32.pcap,172.16.0.24:39361->172.19.0.8:443,4,172.16.0.24,39361,172.19.0.8,443,4,2,2,5176,2588,2588,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,0.028180042902628582,0.00011587142944335938,0.08397912979125977,0.03945614168999675,0.0015567871170610991,0.08454012870788574,0.08454012870788574,0.08454012870788574,0.0,0.0,0.00011587142944335938,0.00011587142944335938,0.00011587142944335938,0.0,0.0,0,4,0.0,1.0,0,0.0,1.0,2,2,0,0,0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.08454012870788574
recording_32.pcap,172.16.0.31:38906->172.19.0.8:443,4,172.16.0.31,38906,172.19.0.8,443,4,2,2,5176,2588,2588,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,0.03088100751241048,0.000102996826171875,0.09209513664245605,0.04328515085214004,0.0018736042842925195,0.09264302253723145,0.09264302253723145,0.09264302253723145,0.0,0.0,0.000102996826171875,0.000102996826171875,0.000102996826171875,0.0,0.0,0,4,0.0,1.0,0,0.0,1.0,2,2,0,0,0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.09264302253723145
recording_32.pcap,172.16.0.36:38158->172.19.0.8:443,4,172.16.0.36,38158,172.19.0.8,443,4,2,2,5176,2588,2588,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,0.033782641092936196,0.00010418891906738281,0.10078191757202148,0.04737586770332052,0.0022444728406425286,0.1013479232788086,0.1013479232788086,0.1013479232788086,0.0,0.0,0.00010418891906738281,0.00010418891906738281,0.00010418891906738281,0.0,0.0,0,4,0.0,1.0,0,0.0,1.0,2,2,0,0,0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.1013479232788086
recording_32.pcap,172.16.0.33:42115->172.19.0.8:443,4,172.16.0.33,42115,172.19.0.8,443,4,2,2,5176,2588,2588,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,0.036618947982788086,0.00011682510375976562,0.10950803756713867,0.051540390960635264,0.002656411900375133,0.10985684394836426,0.10985684394836426,0.10985684394836426,0.0,0.0,0.00011682510375976562,0.00011682510375976562,0.00011682510375976562,0.0,0.0,0,4,0.0,1.0,0,0.0,1.0,2,2,0,0,0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.10985684394836426
recording_32.pcap,172.16.0.44:58272->172.19.0.8:443,4,172.16.0.44,58272,172.19.0.8,443,4,2,2,5176,2588,2588,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,0.03952296574910482,0.00013399124145507812,0.11801791191101074,0.05550442896666979,0.003080741634916092,0.11856889724731445,0.11856889724731445,0.11856889724731445,0.0,0.0,0.00013399124145507812,0.00013399124145507812,0.00013399124145507812,0.0,0.0,0,4,0.0,1.0,0,0.0,1.0,2,2,0,0,0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.11856889724731445
recording_32.pcap,172.16.0.41:38634->172.19.0.8:443,4,172.16.0.41,38634,172.19.0.8,443,4,2,2,5176,2588,2588,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,0.04238136609395345,9.894371032714844e-05,0.12663912773132324,0.05957936651849102,0.0035497009147446887,0.12714409828186035,0.12714409828186035,0.12714409828186035,0.0,0.0,9.894371032714844e-05,9.894371032714844e-05,9.894371032714844e-05,0.0,0.0,0,4,0.0,1.0,0,0.0,1.0,2,2,0,0,0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.12714409828186035
recording_32.pcap,172.16.0.28:53594->172.19.0.8:443,4,172.16.0.28,53594,172.19.0.8,443,4,2,2,5176,2588,2588,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,1294.0,1294,1294,0.0,0.0,0.0,0.046234687169392906,9.894371032714844e-05,0.1353621482849121,0.06303570135637775,0.0039734996454904425,0.1387040615081787,0.1387040615081787,0.1387040615081787,0.0,0.0,9.894371032714844e-05,9.894371032714844e-05,9.894371032714844e-05,0.0,0.0,0,4,0.0,1.0,0,0.0,1.0,2,2,0,0,0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.1387040615081787
