file,flow_id,window_size,total_packets_in_flow,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,initial_packets,handshake_packets,zerortt_packets,onertt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
traffic_record_normal2.pcap,172.19.0.31:45764->172.19.0.8:443,5,3000,172.19.0.31,45764,172.19.0.8,443,5,2,3,4486,1541,2945,897.2,142,1399,534.5739986194615,285769.36,0.5958247866913302,770.5,142,1399,628.5,395012.25,0.8157040882543802,981.6666666666666,357,1294,441.7060359811967,195104.22222222222,0.4499552149214228,0.026851534843444824,9.012222290039062e-05,0.08119606971740723,0.033112476045841215,0.0010964360698864084,0.1074061393737793,0.1074061393737793,0.1074061393737793,0.0,0.0,9.59634780883789e-05,9.012222290039062e-05,0.00010180473327636719,5.841255187988281e-06,3.412026217120001e-11,0,5,0.0,1.0,0,0.0,1.0,1,4,0,0,0,0.2,0.8,0.0,0.0,0.0,0.9709505944546686,1.9219280948873623,0.1074061393737793
traffic_record_normal2.pcap,172.19.0.39:51759->172.19.0.8:443,5,2823,172.19.0.39,51759,172.19.0.8,443,5,2,3,4486,1541,2945,897.2,142,1399,534.5739986194615,285769.36,0.5958247866913302,770.5,142,1399,628.5,395012.25,0.8157040882543802,981.6666666666666,357,1294,441.7060359811967,195104.22222222222,0.4499552149214228,0.014708220958709717,9.202957153320312e-05,0.044847965240478516,0.0182699090652103,0.0003337895772510535,0.05883288383483887,0.05883288383483887,0.05883288383483887,0.0,0.0,0.00011646747589111328,9.202957153320312e-05,0.00014090538024902344,2.4437904357910156e-05,5.972111694063642e-10,0,5,0.0,1.0,0,0.0,1.0,1,4,0,0,0,0.2,0.8,0.0,0.0,0.0,0.9709505944546686,1.9219280948873623,0.05883288383483887
traffic_record_normal2.pcap,172.19.0.30:46594->172.19.0.8:443,5,2736,172.19.0.30,46594,172.19.0.8,443,5,2,3,4486,1541,2945,897.2,142,1399,534.5739986194615,285769.36,0.5958247866913302,770.5,142,1399,628.5,395012.25,0.8157040882543802,981.6666666666666,357,1294,441.7060359811967,195104.22222222222,0.4499552149214228,0.01213526725769043,0.00010085105895996094,0.03774309158325195,0.015389598264862457,0.00023683973475385756,0.04854106903076172,0.04854106903076172,0.04854106903076172,0.0,0.0,0.00011098384857177734,0.00010085105895996094,0.00012111663818359375,1.0132789611816406e-05,1.0267342531733448e-10,0,5,0.0,1.0,0,0.0,1.0,1,4,0,0,0,0.2,0.8,0.0,0.0,0.0,0.9709505944546686,1.9219280948873623,0.04854106903076172
traffic_record_normal2.pcap,172.19.0.31:41955->172.19.0.8:443,5,43,172.19.0.8,443,172.19.0.31,41955,5,3,2,3279,2995,284,655.8,142,1292,528.660344644839,279481.76,0.8061304431912764,998.3333333333334,411,1292,415.3073828168989,172480.22222222222,0.41600071734580857,142.0,142,142,0.0,0.0,0.0,0.0025914907455444336,0.0,0.010076045989990234,0.004321628246670083,1.8676470702416736e-05,0.00014495849609375,0.00012993812561035156,0.00015997886657714844,1.5020370483398438e-05,2.25611529458547e-10,0.0,0.0,0.0,0.0,0.0,3,2,0.6,0.4,0,0.0,1.0,0,2,0,3,0,0.0,0.4,0.0,0.6,0.0,0.9709505944546686,1.5219280948873621,0.010365962982177734
traffic_record_normal2.pcap,172.19.0.30:35131->172.19.0.8:443,5,123,172.19.0.8,443,172.19.0.30,35131,5,3,2,3279,2995,284,655.8,142,1292,528.660344644839,279481.76,0.8061304431912764,998.3333333333334,411,1292,415.3073828168989,172480.22222222222,0.41600071734580857,142.0,142,142,0.0,0.0,0.0,0.004111945629119873,0.0,0.01623082160949707,0.006996980398844599,4.8957734701815525e-05,0.00010848045349121094,9.799003601074219e-05,0.00011897087097167969,1.049041748046875e-05,1.1004885891452432e-10,0.0,0.0,0.0,0.0,0.0,3,2,0.6,0.4,0,0.0,1.0,0,2,0,3,0,0.0,0.4,0.0,0.6,0.0,0.9709505944546686,1.5219280948873621,0.016447782516479492
traffic_record_normal2.pcap,172.19.0.39:37245->172.19.0.8:443,5,44,172.19.0.8,443,172.19.0.39,37245,5,3,2,3279,2995,284,655.8,142,1292,528.660344644839,279481.76,0.8061304431912764,998.3333333333334,411,1292,415.3073828168989,172480.22222222222,0.41600071734580857,142.0,142,142,0.0,0.0,0.0,0.0027492642402648926,0.0,0.007750034332275391,0.0031458359635687903,9.89628390968278e-06,0.0016235113143920898,0.00012612342834472656,0.003120899200439453,0.0014973878860473633,2.2421704812813914e-06,0.0,0.0,0.0,0.0,0.0,3,2,0.6,0.4,0,0.0,1.0,0,2,0,3,0,0.0,0.4,0.0,0.6,0.0,0.9709505944546686,1.5219280948873621,0.01099705696105957
traffic_record_normal2.pcap,172.19.0.31:36849->172.19.0.8:443,5,83,172.19.0.8,443,172.19.0.31,36849,5,3,2,3279,2995,284,655.8,142,1292,528.660344644839,279481.76,0.8061304431912764,998.3333333333334,411,1292,415.3073828168989,172480.22222222222,0.41600071734580857,142.0,142,142,0.0,0.0,0.0,0.004335463047027588,0.0,0.017026901245117188,0.007327694382493381,5.369510496322505e-05,0.00015747547149658203,0.0001430511474609375,0.00017189979553222656,1.4424324035644531e-05,2.0806112388527254e-10,0.0,0.0,0.0,0.0,0.0,3,2,0.6,0.4,0,0.0,1.0,0,2,0,3,0,0.0,0.4,0.0,0.6,0.0,0.9709505944546686,1.5219280948873621,0.01734185218811035
traffic_record_normal2.pcap,172.19.0.39:48314->172.19.0.8:443,5,80,172.19.0.8,443,172.19.0.39,48314,5,3,2,3279,2995,284,655.8,142,1292,528.660344644839,279481.76,0.8061304431912764,998.3333333333334,411,1292,415.3073828168989,172480.22222222222,0.41600071734580857,142.0,142,142,0.0,0.0,0.0,0.002826213836669922,0.0,0.011088848114013672,0.004770640393758447,2.2759009766559757e-05,0.00010800361633300781,0.0001010894775390625,0.00011491775512695312,6.9141387939453125e-06,4.780531526193954e-11,0.0,0.0,0.0,0.0,0.0,3,2,0.6,0.4,0,0.0,1.0,0,2,0,3,0,0.0,0.4,0.0,0.6,0.0,0.9709505944546686,1.5219280948873621,0.011304855346679688
traffic_record_normal2.pcap,172.19.0.39:54487->172.19.0.8:443,5,3003,172.19.0.39,54487,172.19.0.8,443,5,2,3,4486,1541,2945,897.2,142,1399,534.5739986194615,285769.36,0.5958247866913302,770.5,142,1399,628.5,395012.25,0.8157040882543802,981.6666666666666,357,1294,441.7060359811967,195104.22222222222,0.4499552149214228,0.022218763828277588,0.00011897087097167969,0.06832003593444824,0.02786262103020389,0.00077632565067276,0.08887505531311035,0.08887505531311035,0.08887505531311035,0.0,0.0,0.00012445449829101562,0.00011897087097167969,0.00012993812561035156,5.4836273193359375e-06,3.007016857736744e-11,0,5,0.0,1.0,0,0.0,1.0,1,4,0,0,0,0.2,0.8,0.0,0.0,0.0,0.9709505944546686,1.9219280948873623,0.08887505531311035
traffic_record_normal2.pcap,172.19.0.30:47630->172.19.0.8:443,5,2842,172.19.0.30,47630,172.19.0.8,443,5,2,3,4486,1541,2945,897.2,142,1399,534.5739986194615,285769.36,0.5958247866913302,770.5,142,1399,628.5,395012.25,0.8157040882543802,981.6666666666666,357,1294,441.7060359811967,195104.22222222222,0.4499552149214228,0.0045455098152160645,0.00012683868408203125,0.015041112899780273,0.006135826490750563,3.764836672459637e-05,0.018182039260864258,0.018182039260864258,0.018182039260864258,0.0,0.0,0.0013699531555175781,0.00012683868408203125,0.002613067626953125,0.0012431144714355469,1.545333589092479e-06,0,5,0.0,1.0,0,0.0,1.0,1,4,0,0,0,0.2,0.8,0.0,0.0,0.0,0.9709505944546686,1.9219280948873623,0.018182039260864258
