file,flow_id,window_size,total_packets_in_flow,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,onertt_packets,handshake_packets,initial_packets,zerortt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
normal_traffic_recording_15.pcap,172.19.0.27:60920->172.19.0.8:443,5,70653,172.19.0.27,60920,172.19.0.8,443,5,2,3,4456,1541,2915,891.2,142,1399,540.7363128179944,292395.75999999995,0.6067507998406579,770.5,142,1399,628.5,395012.25,0.8157040882543802,971.6666666666666,327,1294,455.8481716049276,207797.55555555553,0.4691404853567008,0.11917972564697266,2.193450927734375e-05,0.4577310085296631,0.19561504447180275,0.03826524562370537,0.4767189025878906,0.4767189025878906,0.4767189025878906,0.0,0.0,2.6464462280273438e-05,2.193450927734375e-05,3.0994415283203125e-05,4.5299530029296875e-06,2.0520474208751693e-11,0,5,0.0,1.0,0,0.0,1.0,0,4,1,0,0,0.2,0.8,0.0,0.0,0.0,0.9709505944546686,1.9219280948873623,0.4767189025878906
normal_traffic_recording_15.pcap,172.19.0.36:45215->172.19.0.8:443,5,40225,172.19.0.36,45215,172.19.0.8,443,5,2,3,4455,1541,2914,891.0,142,1399,540.9450988778806,292621.6,0.6071213230952645,770.5,142,1399,628.5,395012.25,0.8157040882543802,971.3333333333334,326,1294,456.3195761257187,208227.5555555556,0.4697867976585985,0.00874096155166626,2.8848648071289062e-05,0.029291868209838867,0.012081012029495146,0.00014595085165680644,0.03496384620666504,0.03496384620666504,0.03496384620666504,0.0,0.0,3.3974647521972656e-05,2.8848648071289062e-05,3.910064697265625e-05,5.125999450683594e-06,2.6275870368408505e-11,0,5,0.0,1.0,0,0.0,1.0,0,4,1,0,0,0.2,0.8,0.0,0.0,0.0,0.9709505944546686,1.9219280948873623,0.03496384620666504
normal_traffic_recording_15.pcap,172.19.0.31:49566->172.19.0.8:443,5,111,172.19.0.8,443,172.19.0.31,49566,5,3,2,3279,2995,284,655.8,142,1292,528.660344644839,279481.76,0.8061304431912764,998.3333333333334,411,1292,415.3073828168989,172480.22222222222,0.41600071734580857,142.0,142,142,0.0,0.0,0.0,0.004734992980957031,2.5033950805664062e-05,0.01883983612060547,0.008143436660564463,6.631556064462529e-05,3.7550926208496094e-05,3.600120544433594e-05,3.910064697265625e-05,1.5497207641601562e-06,2.4016344468691386e-12,2.5033950805664062e-05,2.5033950805664062e-05,2.5033950805664062e-05,0.0,0.0,3,2,0.6,0.4,0,0.0,1.0,3,2,0,0,0,0.0,0.4,0.0,0.6,0.0,0.9709505944546686,1.5219280948873621,0.018939971923828125
normal_traffic_recording_15.pcap,172.19.0.28:44875->172.19.0.8:443,5,85,172.19.0.28,44875,172.19.0.8,443,5,2,3,4455,1541,2914,891.0,142,1399,540.9450988778806,292621.6,0.6071213230952645,770.5,142,1399,628.5,395012.25,0.8157040882543802,971.3333333333334,326,1294,456.3195761257187,208227.5555555556,0.4697867976585985,0.004875779151916504,2.002716064453125e-05,0.01657700538635254,0.006851644198058062,4.69450282167827e-05,0.019503116607666016,0.019503116607666016,0.019503116607666016,0.0,0.0,4.2557716369628906e-05,2.002716064453125e-05,6.508827209472656e-05,2.2530555725097656e-05,5.076259412817308e-10,0,5,0.0,1.0,0,0.0,1.0,0,4,1,0,0,0.2,0.8,0.0,0.0,0.0,0.9709505944546686,1.9219280948873623,0.019503116607666016
normal_traffic_recording_15.pcap,172.19.0.30:58928->172.19.0.8:443,5,35,172.19.0.8,443,172.19.0.30,58928,5,3,2,3279,2995,284,655.8,142,1292,528.660344644839,279481.76,0.8061304431912764,998.3333333333334,411,1292,415.3073828168989,172480.22222222222,0.41600071734580857,142.0,142,142,0.0,0.0,0.0,0.0038497447967529297,0.0,0.014856100082397461,0.0063555161454835135,4.039258547550162e-05,0.0002714395523071289,0.0002448558807373047,0.0002980232238769531,2.658367156982422e-05,7.066915941322804e-10,0.0,0.0,0.0,0.0,0.0,3,2,0.6,0.4,0,0.0,1.0,3,2,0,0,0,0.0,0.4,0.0,0.6,0.0,0.9709505944546686,1.5219280948873621,0.015398979187011719
normal_traffic_recording_15.pcap,172.19.0.39:57754->172.19.0.8:443,5,2611,172.19.0.39,57754,172.19.0.8,443,5,2,3,4455,1541,2914,891.0,142,1399,540.9450988778806,292621.6,0.6071213230952645,770.5,142,1399,628.5,395012.25,0.8157040882543802,971.3333333333334,326,1294,456.3195761257187,208227.5555555556,0.4697867976585985,0.007151007652282715,8.702278137207031e-05,0.022753000259399414,0.009118700455067805,8.315069798925379e-05,0.02860403060913086,0.02860403060913086,0.02860403060913086,0.0,0.0,0.002079486846923828,8.702278137207031e-05,0.004071950912475586,0.001992464065551758,3.9699130525150395e-06,0,5,0.0,1.0,0,0.0,1.0,0,4,1,0,0,0.2,0.8,0.0,0.0,0.0,0.9709505944546686,1.9219280948873623,0.02860403060913086
normal_traffic_recording_15.pcap,172.19.0.18:37204->172.19.0.8:443,5,110,172.19.0.8,443,172.19.0.18,37204,5,3,2,3279,2995,284,655.8,142,1292,528.660344644839,279481.76,0.8061304431912764,998.3333333333334,411,1292,415.3073828168989,172480.22222222222,0.41600071734580857,142.0,142,142,0.0,0.0,0.0,0.0062177181243896484,9.5367431640625e-07,0.02478504180908203,0.010719862753744534,0.00011491545745911935,4.2438507080078125e-05,4.100799560546875e-05,4.38690185546875e-05,1.430511474609375e-06,2.0463630789890885e-12,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,0.0,0.0,3,2,0.6,0.4,0,0.0,1.0,3,2,0,0,0,0.0,0.4,0.0,0.6,0.0,0.9709505944546686,1.5219280948873621,0.024870872497558594
normal_traffic_recording_15.pcap,172.19.0.19:36092->172.19.0.8:443,5,37,172.19.0.19,36092,172.19.0.8,443,5,1,4,4382,438,3944,876.4,68,1292,522.278699546516,272775.04,0.5959364440284299,438.0,438,438,0.0,0.0,0.0,986.0,68,1292,530.0075471160765,280908.0,0.5375330092455136,0.0017194747924804688,5.412101745605469e-05,0.005311012268066406,0.002147414601600082,4.611389471165239e-06,0.0,0.0,0.0,0.0,0.0,0.0005222956339518229,5.412101745605469e-05,0.0014338493347167969,0.0006446452857390331,4.155675444255596e-07,4,1,0.8,0.2,0,0.0,1.0,4,0,0,1,0,0.0,0.0,0.2,0.8,0.0,0.7219280948873623,1.3709505944546687,0.006877899169921875
normal_traffic_recording_15.pcap,172.19.0.30:49402->172.19.0.8:443,5,75,172.19.0.8,443,172.19.0.30,49402,5,3,2,3279,2995,284,655.8,142,1292,528.660344644839,279481.76,0.8061304431912764,998.3333333333334,411,1292,415.3073828168989,172480.22222222222,0.41600071734580857,142.0,142,142,0.0,0.0,0.0,0.006657719612121582,0.0,0.02570199966430664,0.01099687084632354,0.0001209311684107206,0.00046443939208984375,0.0004379749298095703,0.0004909038543701172,2.6464462280273438e-05,7.003677637840156e-10,0.0,0.0,0.0,0.0,0.0,3,2,0.6,0.4,0,0.0,1.0,3,2,0,0,0,0.0,0.4,0.0,0.6,0.0,0.9709505944546686,1.5219280948873621,0.026630878448486328
normal_traffic_recording_15.pcap,172.19.0.32:40425->172.19.0.8:443,5,38,172.19.0.32,40425,172.19.0.8,443,5,1,4,4384,440,3944,876.8,68,1292,521.9434452122184,272424.96,0.5952822139737893,440.0,440,440,0.0,0.0,0.0,986.0,68,1292,530.0075471160765,280908.0,0.5375330092455136,0.0023842453956604004,3.695487976074219e-05,0.008392095565795898,0.0034937013163787466,1.2205948888066587e-05,0.0,0.0,0.0,0.0,0.0,0.00038162867228190106,3.695487976074219e-05,0.0010638236999511719,0.00048239356795169616,2.327035544011677e-07,4,1,0.8,0.2,0,0.0,1.0,4,0,0,1,0,0.0,0.0,0.2,0.8,0.0,0.7219280948873623,1.3709505944546687,0.009536981582641602
