file,flow_id,window_size,total_packets_in_flow,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,initial_packets,handshake_packets,zerortt_packets,onertt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
traffic_record_GET_FLOOD_8.pcap,172.16.0.53:53639->172.19.0.8:443,5,8612,172.16.0.53,53639,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.005627036094665527,4.00543212890625e-05,0.021731138229370117,0.009300066638793963,8.649123948600845e-05,0.011254072189331055,4.00543212890625e-05,0.022468090057373047,0.011214017868041992,0.00012575419674476507,0.00014090538024902344,0.00014090538024902344,0.00014090538024902344,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,2,3,0,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.02250814437866211
traffic_record_GET_FLOOD_8.pcap,172.16.0.39:60281->172.19.0.8:443,5,10892,172.16.0.39,60281,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.009451985359191895,0.0,0.037281036376953125,0.01606770739555168,0.0002581712209490661,0.01890397071838379,0.0,0.03780794143676758,0.01890397071838379,0.0003573601089215117,0.0001399517059326172,0.0001399517059326172,0.0001399517059326172,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,2,3,0,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.03780794143676758
traffic_record_GET_FLOOD_8.pcap,172.16.0.33:44233->172.19.0.8:443,5,7678,172.16.0.33,44233,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.0129929780960083,0.0,0.05128884315490723,0.022111072730698646,0.0004888995373022453,0.0259859561920166,0.0,0.0519719123840332,0.0259859561920166,0.000675269919213406,0.00013017654418945312,0.00013017654418945312,0.00013017654418945312,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,2,3,0,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.0519719123840332
traffic_record_GET_FLOOD_8.pcap,172.16.0.61:40166->172.19.0.8:443,5,6997,172.16.0.61,40166,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.016810238361358643,3.2901763916015625e-05,0.06641888618469238,0.028642446904552855,0.0008203897646801295,0.033620476722717285,3.2901763916015625e-05,0.06720805168151855,0.03358757495880127,0.001128125191613094,0.0001552104949951172,0.0001552104949951172,0.0001552104949951172,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,2,3,0,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.06724095344543457
traffic_record_GET_FLOOD_8.pcap,172.16.0.32:42223->172.19.0.8:443,5,10687,172.16.0.32,42223,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.02057546377182007,0.0,0.08176088333129883,0.035325666991577236,0.0012479027483998095,0.04115092754364014,0.0,0.08230185508728027,0.04115092754364014,0.0016933988377019205,0.00016689300537109375,0.00016689300537109375,0.00016689300537109375,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,2,3,0,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.08230185508728027
traffic_record_GET_FLOOD_8.pcap,172.16.0.63:53254->172.19.0.8:443,5,7377,172.16.0.63,53254,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.02393120527267456,4.601478576660156e-05,0.09525489807128906,0.04117882290351995,0.0016956954557194592,0.04786241054534912,4.601478576660156e-05,0.09567880630493164,0.04781639575958252,0.002286407703437021,0.000164031982421875,0.000164031982421875,0.000164031982421875,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,2,3,0,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.09572482109069824
traffic_record_GET_FLOOD_8.pcap,172.16.0.37:47616->172.19.0.8:443,5,5996,172.16.0.37,47616,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.027386248111724854,3.0994415283203125e-05,0.10883188247680664,0.0470230983281311,0.0022111717763770855,0.05477249622344971,3.0994415283203125e-05,0.10951399803161621,0.054741501808166504,0.0029966320202134966,0.00011610984802246094,0.00011610984802246094,0.00011610984802246094,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,2,3,0,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.10954499244689941
traffic_record_GET_FLOOD_8.pcap,172.16.0.28:60615->172.19.0.8:443,5,7240,172.16.0.28,60615,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.03126049041748047,0.0,0.12423396110534668,0.05367891452159903,0.0028814258642171353,0.06252098083496094,0.0,0.12504196166992188,0.06252098083496094,0.003908873044565553,0.00010991096496582031,0.00010991096496582031,0.00010991096496582031,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,2,3,0,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.12504196166992188
traffic_record_GET_FLOOD_8.pcap,172.16.0.49:44657->172.19.0.8:443,5,5785,172.16.0.49,44657,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.03417551517486572,0.0,0.13297700881958008,0.05706176472702167,0.003256044993761975,0.06835103034973145,0.0,0.1367020606994629,0.06835103034973145,0.004671863349869909,9.894371032714844e-05,9.894371032714844e-05,9.894371032714844e-05,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,2,3,0,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.1367020606994629
traffic_record_GET_FLOOD_8.pcap,172.16.0.40:45396->172.19.0.8:443,5,7178,172.16.0.40,45396,172.19.0.8,443,5,3,2,5274,2686,2588,1054.8,98,1294,478.4,228866.56,0.453545695866515,895.3333333333334,98,1294,563.7998068660739,317870.22222222225,0.6297093896493752,1294.0,1294,1294,0.0,0.0,0.0,0.03561276197433472,3.409385681152344e-05,0.14183402061462402,0.06132709806726175,0.0037610129573515394,0.07122552394866943,3.409385681152344e-05,0.14241695404052734,0.07119143009185791,0.005068219718523892,0.00010895729064941406,0.00010895729064941406,0.00010895729064941406,0.0,0.0,0,5,0.0,1.0,0,0.0,1.0,2,3,0,0,0,0.4,0.6,0.0,0.0,0.0,0.9709505944546686,0.7219280948873623,0.14245104789733887
